date,n_uni,n_active,n_pump10,n_pump20,frac_pump10,frac_pump20,breadth,cs_ret_std,tot_qv,btc_ret,btc_rv,btc_above_ma,f_n_pump10_l1,f_n_pump10_l2,f_n_pump10_3d,f_n_pump10_5d,f_n_pump20_l1,f_n_pump20_3d,f_breadth_l1,f_cs_ret_std_l1,f_qv_ratio,f_btc_ret_l1,f_btc_rv_l1,f_btc_above_ma_l1,f_pump_momo
2023-01-26,95,95,13.0,3.0,0.1368421052631579,0.031578947368421054,0.7684210526315789,0.03173072607767851,4875988239617.15,0.00672842686825462,,0.0,,,,,,,,,,,,,
2023-01-27,95,95,19.0,6.0,0.2,0.06315789473684211,0.8421052631578947,0.036103124307537426,4461879145062.912,0.000691085030960468,,0.0,13.0,,,,3.0,,0.7684210526315789,0.03173072607767851,,0.00672842686825462,,0.0,
2023-01-28,95,95,7.0,1.0,0.07368421052631578,0.010526315789473684,0.23157894736842105,0.01876537180247175,4118249106435.522,0.0038956834816538284,,0.0,19.0,13.0,,,6.0,,0.8421052631578947,0.036103124307537426,,0.000691085030960468,,0.0,
2023-01-29,95,95,5.0,0.0,0.05263157894736842,0.0,0.8,0.021364242658086428,2692668751004.1934,0.020670546802072417,,0.0,7.0,19.0,13.0,,1.0,3.3333333333333335,0.23157894736842105,0.01876537180247175,,0.0038956834816538284,,0.0,
2023-01-30,95,95,3.0,0.0,0.031578947368421054,0.0,0.021052631578947368,0.024736658879182707,2157240415886.9946,-0.033030274153541844,,0.0,5.0,7.0,10.333333333333334,,0.0,2.3333333333333335,0.8,0.021364242658086428,,0.020670546802072417,,0.0,
2023-01-31,95,95,4.0,2.0,0.042105263157894736,0.021052631578947368,0.9052631578947369,0.023279914531321853,2848392601243.6514,0.012394134769712163,,0.0,3.0,5.0,5.0,9.4,0.0,0.3333333333333333,0.021052631578947368,0.024736658879182707,,-0.033030274153541844,,0.0,-6.4
2023-02-01,95,95,5.0,2.0,0.05263157894736842,0.021052631578947368,0.9789473684210527,0.028263710324260557,2157938314973.4238,0.018949513920751872,,0.0,4.0,3.0,4.0,7.6,2.0,0.6666666666666666,0.9052631578947369,0.023279914531321853,,0.012394134769712163,,0.0,-3.5999999999999996
2023-02-02,95,95,13.0,2.0,0.1368421052631579,0.021052631578947368,0.7263157894736842,0.06086749193904842,2801251956869.627,-0.000675447509638078,,0.0,5.0,4.0,4.0,4.8,2.0,1.3333333333333333,0.9789473684210527,0.028263710324260557,,0.018949513920751872,,0.0,0.20000000000000018
2023-02-03,95,95,13.0,4.0,0.1368421052631579,0.042105263157894736,0.9368421052631579,0.05685711394346492,3183943813474.8696,-0.005691843527541505,,0.0,13.0,5.0,7.333333333333333,6.0,2.0,2.0,0.7263157894736842,0.06086749193904842,,-0.000675447509638078,,0.0,7.0
2023-02-04,95,95,12.0,5.0,0.12631578947368421,0.05263157894736842,0.6842105263157895,0.04392780133859443,4036738092651.4575,-0.00040780262918174617,,0.0,13.0,13.0,10.333333333333334,7.6,4.0,2.6666666666666665,0.9368421052631579,0.05685711394346492,,-0.005691843527541505,,0.0,5.4
2023-02-05,95,95,25.0,5.0,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.043071821441749245,3597574325330.805,-0.014723772239727333,,0.0,12.0,13.0,12.666666666666666,9.4,5.0,3.6666666666666665,0.6842105263157895,0.04392780133859443,,-0.00040780262918174617,,0.0,2.5999999999999996
2023-02-06,95,95,19.0,7.0,0.2,0.07368421052631578,0.5473684210526316,0.029602844855373903,5518485129114.818,0.007970907316328527,,0.0,25.0,12.0,16.666666666666668,13.6,5.0,4.666666666666667,0.2631578947368421,0.043071821441749245,,-0.014723772239727333,,0.0,11.4
2023-02-07,95,95,12.0,4.0,0.12631578947368421,0.042105263157894736,0.8210526315789474,0.04087071002857427,3306512319588.271,0.007839969256577796,,0.0,19.0,25.0,18.666666666666668,16.4,7.0,5.666666666666667,0.5473684210526316,0.029602844855373903,,0.007970907316328527,,0.0,2.6000000000000014
2023-02-08,95,95,8.0,1.0,0.08421052631578947,0.010526315789473684,0.3894736842105263,0.031236348130907227,2783819048354.232,-0.005071919646354402,,0.0,12.0,19.0,18.666666666666668,16.2,4.0,5.333333333333333,0.8210526315789474,0.04087071002857427,,0.007839969256577796,,0.0,-4.199999999999999
2023-02-09,95,95,12.0,2.0,0.12631578947368421,0.021052631578947368,0.042105263157894736,0.05840253482564565,2914494592036.6924,-0.038616179679811374,,0.0,8.0,12.0,13.0,15.2,1.0,4.0,0.3894736842105263,0.031236348130907227,,-0.005071919646354402,,0.0,-7.199999999999999
2023-02-10,95,95,9.0,1.0,0.09473684210526316,0.010526315789473684,0.6526315789473685,0.024891923990157463,4094393010566.4062,-0.002592653237840423,,0.0,12.0,8.0,10.666666666666666,15.2,2.0,2.3333333333333335,0.042105263157894736,0.05840253482564565,,-0.038616179679811374,,0.0,-3.1999999999999993
