K,hard_sl,tp,trail,n,p_loss_lt_5,cvar95,worst,mdd,pct_stopped_sl,pct_trail,pct_tp,pct_eod,net_mean,cum,hit,sortino,median,avg_loss,pct_loss,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5,compare_tag
3,none,none,none,3531,0.41461342395921835,-0.2265458021854529,-0.46698672566371685,-0.9999362607454787,0.0,0.0,0.0,1.0,-0.021276314166086836,-0.999929134834439,0.3491928632115548,-5.131701657628953,-0.035184926845865994,-0.07795014496109258,0.6508071367884452,0.17473803455111867,0.2398753894080997,0.23619371282922685,0.18974794675729256,0.15944491645426226,noSL_EOD
3,0.05,none,none,3531,0.7000849617672048,-0.051500000000000004,-0.051500000000000004,-0.9984713792348249,0.7000849617672048,0.0,0.0,0.29991503823279525,-0.014856343175049573,-0.9983286214787922,0.23024638912489379,-6.532766290217834,-0.051500000000000004,-0.04843701775031442,0.7697536108751062,0.0,0.7000849617672048,0.06966864910790145,0.11129991503823279,0.11894647408666101,hardSL5_EOD
5,none,none,none,5885,0.3775700934579439,-0.2135871416238833,-0.46698672566371685,-0.9994927224666089,0.0,0.0,0.0,1.0,-0.017108778770079054,-0.9994516964588859,0.35310110450297366,-4.489620153618142,-0.02834563758389269,-0.07019579592084454,0.6468988954970263,0.13899745114698386,0.23857264231096006,0.26932880203908244,0.18980458793542906,0.1632965165675446,noSL_EOD
5,0.05,none,none,5885,0.6538657604078165,-0.0515,-0.051500000000000004,-0.9964801474367149,0.6538657604078165,0.0,0.0,0.34613423959218353,-0.01331025821484221,-0.9962683888946824,0.2538657604078165,-6.044675307154897,-0.051500000000000004,-0.04714880183631325,0.7461342395921835,0.0,0.6538657604078165,0.09226847918436704,0.13101104502973662,0.12285471537807986,hardSL5_EOD
