feature,deep_mean,sust_mean,deep_med,sust_med,auc_dump,sep
f_log_qv,24.600413549153952,23.883733208267124,24.61910202468052,23.918949425231016,0.6595098987213601,0.31901979744272024
f_qv_rank_pct,0.9346935598546066,0.8909715938598617,0.9597701149425287,0.9278350515463918,0.6551453915939449,0.31029078318788983
f_qv_rank,14.487733071638862,23.006356968215158,10.0,16.0,0.3482096882940512,0.3035806234118976
f_bounce_off_7d_low,0.3729512996753482,0.26802360214489246,0.2931587118745812,0.2202072538859947,0.6331837703737295,0.26636754074745905
f_qv_surge_30d,7.291296350489605,4.7399080031067164,4.43646711799642,3.044402575013772,0.6125295261685365,0.22505905233707302
f_ret_3d,0.1598380588970896,0.08739546256088387,0.13087005005575647,0.0850515463917525,0.6039612561241043,0.20792251224820868
f_rv_7d,0.10058491243457618,0.0828171399705669,0.0824125792558719,0.06870447464690954,0.5987015799464509,0.1974031598929018
f_ret3d_xs_decile,0.8377221550904672,0.7926912609156525,0.9783549783549783,0.9581151832460733,0.5951967050077035,0.190393410015407
f_ret7d_xs_decile,0.8642752889187879,0.8230922976180709,0.9748953974895398,0.9545454545454546,0.5819298819199976,0.16385976383999523
f_ret_7d,0.21996480996489043,0.1431547044863719,0.17889321806891512,0.12140575079872207,0.5812610587988665,0.16252211759773294
f_rv_21d,0.07855609405604178,0.06916368210467055,0.06880680884452228,0.060780164596093325,0.5780996862001022,0.15619937240020443
f_qv_surge_7d,2.916462989839409,2.37372893822617,2.351600926804492,1.8924635284015614,0.5742998906287513,0.14859978125750262
f_ret_14d,0.2397868807292364,0.17059831131262243,0.18440909465516253,0.13348963762291155,0.5544768390697367,0.10895367813947332
f_atr_pct_14,0.12677312107987657,0.1172167518083184,0.10538456047982267,0.0978154148257071,0.5506106116787153,0.10122122335743056
f_rsi_14,60.218849040174696,57.89080979446062,61.44618045082406,59.0243902438984,0.5433753034385254,0.08675060687705072
f_drawdown_7d,-0.16520116760305595,-0.15287248211737678,-0.13861584552125622,-0.12380952380952848,0.46342918878544564,0.07314162242910871
f_pos_in_20d_range,0.5730113100129821,0.5472967747813632,0.5740790899241425,0.5511265164644704,0.529145397610951,0.05829079522190206
f_up_streak,1.5691854759568205,1.4797066014669926,1.0,1.0,0.5206945780776494,0.04138915615529881
f_atr_xs_decile,0.8156344194844889,0.8091241088210485,0.8845259429936849,0.868421052631579,0.5180121108650999,0.03602422173019981
f_dist_from_20d_high,-0.1912713809147441,-0.18607169398238643,-0.16675998506907802,-0.15737704918033069,0.4846001541003282,0.03079969179934361
