bucket,n,mean_pred_pct,actual_hit_pct,score_min,score_max,calib_error_pp
0,508,0.2687042779398548,3.937007874015748,3.258143976836436e-08,0.0063972501084208,-3.6683035960758934
1,508,1.1369866240168252,5.118110236220472,0.0064285625703632,0.0168765392154455,-3.981123612203647
2,508,2.599910481312256,6.889763779527559,0.0168820545077323,0.0359281413257122,-4.289853298215303
3,508,5.09351567313896,8.46456692913386,0.0359608754515647,0.0676968619227409,-3.3710512559948995
4,508,8.685541510816632,7.677165354330709,0.0677013471722602,0.108547456562519,1.008376156485923
5,508,13.537755392961145,6.692913385826772,0.1086594983935356,0.1642730981111526,6.844842007134373
6,508,20.163699016561658,7.480314960629922,0.1642987132072448,0.2377295941114425,12.683384055931736
7,508,28.399273729699804,7.874015748031496,0.2377450615167617,0.3352728188037872,20.525257981668307
8,508,39.78838247694368,8.858267716535433,0.335620105266571,0.4719915091991424,30.930114760408248
9,508,60.281863509435354,11.614173228346457,0.4722302854061126,0.9497014284133912,48.667690281088895
