label,select,gate_col,direction,fire_rate,n_fire_days,n_abstain_days,net_per_fired,delta_net_per_fired,boot_npf_lo95,boot_npf_hi95,boot_p_npf_gt0,boot_p_npf_ge_base,hit,precision_pump20,pct_sl,deep_loss_freq,cvar95,worst,sharpe,sortino,cum_with_abstain_flat,abstain_baseline_net_mean,abstain_baseline_net_median,abstain_baseline_pct_pos,abstain_baseline_net_sum,cond_i_fired_better,cond_ii_abstain_avoided_loss,oracle_threshold
R1_baseline_everyday,baseline,-,-,1.0,765,0,-0.00237001764357426,0.0,-0.003866198210975434,-0.0007782140354084671,0.0005,0.4995,0.40261437908496733,0.024400871459694985,0.4559111691704768,0.0,-0.031500000000000014,-0.0315,-2.0858612483743166,-3.741166121375673,-0.8640067909209826,,,,0.0,False,False,
A4_top1_R1_ge_OOF,OOF_leave1fold,top1_R1,ge,0.12549019607843137,96,669,-0.0008278799430083507,0.0015421377005659094,-0.005039078000573276,0.0032820096843017106,0.344,0.7455,0.4375,0.03125,0.4405594405594406,0.0,-0.0315,-0.0315,-0.7321135571772895,-1.3220968809360414,-0.09666303676748289,-0.0025913109458976197,-0.004833333333333333,0.3976083707025411,-1.7335870228055075,True,True,
A4_top1_R1_ge_ORACLE,in_sample_oracle,top1_R1,ge,0.06535947712418301,50,715,0.0006084779861783413,0.0029784956297526015,-0.004998847079301895,0.006405250363176667,0.584,0.863,0.44,0.026666666666666665,0.3783783783783784,0.0,-0.0315,-0.0315,0.549791405416542,1.0266275452058269,0.01970968666316808,-0.0025783040512492674,-0.004833333333333333,0.4,-1.8434873966432261,True,True,1.5153
A4_top1_pup10_ge_OOF,OOF_leave1fold,top1_pup10,ge,0.16732026143790849,128,637,-0.0013654526774578666,0.0010045649661163936,-0.00515142180245305,0.002359374930089162,0.2375,0.7,0.4140625,0.031249999999999997,0.4895833333333333,0.0,-0.0315,-0.0315,-1.180570453189246,-2.1785193424253335,-0.18606409499003385,-0.002571876851836267,-0.004833333333333333,0.4003139717425432,-1.6382855546197022,True,True,
A4_top1_pup10_ge_ORACLE,in_sample_oracle,top1_pup10,ge,0.1411764705882353,108,657,-0.0012951287493867664,0.0010748888941874938,-0.005679202332952363,0.0028594051637896283,0.257,0.6765,0.4074074074074074,0.037037037037037035,0.5123456790123457,0.0,-0.0315,-0.0315,-1.095716326486992,-2.011330520102826,-0.15397501010869552,-0.0025467117083722043,-0.004833333333333333,0.4018264840182648,-1.6731895924005382,True,True,0.2745
A4_mean_pup10_ge_OOF,OOF_leave1fold,mean_pup10,ge,1.0,765,0,-0.00237001764357426,0.0,-0.003830679952188707,-0.0008890528425325515,0.0005,0.488,0.40261437908496733,0.024400871459694985,0.4559111691704768,0.0,-0.031500000000000014,-0.0315,-2.0858612483743166,-3.741166121375673,-0.8640067909209826,,,,0.0,False,False,
A4_mean_pup10_ge_ORACLE,in_sample_oracle,mean_pup10,ge,1.0,765,0,-0.00237001764357426,0.0,-0.0039152952858786064,-0.0009192025894355014,0.0015,0.4855,0.40261437908496733,0.024400871459694985,0.4559111691704768,0.0,-0.031500000000000014,-0.0315,-2.0858612483743166,-3.741166121375673,-0.8640067909209826,,,,0.0,False,False,0.0
A4_max_pdn5_le_OOF,OOF_leave1fold,max_pdn5,le,0.611764705882353,468,297,-0.0007020030285707172,0.001668014615003543,-0.002578599041897421,0.0012620681409794908,0.247,0.9565,0.4551282051282051,0.004985754985754986,0.2710843373493976,0.0,-0.0315,-0.0315,-0.6314942323672561,-1.1520363927118553,-0.35186151951644307,-0.00499840430964045,-0.004833333333333333,0.31986531986531985,-1.4845260799632136,True,True,
A4_max_pdn5_le_ORACLE,in_sample_oracle,max_pdn5,le,0.611764705882353,468,297,-0.0007020030285707172,0.001668014615003543,-0.0026229832423708428,0.0013131845339656124,0.2265,0.9585,0.4551282051282051,0.004985754985754986,0.2710843373493976,0.0,-0.0315,-0.0315,-0.6314942323672561,-1.1520363927118553,-0.35186151951644307,-0.00499840430964045,-0.004833333333333333,0.31986531986531985,-1.4845260799632136,True,True,0.2802
A4_mean_pdn5_le_OOF,OOF_leave1fold,mean_pdn5,le,0.5633986928104575,431,334,-0.0015703984771580988,0.0007996191664161613,-0.00352957811713143,0.0003011580722098281,0.048,0.798,0.4408352668213457,0.002320185614849188,0.25044404973357015,0.0,-0.03149999999999999,-0.0315,-1.4468426213054857,-2.5705346186152407,-0.5368499911260091,-0.003401861537961582,-0.004833333333333333,0.3532934131736527,-1.1362217536791683,True,True,
