decision,tp,fold,n_va,base_va_pct,allpick_net_mean_pct,allpick_tp_hit_pct
09:30,0.1,3,4932,4.4606650446066505,-0.2536108316852122,4.4606650446066505
09:30,0.1,4,8331,5.221462009362622,-0.13224529133439192,5.221462009362622
09:30,0.1,5,8451,8.993018577683115,-0.4059241551214374,8.993018577683115
