label,mode,precision,recall_all_pumps,n_recommended
lab_pump20,adaptive,0.11500655307994757,0.11979522184300341,3052
lab_pump20,fixed3,0.09871794871794871,0.10511945392491467,3120
lab_pump15,adaptive,0.18807339449541285,0.10215340807972949,3052
lab_pump15,fixed3,0.15993589743589742,0.08880583733760455,3120
