strat,decision,n,fwd_eod_net,hit,fwd_max,fwd_min,conf
ALL,ACTIVE,20,-0.05847521083873786,0.15,0.09894083111008925,-0.10572133593511987,78.2
ALL,WATCH_ONLY,70,-0.020964833269734733,0.2714285714285714,0.06314900313324805,-0.06749719986880129,30.075857142857142
ALL,SILENCE,164,-0.013529751357695165,0.3475609756097561,0.07126186619356796,-0.05705685646664768,30.0
A_TRIPLE,ACTIVE,20,-0.05847521083873786,0.15,0.09894083111008925,-0.10572133593511987,78.2
A_TRIPLE,WATCH_ONLY,5,-0.024364958167424844,0.2,0.06935249144177255,-0.0723219508592251,31.062
