head,fold,topK_pct,n_val,base_pct,A_baseline_lift,A_baseline_prec_pct,B_plus_precursor_lift,B_plus_precursor_prec_pct,delta_lift,delta_prec_pp
h2_hit_3_4h,1,0.5,16324,15.51703013967165,3.26204715045352,50.617283950617285,3.8189820297992423,59.25925925925925,0.5569348793457225,8.641975308641968
h2_hit_3_4h,1,1.0,16324,15.51703013967165,3.1629605768275932,49.079754601226995,4.032774735455182,62.57668711656442,0.8698141586275887,13.496932515337427
h2_hit_3_4h,1,2.0,16324,15.51703013967165,3.1234235696172483,48.466257668711656,3.4199511236948354,53.06748466257669,0.29652755407758713,4.601226993865033
h2_hit_3_4h,2,0.5,17417,15.582476890394442,2.6555027570960283,41.37931034482759,3.393142411844925,52.87356321839081,0.7376396547488966,11.49425287356322
h2_hit_3_4h,2,1.0,17417,15.582476890394442,2.8030306880458076,43.67816091954023,3.3193784463700355,51.724137931034484,0.516347758324228,8.045977011494251
h2_hit_3_4h,2,2.0,17417,15.582476890394442,2.8030306880458076,43.67816091954023,3.0243225844704766,47.12643678160919,0.22129189642466907,3.448275862068961
h2_hit_3_4h,3,0.5,19866,20.06443169233867,2.768857668506439,55.55555555555556,2.8695434019066735,57.57575757575758,0.10068573340023423,2.0202020202020208
h2_hit_3_4h,3,1.0,19866,20.06443169233867,2.7436862351563804,55.05050505050505,2.7436862351563804,55.05050505050505,0.0,0.0
h2_hit_3_4h,3,2.0,19866,20.06443169233867,2.5484649674364053,51.13350125944584,2.6614510989976248,53.40050377833753,0.1129861315612195,2.2670025188916867
h2_hit_3_4h,4,0.5,23325,17.4962486602358,1.7245076004022002,30.17241379310345,2.6606688691919658,46.55172413793103,0.9361612687897656,16.379310344827584
h2_hit_3_4h,4,1.0,23325,17.4962486602358,1.618985921358583,28.32618025751073,2.6001895100607544,45.493562231759654,0.9812035887021713,17.167381974248922
h2_hit_3_4h,4,2.0,23325,17.4962486602358,2.3671536577439887,41.41630901287554,2.6737797792134175,46.78111587982833,0.3066261214694288,5.36480686695279
h2_hit_3_4h,5,0.5,28773,11.507315886421297,4.740067543450207,54.54545454545454,5.0439180270047075,58.04195804195804,0.3038504835545002,3.4965034965035002
h2_hit_3_4h,5,1.0,28773,11.507315886421297,4.844668337091965,55.749128919860624,5.177739285267038,59.58188153310105,0.3330709481750729,3.832752613240423
h2_hit_3_4h,5,2.0,28773,11.507315886421297,4.564204167925099,52.52173913043479,4.790903050437934,55.130434782608695,0.2266988825128351,2.608695652173907
h5_tail_20,1,0.5,16324,1.5866209262435675,3.112445779112446,4.938271604938271,6.224891558224892,9.876543209876543,3.112445779112446,4.938271604938271
h5_tail_20,1,1.0,16324,1.5866209262435675,3.4800198971978116,5.521472392638037,5.026695407063506,7.975460122699387,1.5466755098656941,2.4539877300613497
h5_tail_20,1,2.0,16324,1.5866209262435675,4.640026529597082,7.361963190184049,5.026695407063506,7.975460122699387,0.3866688774664233,0.6134969325153374
h5_tail_20,2,0.5,17417,1.1827524832060632,1.9436446825131122,2.2988505747126435,3.8872893650262244,4.597701149425287,1.9436446825131122,2.2988505747126435
h5_tail_20,2,1.0,17417,1.1827524832060632,2.42955585314139,2.8735632183908044,2.9154670237696685,3.4482758620689653,0.4859111706282784,0.5747126436781609
h5_tail_20,2,2.0,17417,1.1827524832060632,2.6725114384555297,3.1609195402298855,3.4013781943979464,4.022988505747127,0.7288667559424167,0.8620689655172411
h5_tail_20,3,0.5,19866,1.8322762508809023,8.269230769230768,15.151515151515152,9.37179487179487,17.17171717171717,1.1025641025641022,2.0202020202020172
h5_tail_20,3,1.0,19866,1.8322762508809023,8.269230769230768,15.151515151515152,7.717948717948717,14.14141414141414,-0.5512820512820511,-1.0101010101010122
h5_tail_20,3,2.0,19866,1.8322762508809023,6.598721178066265,12.090680100755668,7.011141251695407,12.846347607052897,0.4124200736291419,0.7556675062972289
h5_tail_20,4,0.5,23325,1.9035369774919615,6.793161696178938,12.931034482758621,8.151794035414726,15.517241379310345,1.358632339235788,2.586206896551724
h5_tail_20,4,1.0,23325,1.9035369774919615,5.862138962997332,11.158798283261802,8.567741561303793,16.30901287553648,2.70560259830646,5.150214592274679
h5_tail_20,4,2.0,23325,1.9035369774919615,5.636672079805127,10.72961373390558,6.764006495766152,12.875536480686694,1.127334415961025,2.145922746781114
h5_tail_20,5,0.5,28773,1.2789768185451638,4.374125874125874,5.594405594405594,6.561188811188812,8.391608391608392,2.1870629370629375,2.7972027972027975
h5_tail_20,5,1.0,28773,1.2789768185451638,5.721036585365853,7.317073170731707,6.538327526132405,8.362369337979095,0.8172909407665516,1.045296167247388
h5_tail_20,5,2.0,28773,1.2789768185451638,4.759239130434783,6.086956521739131,5.167173913043478,6.608695652173912,0.4079347826086952,0.5217391304347814
h6_hit_5_24h,1,0.5,16324,19.878706199460915,2.173676501360117,43.20987654320987,2.9810420590081605,59.25925925925925,0.8073655576480436,16.04938271604938
h6_hit_5_24h,1,1.0,16324,19.878706199460915,2.036893001975668,40.49079754601227,2.8393053966933555,56.44171779141104,0.8024123947176873,15.95092024539877
h6_hit_5_24h,1,2.0,16324,19.878706199460915,2.0060309867942183,39.87730061349693,2.5924092752417596,51.533742331288344,0.5863782884475413,11.656441717791417
h6_hit_5_24h,2,0.5,17417,21.8751794224034,2.469602075602619,54.02298850574713,2.3645126255769755,51.724137931034484,-0.1050894500256434,-2.2988505747126453
h6_hit_5_24h,2,1.0,17417,21.8751794224034,2.1017890005128668,45.97701149425287,2.128061363019278,46.55172413793103,0.026272362506411184,0.5747126436781613
h6_hit_5_24h,2,2.0,17417,21.8751794224034,2.075516638006456,45.40229885057471,1.9178824629679911,41.95402298850575,-0.15763417503846489,-3.448275862068961
h6_hit_5_24h,3,0.5,19866,26.049531863485353,2.4428985507246375,63.63636363636363,2.8306602254428337,73.73737373737373,0.3877616747181962,10.101010101010097
h6_hit_5_24h,3,1.0,19866,26.049531863485353,2.287793880837359,59.59595959595959,2.5592270531400962,66.66666666666666,0.27143317230273745,7.070707070707066
h6_hit_5_24h,3,2.0,19866,26.049531863485353,2.1659956923301573,56.42317380352645,2.3883970357390574,62.21662468513854,0.22240134340890005,5.793450881612088
h6_hit_5_24h,4,0.5,23325,25.09324758842444,2.988851870835469,75.0,1.2024116721751885,30.17241379310345,-1.7864401986602805,-44.827586206896555
h6_hit_5_24h,4,1.0,23325,25.09324758842444,2.1037412309743213,52.78969957081545,1.6419443753945924,41.201716738197426,-0.46179685557972894,-11.587982832618025
h6_hit_5_24h,4,2.0,23325,25.09324758842444,1.7360141052349074,43.56223175965665,1.8386356286970695,46.137339055793994,0.10262152346216213,2.5751072961373467
h6_hit_5_24h,5,0.5,28773,18.34706148124978,3.1635560877841615,58.04195804195804,3.4684771564862493,63.63636363636363,0.3049210687020878,5.594405594405593
h6_hit_5_24h,5,1.0,28773,18.34706148124978,3.00060393129572,55.052264808362374,3.342444885493966,61.32404181184668,0.3418409541982461,6.27177700348431
h6_hit_5_24h,5,2.0,28773,18.34706148124978,2.862678537601819,52.52173913043479,3.1091343057397234,57.04347826086956,0.24645576813790449,4.521739130434774
