policy,regime,n,n_days,pct_sl,deep_loss_freq_noSL,net_mean,hit,precision_pump20,cvar95,mdd,cum,sharpe
R1_champion,bear_quiet,208,100,0.42788461538461536,0.15384615384615385,-0.0025008761853521763,0.41346153846153844,0.02403846153846154,-0.03149999999999999,-0.33088812698899894,-0.07476278231872602,-2.433121295322269
R1_champion,bear_volatile,500,204,0.552,0.162,-0.003566237717748174,0.368,0.064,-0.0315,-0.5216969896312675,-0.48241501953680055,-2.9195937728620636
R1_champion,bull_quiet,666,326,0.4339339339339339,0.12012012012012012,-0.002466530775925143,0.3993993993993994,0.028528528528528527,-0.03150000000000001,-0.6064120171733037,-0.5681048346536122,-2.1986755917590464
R1_champion,bull_volatile,157,135,0.2802547770700637,0.08280254777070063,-0.0025945375989636582,0.4012738853503185,0.0,-0.0315,-0.3889115964930974,-0.342487338491847,-2.3123567200182897
C2_C2_rsi30_ret7-8_rr,bear_quiet,111,48,0.4144144144144144,0.0990990990990991,-0.0017102457528911845,0.4144144144144144,0.009009009009009009,-0.0315,-0.14060527634941983,-0.02213001127097658,-1.396998009288152
C2_C2_rsi30_ret7-8_rr,bear_volatile,383,147,0.5535248041775457,0.14882506527415143,-0.004225518726941552,0.34986945169712796,0.033942558746736295,-0.03149999999999999,-0.6238412487552892,-0.4837296059909576,-3.0664915965334285
C2_C2_rsi30_ret7-8_rr,bull_quiet,348,143,0.5,0.1839080459770115,-0.0014996897357413645,0.4109195402298851,0.028735632183908046,-0.0315,-0.3620897105777762,-0.27312587045828707,-1.0511754684384298
C2_C2_rsi30_ret7-8_rr,bull_volatile,27,11,0.5185185185185185,0.2962962962962963,0.00526543209876543,0.48148148148148145,0.0,-0.0315,-0.07105309587549297,0.0967631716694386,3.6598860965579707
