target,fold,leaf,depth,rule,root_feat,support_train,support_val,pos_train_pct,pos_val_pct,base_val_pct,lift_val,gap_train_val_pp,recall_val,fire_rate_val_pct,support_val_top,pos_val_top_pct,lift_val_top,fail_eod_val_pct
pump20,1,3,3,log_return_1d <= +0.026 AND btc_rv_30d_z <= -1.091 AND atr_14 <= +0.480,log_return_1d,301,234,0.6644518272425249,0.4273504273504274,1.3866102143424186,0.3081979513277224,0.2371013998920975,0.381679389312977,1.2384228631913206,208,0.4807692307692308,0.3467226952436876,-0.7442381199416123
pump20,1,4,3,log_return_1d <= +0.026 AND btc_rv_30d_z <= -1.091 AND atr_14 > +0.480,log_return_1d,2577,2719,0.0,0.8458992276572269,1.3866102143424186,0.6100483170451643,-0.8458992276572269,8.778625954198473,14.390050277851282,2669,0.8617459722742601,0.621476723134433,-0.3438644498330042
pump20,1,6,3,log_return_1d <= +0.026 AND btc_rv_30d_z > -1.091 AND range_contraction_3d <= +0.136,log_return_1d,1276,1415,2.19435736677116,1.413427561837456,1.3866102143424186,1.019340220645753,0.7809298049337041,7.633587786259542,7.488753638528712,1383,1.4461315979754157,1.042925822280362,-0.2555690966245483
pump20,1,7,3,log_return_1d <= +0.026 AND btc_rv_30d_z > -1.091 AND range_contraction_3d > +0.136,log_return_1d,9894,11089,0.7074994946432182,0.775543331229146,1.3866102143424186,0.5593088260906379,-0.0680438365859278,32.82442748091603,58.68748346123313,10566,0.776074200265001,0.5596916799239388,0.2164157258151454
pump20,1,10,3,log_return_1d > +0.026 AND log_return_1d <= +0.050 AND return_7d <= +0.505,log_return_1d,655,717,0.7633587786259541,1.6736401673640169,1.3866102143424186,1.2070011817688204,-0.9102813887380624,4.580152671755725,3.794654670547764,698,1.7191977077363898,1.2398565147969116,0.1094960908961131
pump20,1,11,3,log_return_1d > +0.026 AND log_return_1d <= +0.050 AND return_7d > +0.505,log_return_1d,1121,1354,2.7653880463871543,2.2895125553914326,1.3866102143424186,1.6511580051191268,0.4758754909957218,11.83206106870229,7.165916909235246,1341,2.237136465324385,1.613385248561231,-0.0726989313010369
pump20,1,13,3,log_return_1d > +0.026 AND log_return_1d > +0.050 AND range_contraction_14d <= +0.526,log_return_1d,741,860,9.581646423751687,7.55813953488372,1.3866102143424186,5.450803301970531,2.0235068888679666,24.80916030534351,4.551468642498016,849,7.656065959952886,5.521426195164496,-1.2671679164133862
pump20,1,14,3,log_return_1d > +0.026 AND log_return_1d > +0.050 AND range_contraction_14d > +0.526,log_return_1d,332,507,2.108433734939759,4.733727810650888,1.3866102143424186,3.4138849993224625,-2.6252940757111287,9.16030534351145,2.683249536914528,486,4.938271604938271,3.561398548675902,-0.3448453975599727
pump20,2,3,3,log_return_1d <= +0.034 AND roc_7d <= +0.920 AND atr_pct_14 <= +0.056,log_return_1d,15123,5976,0.3901342326258017,0.1840696117804551,1.0737790093522688,0.1714222481323142,0.2060646208453466,5.0691244239631335,29.57098322529566,5104,0.1763322884012539,0.1642165537465871,-0.10177647134648
pump20,2,4,3,log_return_1d <= +0.034 AND roc_7d <= +0.920 AND atr_pct_14 > +0.056,log_return_1d,14276,10113,0.9456430372653404,0.9591614753287848,1.0737790093522688,0.8932577997658714,-0.0135184380634442,44.70046082949309,50.04206046810828,9176,0.9263295553618134,0.8626817504288887,-0.1352340035828863
pump20,2,6,3,log_return_1d <= +0.034 AND roc_7d > +0.920 AND atr_pct_14 <= +0.056,log_return_1d,597,266,0.6700167504187605,0.0,1.0737790093522688,0.0,0.6700167504187605,0.0,1.3162452372705231,247,0.0,0.0,-0.4140380772802932
pump20,2,7,3,log_return_1d <= +0.034 AND roc_7d > +0.920 AND atr_pct_14 > +0.056,log_return_1d,1243,787,4.98793242156074,3.0495552731893265,1.0737790093522688,2.840021314095996,1.9383771483714136,11.059907834101384,3.894304517789104,776,2.963917525773196,2.760267708679747,-0.6660693731445733
