scope,target,calibration,n_rows,n_dates,base_rate,raw_auc,probability_auc,brier,mean_probability
discovery_oof,safe_up10,repaired,58100,581,0.06461273666092943,0.7029582140683422,0.7008176079937384,0.05862412634008347,0.05855119402654504
discovery_oof,safe_up10,frozen,58100,581,0.06461273666092943,0.7029582140683422,0.700596766263387,0.05935307482382081,0.057745139703231134
discovery_oof,up10,repaired,58100,581,0.07555938037865749,0.7330244258692913,0.7307656807905782,0.0659619359702534,0.0681471939433163
discovery_oof,up10,frozen,58100,581,0.07555938037865749,0.7330244258692913,0.7276658796565882,0.06711536978294054,0.06971535867516981
discovery_oof,dn5,repaired,58100,581,0.26839931153184166,0.7041042568247432,0.7002846872681354,0.17479143861235133,0.26297701370584564
discovery_oof,dn5,frozen,58100,581,0.26839931153184166,0.7041042568247432,0.7009372119151475,0.17811552994724625,0.2525021795522443
locked_holdout,safe_up10,repaired,18000,180,0.07427777777777778,0.6933979551791596,0.6932521863860162,0.06659619162864905,0.07129205932479873
locked_holdout,safe_up10,frozen,18000,180,0.07427777777777778,0.6933979551791596,0.6910615473773715,0.06704598293589897,0.06791837797619048
locked_holdout,up10,repaired,18000,180,0.09383333333333334,0.7385059333131732,0.7379330508068833,0.07943726954659651,0.08177893921066556
locked_holdout,up10,frozen,18000,180,0.09383333333333334,0.7385059333131732,0.7332904610679647,0.07964178144528483,0.07940639260912698
locked_holdout,dn5,repaired,18000,180,0.2639444444444444,0.7396163416200607,0.7386591004775379,0.16565591614212244,0.268624960393339
locked_holdout,dn5,frozen,18000,180,0.2639444444444444,0.7396163416200607,0.7363715444408151,0.16531123668713904,0.254759908234127
