label,prob_threshold,precision,recall_all_pumps,n_selected,avg_per_day
lab_pump20,0.0,0.020205604250177412,0.7191126279863481,104278,100.2673076923077
lab_pump20,0.02,0.04334845488736381,0.38156996587030717,25791,24.799038461538462
lab_pump20,0.04,0.057023557272840586,0.3122866894197952,16046,15.428846153846154
lab_pump20,0.06,,0.0,0,0.0
lab_pump20,0.08,,0.0,0,0.0
lab_pump20,0.1,,0.0,0,0.0
lab_pump20,0.15,,0.0,0,0.0
lab_pump15,0.0,0.039183720439594165,0.7271756540309664,104278,100.2673076923077
lab_pump15,0.02,0.05302678033238612,0.5479622708667022,58065,55.83173076923077
lab_pump15,0.04,0.0775076577100539,0.35575725218010323,25791,24.799038461538462
lab_pump15,0.06,0.0989654742614982,0.2826125645132586,16046,15.428846153846154
lab_pump15,0.08,0.0889967637540453,0.16639971525182418,10506,10.101923076923077
lab_pump15,0.1,,0.0,0,0.0
lab_pump15,0.15,,0.0,0,0.0
