date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_up_05,p_lab_dn_10,exp_downside,R1,f_rsi_14,f_ret_7d,f_ret_14d,f_bounce_off_7d_low,f_drawdown_7d,net,outcome,eod_net,pump20_hit,up_high_ret,down_low_ret,policy
2024-04-03,KRW-BTC,bull_volatile,0,0.0,0.15482652820391787,0.04318074563473336,0.0,-0.030308094293182323,0.0,56.05623020981942,-0.039959620593497336,0.03760316294343857,0.011084210526315807,-0.057379784102060793,0.0031745026183461213,eod,0.0031745026183461213,0,0.012982415957856652,-0.014273369910361988,R1_champion
2024-04-04,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,42.68403376599801,-0.033917309039943944,-0.03232858031004948,0.01922223865148598,-0.05134431064143519,0.028126328988000326,eod,0.028126328988000326,0,0.03533605521129091,-0.00936768149882905,R1_champion
2024-04-05,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,59.19204594816352,-0.015252725470763173,0.03986311118553254,0.04941805200566107,-0.01752148161332112,-0.012068656041027746,eod,-0.012068656041027746,0,0.002252501382673744,-0.026597616773090693,R1_champion
2024-04-06,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.01368570080226522,0.0,-0.017021176676591924,0.0,61.35374455950773,-0.014098055129708076,0.0483618347450856,0.039204917513360416,-0.027083147933908758,0.004984728363063575,eod,0.004984728363063575,0,0.015276719012044415,-0.006505056665142006,R1_champion
2024-04-07,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,64.34595997404801,-0.009621443216482506,0.0616356112099834,0.04584820768467068,-0.02086361523933833,0.002227272727272801,eod,0.002227272727272801,0,0.014646464646464574,-0.0002424242424242662,R1_champion
2024-04-08,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,58.057887629894914,-0.015856194909379062,0.02840909090909083,0.049502545362370975,-0.017102217650200813,0.025993483883303636,eod,0.025993483883303636,0,0.03738590506093442,-0.0027070816854350976,R1_champion
2024-04-09,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.10217083529966965,0.0,-0.015401363027692594,0.0,58.43369988945133,0.019990009990009883,0.0292232011451381,0.07835702667877742,-0.009535912459741613,-0.0315,sl,-0.02795761881430675,0,0.0034198922097010698,-0.03576678098971098,R1_champion
2024-04-10,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,48.16386400544816,0.034324799850082854,-0.007006426722371617,0.04930187364018512,-0.036222886189903325,0.010480806566809888,eod,0.010480806566809888,0,0.023549175627961327,-0.01805671518675367,R1_champion
2024-04-11,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,51.75934185746853,0.04246544113075368,0.007107818600460503,0.052323270361304575,-0.02409685305188003,-0.002096415542589046,eod,-0.002096415542589046,0,0.008459160445721148,-0.0056659476545958265,R1_champion
2024-04-12,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.01368570080226522,0.0,-0.015401363027692594,0.0,49.066417017735475,0.011875886917402267,-0.003557978196233935,0.03864669421487599,-0.024669201815994746,-0.009118706610172831,eod,-0.009118706610172831,0,0.008792345487457887,-0.01548606552485532,R1_champion
