label,bucket,n,pred_mean,actual
lab_up_05,0,16056,0.0662917049516392,0.09111858495266567
lab_up_05,1,16056,0.14744301453687464,0.1715869456900847
lab_up_05,2,16055,0.21443909413640738,0.24920585487387106
lab_up_05,3,16056,0.3161625084060442,0.32006726457399104
lab_up_05,4,16056,0.5061790153432121,0.4486173393124066
lab_up_10,0,16056,0.0055289835535461155,0.015009965122072746
lab_up_10,1,16056,0.025151536119748585,0.03680866965620329
lab_up_10,2,16055,0.050681401631754754,0.07100591715976332
lab_up_10,3,16056,0.098544792144266,0.1056925759840558
lab_up_10,4,16056,0.2256169309177575,0.2006726457399103
lab_up_15,0,16056,0.00027362586712143943,0.0057922272047832585
lab_up_15,1,16056,0.004684540038445555,0.013577478824115596
lab_up_15,2,16055,0.015395997137805852,0.02765493615696045
lab_up_15,3,16056,0.038834132636276934,0.05075984055804684
lab_up_15,4,16056,0.12426785432121758,0.10724962630792227
lab_up_20,0,16056,0.0,0.004608868958644744
lab_up_20,1,16056,0.00016210895745185738,0.006103637269556552
lab_up_20,2,16055,0.0029810616114460176,0.010650887573964497
lab_up_20,3,16056,0.013391623672242958,0.02435226706527155
lab_up_20,4,16056,0.07389990358821669,0.06153462879920279
lab_dn_03,0,16056,0.20798441187876412,0.2783383158943697
lab_dn_03,1,16056,0.37530320094288305,0.43192575984055803
lab_dn_03,2,16055,0.48257649791646084,0.5190906259732171
lab_dn_03,3,16056,0.6128549641995155,0.602017937219731
lab_dn_03,4,16056,0.7938501120248768,0.750560538116592
lab_dn_05,0,16056,0.05236920093446964,0.09784504235176882
lab_dn_05,1,16056,0.14045578666146644,0.1808046836073742
lab_dn_05,2,16055,0.22350977588286605,0.2616630333229524
lab_dn_05,3,16056,0.33269352809683905,0.34485550572994517
lab_dn_05,4,16056,0.5773804407956954,0.5524414549078226
lab_dn_10,0,16056,0.000306704900258401,0.011833582461385153
lab_dn_10,1,16056,0.0037995871161556932,0.02385401096163428
lab_dn_10,2,16055,0.018848951654138184,0.03849268140766116
lab_dn_10,3,16056,0.04460151942825195,0.05773542600896861
lab_dn_10,4,16056,0.18730047226816085,0.17401594419531638
lab_close_neg,0,16056,0.3489253613903353,0.5057299451918286
lab_close_neg,1,16056,0.49181391620128867,0.5487668161434978
lab_close_neg,2,16055,0.552866179195711,0.5552787293677982
lab_close_neg,3,16056,0.6114010578699929,0.5785376183358246
lab_close_neg,4,16056,0.7166237684296086,0.6085575485799701
