date,market,regime,fold,r1_rank,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,p_lab_dump_B,exp_downside,R1,f_qv_rank,net,outcome,eod_net,pump20_hit,up_high_ret,down_low_ret,policy,a1_filled_from_demoted
2024-04-22,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,3.0,0.02135419799960042,eod,0.02135419799960042,0,0.028616282622667466,-0.0030449579079347977,R1_baseline,
2024-04-23,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,2.0,-0.012708341473948335,eod,-0.012708341473948335,0,0.003630230668764556,-0.020495891566141178,R1_baseline,
2024-04-24,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,5.0,-0.0315,sl,-0.029297710042741676,0,0.005787386412132722,-0.03473472744116335,R1_baseline,
2024-04-25,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,3.0,-0.009896979226836132,eod,-0.009896979226836132,0,0.008543627031651013,-0.02466852010265186,R1_baseline,
2024-04-26,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,1.0,-0.00850190961171232,eod,-0.00850190961171232,0,0.0025765138366338203,-0.013971388837981435,R1_baseline,
2024-04-27,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,2.0,-0.005987130735215783,eod,-0.005987130735215783,0,0.0023924745799575042,-0.018084932847588497,R1_baseline,
2024-04-28,KRW-BTC,bull_quiet,0,1,0.0,0.025067750677506776,0.0,0.0,-0.017029494668540184,0.0,2.0,-0.01080948301264911,eod,-0.01080948301264911,0,0.012360790828314983,-0.014710543284626065,R1_baseline,
2024-04-29,KRW-BTC,bull_quiet,0,1,0.0,0.12014453477868112,0.0,0.0,-0.027170517233735154,0.0,4.0,0.0010227765965649684,eod,0.0010227765965649684,0,0.016204036097334784,-0.022455900058542144,R1_baseline,
2024-04-30,KRW-BTC,bull_quiet,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,1.0,-0.0315,sl,-0.04293910506477955,0,0.01247264770240708,-0.06339168490153169,R1_baseline,
2024-05-01,KRW-BTC,bull_quiet,0,1,0.0,0.294104359611475,0.0040659588886379034,0.0,-0.0401914157152023,0.0,1.0,-0.0315,sl,-0.05224000619060171,0,0.005427299430879273,-0.08200615017440793,R1_baseline,
2024-05-02,KRW-BTC,bull_volatile,0,1,0.0,0.2140921409214092,0.0015808491418247517,0.0,-0.03502480285844987,0.0,1.0,0.004211387758551956,eod,0.004211387758551956,0,0.006000071857148015,-0.03470700247907166,R1_baseline,
2024-05-03,KRW-BTC,bull_quiet,0,1,0.0,0.07791327913279132,0.0,0.0,-0.0234329370312677,0.0,1.0,0.0485,tp,0.07466577822600012,0,0.08093049003562136,-0.0034779050736497563,R1_baseline,
2024-05-04,KRW-BTC,bull_volatile,0,1,0.0,0.006097560975609756,0.0,0.0,-0.015144420357606426,0.0,1.0,0.005301204147619533,eod,0.005301204147619533,0,0.02051718538262537,-0.015466284395963759,R1_baseline,
2024-05-05,KRW-BTC,bull_volatile,0,1,0.0,0.025067750677506776,0.0,0.0,-0.017029494668540184,0.0,2.0,-0.00382545263274464,eod,-0.00382545263274464,0,0.0050496661240491125,-0.021837591220668195,R1_baseline,
