policy,k,lam,dump_cut,n,prec_pump,hit,hit10_rate,stop_rate,loss_rate,p_loss_lt_5,p_beyond_sl,cvar95,worst,net_mean,net_median,mdd,cum,sharpe,sortino,deep_dump_rate,p_min_lt_10,p_close_lt_5,no_cvar95,no_worst,no_cum
baseline_topK,3,-,-,1149,0.08790252393385553,0.278503046127067,0.27154046997389036,0.6161879895561357,0.721496953872933,0.6161879895561357,0.0,-0.051500000000000004,-0.051500000000000004,-0.01070845795031734,-0.051500000000000004,-0.9928180208297681,-0.9902798020366614,-3.849903995133498,-12.348094504058839,0.3437771975630983,0.19147084421235858,0.3263707571801567,-0.20325809962433974,-0.4320610561056106,-0.9961900424078577
ds_rerank,3,0.0,none,1149,0.08790252393385553,0.278503046127067,0.27154046997389036,0.6161879895561357,0.721496953872933,0.6161879895561357,0.0,-0.051500000000000004,-0.051500000000000004,-0.01070845795031734,-0.051500000000000004,-0.9928180208297681,-0.9902798020366614,-3.849903995133498,-12.348094504058839,0.3437771975630983,0.19147084421235858,0.3263707571801567,-0.20325809962433974,-0.4320610561056106,-0.9961900424078577
ds_rerank,3,0.0,0.5,1125,0.08533333333333333,0.30844444444444447,0.24622222222222223,0.5448888888888889,0.6915555555555556,0.5448888888888889,0.0,-0.0515,-0.051500000000000004,-0.009141061046235362,-0.051500000000000004,-0.9827545046964085,-0.9788504656499246,-3.90762225367883,-10.211294714647137,0.28355555555555556,0.13244444444444445,0.27111111111111114,-0.1657771192477018,-0.4320610561056106,-0.9739298747192937
ds_rerank,3,0.0,0.667,1125,0.08533333333333333,0.30844444444444447,0.24622222222222223,0.5448888888888889,0.6915555555555556,0.5448888888888889,0.0,-0.0515,-0.051500000000000004,-0.009141061046235362,-0.051500000000000004,-0.9827545046964085,-0.9788504656499246,-3.90762225367883,-10.211294714647137,0.28355555555555556,0.13244444444444445,0.27111111111111114,-0.1657771192477018,-0.4320610561056106,-0.9739298747192937
ds_rerank,3,0.0,0.75,1129,0.08591674047829938,0.3029229406554473,0.2471213463241807,0.5535872453498671,0.6970770593445527,0.5535872453498671,0.0,-0.0515,-0.051500000000000004,-0.009059134458514398,-0.051500000000000004,-0.9829841057715222,-0.9791320438672764,-3.775521769794907,-10.199659077944421,0.2914083259521701,0.13817537643932684,0.27723649247121346,-0.1658980640255446,-0.4320610561056106,-0.9745028016885172
ds_rerank,3,0.0,0.8,1144,0.08566433566433566,0.30157342657342656,0.2517482517482518,0.5611888111888111,0.6984265734265734,0.5611888111888111,0.0,-0.051500000000000004,-0.051500000000000004,-0.009132190214394017,-0.051500000000000004,-0.9839816821166348,-0.980397849450577,-3.7636679165806197,-10.613480589613072,0.29632867132867136,0.1486013986013986,0.28234265734265734,-0.16996105191046132,-0.4320610561056106,-0.9783883355371832
ds_rerank,3,0.5,none,1149,0.07484769364664925,0.30548302872062666,0.2280243690165361,0.5282854656222803,0.6945169712793734,0.5291557876414273,0.0,-0.051500000000000004,-0.051500000000000004,-0.009778851691409634,-0.051500000000000004,-0.9866957541519039,-0.9836842193115309,-4.296887890054706,-11.12003688107107,0.268059181897302,0.13054830287206268,0.25674499564838993,-0.16633238940961453,-0.4320610561056106,-0.9836335075294502
ds_rerank,3,0.5,0.5,1125,0.07555555555555556,0.3075555555555556,0.22844444444444445,0.5244444444444445,0.6924444444444444,0.5253333333333333,0.0,-0.0515,-0.051500000000000004,-0.009417510099447496,-0.051500000000000004,-0.9843655526502806,-0.9808265558938132,-4.051050813258759,-10.624944152393983,0.26222222222222225,0.12711111111111112,0.25066666666666665,-0.1649627774562311,-0.4320610561056106,-0.9800262492010985
ds_rerank,3,0.5,0.667,1125,0.07555555555555556,0.3075555555555556,0.22844444444444445,0.5244444444444445,0.6924444444444444,0.5253333333333333,0.0,-0.0515,-0.051500000000000004,-0.009417510099447496,-0.051500000000000004,-0.9843655526502806,-0.9808265558938132,-4.051050813258759,-10.624944152393983,0.26222222222222225,0.12711111111111112,0.25066666666666665,-0.1649627774562311,-0.4320610561056106,-0.9800262492010985
ds_rerank,3,0.5,0.75,1129,0.07528786536758193,0.30646589902568644,0.22940655447298494,0.5261293179805138,0.6935341009743136,0.5270150575730735,0.0,-0.0515,-0.051500000000000004,-0.009550341634012933,-0.051500000000000004,-0.9854350932433359,-0.9821381965499576,-4.140212576361031,-10.766604177471557,0.26395039858281666,0.12843224092116917,0.2524357838795394,-0.1649627774562311,-0.4320610561056106,-0.9804030980610005
ds_rerank,3,0.5,0.8,1144,0.07517482517482517,0.3041958041958042,0.22814685314685315,0.5288461538461539,0.6958041958041958,0.5297202797202797,0.0,-0.0515,-0.051500000000000004,-0.009787466617770342,-0.051500000000000004,-0.9869713384257393,-0.9840221845464211,-4.308690438216624,-11.161360015574717,0.2674825174825175,0.13024475524475523,0.2561188811188811,-0.16417285127290862,-0.4320610561056106,-0.9841439255561577
