decision,tp,fold,n_va,base_va_pct,allpick_net_mean_pct,allpick_tp_hit_pct
10:00,0.15,3,4931,1.176232001622389,-0.18373896396490794,1.176232001622389
10:00,0.15,4,8332,2.0163226116178588,-0.08051874733365112,2.0163226116178588
10:00,0.15,5,8446,3.8242955245086434,-0.35991296182974686,3.8242955245086434
