scope,policy,n,dates,safe_up10_rate,up10_rate,dn5_rate,eod_net_mean,mfe_mean,mae_mean,matched_atr_safe_up10,safe_up10_lift_within_atr,matched_atr_up10,up10_lift_within_atr,matched_atr_dn5,dn5_delta_within_atr,path_complete_pick_rate,path_n,path_dates,path_net_mean,path_tp_first,path_sl_first,path_eod,path_hit,path_up10_before_dn5,path_safe_up10,path_up10,path_dn5,path_cumulative,path_max_drawdown,path_net_ci95_lo,path_net_ci95_hi,path_net_p_gt_zero,path_sharpe_ann,path_sortino_ann,path_calmar
discovery_oof,safeup_head,1743,581,0.14974182444061962,0.2117039586919105,0.5301204819277109,-0.0035366750545389753,0.07309591871917896,-0.06115061042894688,0.09030134792845154,1.6582457280622716,0.1078503669288309,1.9629414782762054,0.3426035123871505,0.1875169695405604,0.4515203671830178,750,250,-0.003611532938117217,0.31866666666666665,0.6066666666666667,0.07466666666666667,0.356,0.22133333333333333,0.19466666666666665,0.24533333333333332,0.49866666666666665,-0.6224681527987647,-0.6906381631899774,-0.006614338765123214,-0.0007968749194295457,0.0074,-2.920180876020608,-3.8641261435083747,-1.0987141410219101
locked_holdout,safeup_head,540,180,0.16666666666666666,0.26481481481481484,0.6222222222222222,-0.013651655982621186,0.08518687631974825,-0.06746456290199626,0.10078786117809287,1.6536382925337156,0.1298240903176299,2.0397971914681956,0.3476532935445047,0.27456892867771754,0.987037037037037,510,170,-0.0007931211707468301,0.3686274509803922,0.596078431372549,0.03529411764705882,0.3843137254901961,0.19019607843137254,0.1627450980392157,0.23333333333333334,0.5725490196078431,-0.16468204135784859,-0.26973456428054143,-0.004183883447868411,0.002630271387838454,0.336,-0.6551556442984895,-0.9606015586170092,-1.188078722666211
discovery_oof,up10_control,1743,581,0.1417096959265634,0.24497991967871485,0.6058519793459552,-0.010481162120788454,0.08156890125069242,-0.07179793037499083,0.0917833699574911,1.5439583008577193,0.11102544380842753,2.206520517057544,0.3387963428914823,0.26705563645447294,0.4515203671830178,750,250,-0.0031118763023518965,0.3333333333333333,0.612,0.05466666666666667,0.36,0.22266666666666668,0.18266666666666667,0.264,0.5653333333333334,-0.570529688040317,-0.6396135432741874,-0.0059572186022270835,-0.0002963906717038624,0.0168,-2.5807094885259874,-3.519539836710117,-1.1082833805395673
locked_holdout,up10_control,540,180,0.14444444444444443,0.32037037037037036,0.7166666666666667,-0.0235824885090464,0.10449397565199631,-0.08432081721478371,0.10035655253417053,1.4393125391116077,0.1319230012741467,2.4284648414313645,0.3455352712577836,0.37113139540888307,0.9888888888888889,510,170,-0.0034631768337240066,0.3431372549019608,0.6411764705882353,0.01568627450980392,0.35294117647058826,0.23333333333333334,0.1627450980392157,0.3058823529411765,0.6647058823529411,-0.4717939825538435,-0.4805694869283078,-0.006988751717469197,8.164476888464266e-05,0.028,-2.7618907937089348,-3.7135739901689027,-1.552314281056562
discovery_oof,R1_repaired,1743,581,0.1038439472174412,0.14400458978772232,0.3493975903614458,-0.0016751072748487882,0.05500982248623062,-0.04602784176438057,0.07295741924764612,1.4233500621088868,0.08681630507071739,1.6587274668096212,0.2828817725591316,0.06651581780231419,0.46069994262765346,750,250,-0.0018570562006215176,0.22933333333333333,0.43066666666666664,0.34,0.4106666666666667,0.12533333333333332,0.108,0.13866666666666666,0.3,-0.406325162179634,-0.5303766613506582,-0.004567978871296938,0.0008293022563572495,0.0862,-1.6622761826360686,-2.2784211188862584,-1.0048161365149357
locked_holdout,R1_repaired,540,180,0.10185185185185185,0.15555555555555556,0.37962962962962965,-0.008557371442406047,0.05501423637617088,-0.048517617224339754,0.07376044463109283,1.3808465006041657,0.0952933574793514,1.6323861355106735,0.26166887391344773,0.11796075571618192,0.987037037037037,510,170,-0.003168742674714637,0.2372549019607843,0.492156862745098,0.27058823529411763,0.3862745098039216,0.13529411764705881,0.11372549019607843,0.1568627450980392,0.3411764705882353,-0.43800388501064313,-0.44955147872472734,-0.0061236520083090456,-6.914528823068879e-05,0.0228,-2.9058201266600077,-3.8308028936449072,-1.5789586365561612
discovery_oof,R1_frozen_pattern,1743,581,0.11417096959265634,0.13482501434308664,0.33505450372920254,-0.0011372597042859343,0.05181682147921307,-0.04324830689118213,0.07429194570888831,1.5367879856052402,0.08783139649188816,1.53504350070921,0.29087160560290765,0.04418289812629489,0.4555364314400459,750,250,-0.002565004298126488,0.24266666666666667,0.48,0.2773333333333333,0.39866666666666667,0.12266666666666666,0.11466666666666667,0.136,0.304,-0.5045977207540548,-0.5838370707970696,-0.005349720631864396,0.00017176799797987525,0.0338,-2.229094293056865,-2.9407840984479217,-1.0985540061118826
locked_holdout,R1_frozen_pattern,540,180,0.14444444444444443,0.16666666666666666,0.34074074074074073,-0.005360357217861297,0.056001391329905434,-0.04523719217928751,0.08487331364960897,1.7018829386203649,0.10698171214095646,1.5578986663353338,0.28421818366817153,0.0565225570725692,0.9888888888888889,510,170,-0.002423308363933871,0.2823529411764706,0.5215686274509804,0.19607843137254902,0.3862745098039216,0.14705882352941177,0.13333333333333333,0.15490196078431373,0.3235294117647059,-0.3617221449309531,-0.41040089654511724,-0.005465716706858335,0.0006872361606144984,0.059,-2.230615776923136,-2.92360874595639,-1.5073840397125735
discovery_oof,monkey_seed42,1743,581,0.06196213425129088,0.0699942627653471,0.26161790017211706,-0.0022721295481577496,0.039964322283936864,-0.03855931625119307,0.0645832579106069,0.9594148120718212,0.07527002409999994,0.9299088661424669,0.2692538622310049,-0.007635962058887835,0.459552495697074,750,250,-0.0034254370201133367,0.184,0.44,0.376,0.4,0.06533333333333333,0.06266666666666666,0.07066666666666667,0.232,-0.5999628197580008,-0.6125548196040413,-0.006169631707526213,-0.0007226468096265942,0.007,-3.0253689467391434,-3.952733762054664,-1.2040358238648787
locked_holdout,monkey_seed42,540,180,0.06666666666666667,0.09259259259259259,0.2740740740740741,-0.009228305578049524,0.03881813777169314,-0.03822555321346162,0.07538532168446395,0.8843454558131295,0.09505004404996253,0.9741457094319893,0.26435412625155413,0.009719947822519948,0.9796296296296296,510,170,-0.004384576818527807,0.18235294117647058,0.4294117647058823,0.38823529411764707,0.37254901960784315,0.06862745098039216,0.06666666666666667,0.07647058823529412,0.24901960784313726,-0.5441140686365081,-0.5609604146482324,-0.007495677914914116,-0.0011948394953697845,0.003,-3.9311185895385,-4.959585347929788,-1.4525824950425161
discovery_oof,safeup_pareto_rank,1743,581,0.08491107286288009,0.0963855421686747,0.27882960413080893,-0.0008869369742689454,0.04390432822769502,-0.03842265323973193,0.06895134224665578,1.2314636683812834,0.08077607722658045,1.19324366171322,0.2799156208724998,-0.0010860167416908983,0.45611015490533563,750,250,-0.0019031898815253605,0.216,0.44,0.344,0.424,0.092,0.088,0.096,0.23466666666666666,-0.4198701524868427,-0.5405203797275207,-0.004718238521735551,0.0010547231293532037,0.0992,-1.5525413884142218,-2.149057208848886,-1.0145915502547815
locked_holdout,safeup_pareto_rank,540,180,0.1037037037037037,0.11666666666666667,0.24814814814814815,-0.002812420246683481,0.04661722496247199,-0.037074203181007924,0.07495049133696938,1.3836294046087432,0.0948093054715573,1.2305402522083293,0.25765478020479426,-0.00950663205664612,0.987037037037037,510,170,-0.003286123402256869,0.22156862745098038,0.4549019607843137,0.3235294117647059,0.38235294117647056,0.09803921568627451,0.08627450980392157,0.10588235294117647,0.2607843137254902,-0.4503656897740633,-0.5093760091946171,-0.006457137854890167,-4.485444188799348e-05,0.0236,-2.9228554121385906,-3.9514257947405906,-1.4200801105269254
