feature,hard_sl,tp,time_stop_h,trail,n,net_mean,net_sharpe,hit,cum,mdd,tp_rate,sl_rate,trail_rate,ts_rate,eod_rate,avg_hold
f_atr_xs_decile,none,0.05,none,none,3672,0.0022593551487614513,2.474170267116345,0.5163398692810458,0.1202162929082482,-0.09156144966146192,0.352124183006536,0.0,0.0,0.0,0.6478758169934641,17.09926470588235
f_atr_xs_decile,none,0.05,2.0,none,3672,0.0006595338622619896,1.4107633727620121,0.42320261437908496,0.03244040212868793,-0.053870282932652246,0.125,0.0,0.0,0.8562091503267973,0.018790849673202614,1.8370098039215685
f_atr_xs_decile,0.08,0.05,none,none,3672,0.000863859028616667,0.9071289847914215,0.505718954248366,0.03812263702833496,-0.10280552988222358,0.34395424836601307,0.09967320261437909,0.0,0.0,0.5563725490196079,16.01736111111111
f_atr_xs_decile,none,0.05,4.0,none,3672,0.0004952790636784947,0.8072721011251931,0.42810457516339867,0.022345144200120792,-0.060208974159317835,0.16176470588235295,0.0,0.0,0.8194444444444444,0.018790849673202614,3.513888888888889
f_atr_xs_decile,0.05,0.05,none,none,3672,0.0006859277310951059,0.7871052321771377,0.4861111111111111,0.02950438046510362,-0.08495105710205424,0.3276143790849673,0.2565359477124183,0.0,0.0,0.4158496732026144,13.802083333333334
f_atr_xs_decile,none,0.05,none,0.1,3672,0.0006161101521591192,0.6398358910730392,0.4959150326797386,0.024058510219154616,-0.12073809063322224,0.32189542483660133,0.0,0.09967320261437909,0.0,0.5784313725490197,16.18811274509804
f_atr_xs_decile,none,0.05,8.0,none,3672,0.0003721783564346242,0.5689369130875725,0.4305555555555556,0.015157716485416639,-0.039045819826277375,0.21895424836601307,0.0,0.0,0.7622549019607843,0.018790849673202614,6.676062091503268
f_atr_xs_decile,0.05,0.05,none,0.1,3672,0.00024017162393829715,0.25797278904930654,0.4795751633986928,0.004871778076807498,-0.09353476779369575,0.3104575163398693,0.2565359477124183,0.01715686274509804,0.0,0.4158496732026144,13.802083333333334
f_atr_xs_decile,0.08,0.05,none,0.1,3672,0.0002440909460208642,0.24172205297101512,0.4934640522875817,0.0036707937030098226,-0.11858201449488506,0.3194444444444444,0.07761437908496732,0.051470588235294115,0.0,0.5514705882352942,15.848039215686274
f_atr_xs_decile,0.08,0.05,2.0,none,3672,8.992501672446703e-05,0.07779080293952914,0.4215686274509804,-0.0004994207003449214,-0.08289043263168291,0.12336601307189543,0.013888888888888888,0.0,0.8447712418300654,0.017973856209150325,1.8169934640522876
f_atr_xs_decile,none,0.15,none,none,3672,-0.00011153237152593838,-0.10032093914937536,0.4305555555555556,-0.021075392294013007,-0.13200842675373264,0.06862745098039216,0.0,0.0,0.0,0.9313725490196079,22.030024509803923
f_atr_xs_decile,0.08,0.05,4.0,none,3672,-0.00017277510232092556,-0.333767818757523,0.42483660130718953,-0.015634188253610293,-0.08674025559052187,0.16013071895424835,0.01715686274509804,0.0,0.8047385620915033,0.017973856209150325,3.4677287581699345
f_atr_xs_decile,none,0.1,none,none,3672,-0.0004594703328061432,-0.39227845438845094,0.4387254901960784,-0.037461227042443035,-0.13690549146438416,0.12990196078431374,0.0,0.0,0.0,0.8700980392156863,21.044321895424837
f_atr_xs_decile,0.08,0.05,8.0,none,3672,-0.00022948924414399843,-0.41432994805171414,0.42892156862745096,-0.018990956024830363,-0.06991074513593057,0.2173202614379085,0.029411764705882353,0.0,0.7352941176470589,0.017973856209150325,6.54452614379085
f_atr_xs_decile,none,0.05,none,0.08,3672,-0.00039035279825903716,-0.43734770594506833,0.4803921568627451,-0.029154301723177345,-0.1320461931201868,0.2957516339869281,0.0,0.2099673202614379,0.0,0.494281045751634,15.071486928104575
f_atr_xs_decile,none,0.08,none,none,3672,-0.0005025459404277175,-0.4520673777695737,0.45016339869281047,-0.03960705344882787,-0.13477577045478611,0.1781045751633987,0.0,0.0,0.0,0.8218954248366013,20.19934640522876
f_atr_xs_decile,0.08,0.05,none,0.08,3672,-0.0004726881968884789,-0.5246151101289072,0.4803921568627451,-0.03357130166145006,-0.13498721770617436,0.2957516339869281,0.03431372549019608,0.17565359477124182,0.0,0.494281045751634,15.071486928104575
f_atr_xs_decile,0.05,0.05,none,0.08,3672,-0.0005678945505780004,-0.6996043661021745,0.46895424836601307,-0.03752439116951267,-0.10589714105233722,0.28921568627450983,0.23284313725490197,0.07026143790849673,0.0,0.4076797385620915,13.666053921568627
f_atr_xs_decile,0.05,0.05,2.0,none,3672,-0.00032162731357246194,-0.7402152327273402,0.4158496732026144,-0.022394064957423354,-0.098756733237355,0.11764705882352941,0.05065359477124183,0.0,0.8137254901960784,0.017973856209150325,1.7826797385620916
f_atr_xs_decile,none,0.1,2.0,none,3672,-0.0003771945065335746,-0.8517610262616533,0.39950980392156865,-0.024498753335934098,-0.08936992465041088,0.03758169934640523,0.0,0.0,0.9436274509803921,0.018790849673202614,1.9393382352941178
f_atr_xs_decile,0.05,0.05,4.0,none,3672,-0.0005100079819492148,-0.9165568589014977,0.41748366013071897,-0.03311543173473808,-0.09599688192636972,0.15359477124183007,0.07679738562091504,0.0,0.7516339869281046,0.017973856209150325,3.3570261437908497
f_atr_xs_decile,none,0.08,2.0,none,3672,-0.0003925006437489034,-0.9332221467408198,0.4011437908496732,-0.025447668930319134,-0.09859107685639414,0.05310457516339869,0.0,0.0,0.9281045751633987,0.018790849673202614,1.920547385620915
f_atr_xs_decile,0.03,0.05,none,none,3672,-0.0007061518706178791,-0.9792873735146942,0.4084967320261438,-0.04247715366046689,-0.08525754273632684,0.28022875816993464,0.48366013071895425,0.0,0.0,0.2361111111111111,9.972426470588236
f_atr_xs_decile,none,0.05,2.0,0.1,3672,-0.0004809244381169113,-0.9804854571868936,0.4117647058823529,-0.031054632630845957,-0.10157954603929513,0.10294117647058823,0.0,0.028594771241830064,0.8504901960784313,0.017973856209150325,1.8251633986928104
f_atr_xs_decile,0.08,0.05,2.0,0.1,3672,-0.0005408485179843449,-1.064891443772502,0.4117647058823529,-0.03447961657106646,-0.10539133309352516,0.10294117647058823,0.013888888888888888,0.021241830065359478,0.8439542483660131,0.017973856209150325,1.815359477124183
f_atr_xs_decile,0.05,0.05,8.0,none,3672,-0.0006297372490937822,-1.0870535158165642,0.41748366013071897,-0.03979788992813271,-0.08796101454404598,0.2099673202614379,0.12581699346405228,0.0,0.6462418300653595,0.017973856209150325,6.15625
f_atr_xs_decile,none,0.05,4.0,0.1,3672,-0.0007309818777732299,-1.198912071198545,0.4158496732026144,-0.044817293859073626,-0.09109267667400497,0.1388888888888889,0.0,0.035130718954248366,0.8080065359477124,0.017973856209150325,3.486111111111111
f_atr_xs_decile,0.03,0.05,none,0.1,3672,-0.0008574138761179808,-1.209557738546427,0.40522875816993464,-0.04985857185754483,-0.09440651870081768,0.2687908496732026,0.48366013071895425,0.011437908496732025,0.0,0.2361111111111111,9.972426470588236
f_atr_xs_decile,none,0.05,8.0,0.1,3672,-0.0007900378227807837,-1.2513393972279987,0.41830065359477125,-0.04830759045059463,-0.0848380969817847,0.19607843137254902,0.0,0.049019607843137254,0.7369281045751634,0.017973856209150325,6.57577614379085
f_atr_xs_decile,0.08,0.15,none,none,3672,-0.0016235805176906834,-1.3205980298422506,0.4207516339869281,-0.09779608836159559,-0.17527592849371287,0.06699346405228758,0.11764705882352941,0.0,0.0,0.815359477124183,20.671772875816995
f_atr_xs_decile,0.08,0.05,4.0,0.1,3672,-0.0008403676089187552,-1.3291754481093283,0.4150326797385621,-0.05092964861392335,-0.0973797688587357,0.1388888888888889,0.016339869281045753,0.025326797385620915,0.8014705882352942,0.017973856209150325,3.463031045751634
f_atr_xs_decile,0.05,0.05,2.0,0.1,3672,-0.0006913028505745312,-1.4276626848135483,0.41013071895424835,-0.041972747474068095,-0.10934456329145957,0.10212418300653595,0.05065359477124183,0.015522875816993464,0.8137254901960784,0.017973856209150325,1.7826797385620916
f_atr_xs_decile,0.08,0.05,8.0,0.1,3672,-0.0009598111099863777,-1.472857875971116,0.41830065359477125,-0.0573335151144001,-0.09044796118673848,0.19607843137254902,0.02696078431372549,0.03431372549019608,0.7246732026143791,0.017973856209150325,6.510212418300654
f_atr_xs_decile,0.05,0.15,none,none,3672,-0.0016744358002975506,-1.5492552198431577,0.4027777777777778,-0.09745614244897582,-0.15421313154831054,0.061274509803921566,0.2965686274509804,0.0,0.0,0.6421568627450981,18.0406454248366
f_atr_xs_decile,0.05,0.1,none,none,3672,-0.0016150620329967282,-1.5598974003075177,0.4125816993464052,-0.09303109029930046,-0.14738625819071188,0.11764705882352941,0.2908496732026144,0.0,0.0,0.5915032679738562,17.20486111111111
f_atr_xs_decile,0.08,0.08,none,none,3672,-0.0017412021191070901,-1.5646888277973197,0.4411764705882353,-0.10130206346603143,-0.1725113311432529,0.17483660130718953,0.11519607843137254,0.0,0.0,0.7099673202614379,18.883782679738562
f_atr_xs_decile,0.05,0.05,4.0,0.1,3672,-0.0009158812720738852,-1.5657564989921209,0.4117647058823529,-0.05423760941467848,-0.100116420913625,0.13725490196078433,0.07679738562091504,0.016339869281045753,0.7516339869281046,0.017973856209150325,3.3570261437908497
f_atr_xs_decile,none,0.08,4.0,none,3672,-0.0009598913706135814,-1.5666466885297607,0.4011437908496732,-0.05624027116970465,-0.09423222317272414,0.07026143790849673,0.0,0.0,0.9109477124183006,0.018790849673202614,3.761437908496732
f_atr_xs_decile,0.08,0.1,none,none,3672,-0.0019105448121391104,-1.6349170143434226,0.42892156862745096,-0.10972369539233273,-0.19287933237562266,0.12581699346405228,0.11601307189542484,0.0,0.0,0.7581699346405228,19.724468954248366
f_atr_xs_decile,0.03,0.05,2.0,none,3672,-0.0007028827717325005,-1.6624861225632468,0.40032679738562094,-0.04138020631352035,-0.1167909845403273,0.10620915032679738,0.1568627450980392,0.0,0.7197712418300654,0.01715686274509804,1.6750408496732025
f_atr_xs_decile,0.08,0.1,2.0,none,3672,-0.0008695853862811893,-1.6847162087500733,0.39869281045751637,-0.051356789864110186,-0.11331462508298482,0.03676470588235294,0.018790849673202614,0.0,0.9264705882352942,0.017973856209150325,1.9150326797385622
f_atr_xs_decile,0.05,0.08,none,none,3672,-0.0016860188142043375,-1.6919478156618992,0.4223856209150327,-0.09674354575022859,-0.14814717140651953,0.16339869281045752,0.2875816993464052,0.0,0.0,0.5490196078431373,16.456086601307188
f_atr_xs_decile,0.05,0.05,8.0,0.1,3672,-0.0010356105392184524,-1.7207590482578086,0.4117647058823529,-0.060751835686483235,-0.09333807767725735,0.19362745098039216,0.12581699346405228,0.016339869281045753,0.6462418300653595,0.017973856209150325,6.15625
f_atr_xs_decile,0.08,0.08,2.0,none,3672,-0.0008777590408738397,-1.7626232325218119,0.40032679738562094,-0.051893597261021496,-0.12193584296434783,0.05228758169934641,0.017973856209150325,0.0,0.9117647058823529,0.017973856209150325,1.8962418300653594
f_atr_xs_decile,0.03,0.05,none,0.08,3672,-0.0013179970171770857,-1.8492832192472899,0.40032679738562094,-0.07302036225509279,-0.11360510664971563,0.2540849673202614,0.48366013071895425,0.026143790849673203,0.0,0.2361111111111111,9.972426470588236
f_atr_xs_decile,none,0.05,4.0,0.08,3672,-0.0012242619141107538,-1.9320324237118005,0.40931372549019607,-0.07002566611309968,-0.10744820126122169,0.12418300653594772,0.0,0.07026143790849673,0.7875816993464052,0.017973856209150325,3.4393382352941178
f_atr_xs_decile,none,0.05,2.0,0.08,3672,-0.001040861698885096,-1.961580648927492,0.40604575163398693,-0.059913371993273956,-0.11827284907394327,0.08823529411764706,0.0,0.05473856209150327,0.8390522875816994,0.017973856209150325,1.80984477124183
f_atr_xs_decile,0.03,0.05,2.0,0.1,3672,-0.0008541447772326026,-1.9620753730351645,0.39705882352941174,-0.049039349793396525,-0.11645224672411789,0.09477124183006536,0.1568627450980392,0.011437908496732025,0.7197712418300654,0.01715686274509804,1.6750408496732025
f_atr_xs_decile,0.08,0.05,4.0,0.08,3672,-0.001258121838088512,-1.9719367987240346,0.40931372549019607,-0.07178614887760226,-0.10825131833787546,0.12418300653594772,0.014705882352941176,0.05555555555555555,0.7875816993464052,0.017973856209150325,3.4393382352941178
f_atr_xs_decile,0.03,0.05,4.0,none,3672,-0.0010167723097569332,-1.974870789119488,0.3946078431372549,-0.057851064649976025,-0.11213806799527892,0.14052287581699346,0.22303921568627452,0.0,0.619281045751634,0.01715686274509804,3.0241013071895426
f_atr_xs_decile,0.08,0.05,2.0,0.08,3672,-0.0010593298006049412,-1.9825324093501953,0.40604575163398693,-0.06091191862042833,-0.1190665396889237,0.08823529411764706,0.013888888888888888,0.04084967320261438,0.8390522875816994,0.017973856209150325,1.80984477124183
f_atr_xs_decile,none,none,none,none,3672,-0.0025410451102507474,-2.0047052742403824,0.42483660130718953,-0.1421831058320604,-0.2153254399658542,0.0,0.0,0.0,0.0,1.0,23.02124183006536
f_atr_xs_decile,none,0.05,8.0,0.08,3672,-0.0013246581546611958,-2.0475931010188315,0.41094771241830064,-0.0753641971252269,-0.10396002429397072,0.1781045751633987,0.0,0.10294117647058823,0.7009803921568627,0.017973856209150325,6.417892156862745
f_atr_xs_decile,none,0.1,4.0,none,3672,-0.0012933985584971182,-2.0883984195727003,0.397875816993464,-0.07251681537927457,-0.09148430148800375,0.042483660130718956,0.0,0.0,0.9387254901960784,0.018790849673202614,3.8194444444444446
f_atr_xs_decile,0.08,0.05,8.0,0.08,3672,-0.0013646032368790496,-2.094459396754022,0.41094771241830064,-0.07741878795071622,-0.10554705921523841,0.1781045751633987,0.017973856209150325,0.08496732026143791,0.7009803921568627,0.017973856209150325,6.417892156862745
f_atr_xs_decile,0.03,0.15,none,none,3672,-0.0020204197390151515,-2.1370269621511775,0.3374183006535948,-0.11113701130917153,-0.14332844964853256,0.05392156862745098,0.5400326797385621,0.0,0.0,0.40604575163398693,13.381535947712418
f_atr_xs_decile,none,0.05,none,0.05,3672,-0.001555766041444709,-2.1384455961222266,0.40441176470588236,-0.08739820669500342,-0.11265121303917625,0.20669934640522875,0.0,0.5253267973856209,0.0,0.2679738562091503,11.37826797385621
f_atr_xs_decile,0.05,0.1,2.0,none,3672,-0.00108890446048926,-2.1820919024010825,0.3946078431372549,-0.06256073438294829,-0.1177267731244849,0.03431372549019608,0.05555555555555555,0.0,0.8921568627450981,0.017973856209150325,1.872753267973856
f_atr_xs_decile,0.03,0.05,8.0,none,3672,-0.0012160546376157582,-2.201616506704165,0.3872549019607843,-0.06878839186506813,-0.0936642507761722,0.1919934640522876,0.3235294117647059,0.0,0.4673202614379085,0.01715686274509804,5.200980392156863
f_atr_xs_decile,none,0.08,8.0,none,3672,-0.0015476233854901864,-2.217195008301766,0.38643790849673204,-0.08707020473826832,-0.11048382447842409,0.09640522875816994,0.0,0.0,0.8848039215686274,0.018790849673202614,7.358251633986928
f_atr_xs_decile,0.08,0.08,4.0,none,3672,-0.0014508795836480656,-2.265861872053433,0.397875816993464,-0.08194117527996125,-0.11810285258103903,0.06944444444444445,0.021241830065359478,0.0,0.8913398692810458,0.017973856209150325,3.7011846405228757
f_atr_xs_decile,0.03,0.05,4.0,0.1,3672,-0.0011680343152570354,-2.28132438454132,0.39133986928104575,-0.065260962087206,-0.1117094536811438,0.12908496732026145,0.22303921568627452,0.011437908496732025,0.619281045751634,0.01715686274509804,3.0241013071895426
f_atr_xs_decile,none,0.15,2.0,none,3672,-0.0010927035669684615,-2.2959831270411617,0.39624183006535946,-0.062020779481106736,-0.11334102723581482,0.013071895424836602,0.0,0.0,0.9681372549019608,0.018790849673202614,1.974264705882353
f_atr_xs_decile,none,0.08,none,0.1,3672,-0.002499980008942443,-2.3242273359930876,0.4264705882352941,-0.13740224734097106,-0.19857297410938515,0.14950980392156862,0.0,0.14052287581699346,0.0,0.7099673202614379,18.794321895424837
f_atr_xs_decile,0.05,0.08,2.0,none,3672,-0.0011567984117303114,-2.3555144668282657,0.39624183006535946,-0.06614007249151665,-0.13222336107155766,0.04820261437908497,0.05473856209150327,0.0,0.8790849673202614,0.017973856209150325,1.8574346405228759
f_atr_xs_decile,0.03,0.1,none,none,3672,-0.002117898411578071,-2.3627139840753384,0.3464052287581699,-0.11462371619345302,-0.14966490831362958,0.10212418300653595,0.5334967320261438,0.0,0.0,0.36437908496732024,12.691380718954248
f_atr_xs_decile,0.05,0.05,4.0,0.08,3672,-0.0014131670597171064,-2.399211093771829,0.40441176470588236,-0.07906373038997172,-0.11606008288633615,0.12254901960784313,0.0718954248366013,0.03758169934640523,0.75,0.017973856209150325,3.3506944444444446
f_atr_xs_decile,none,0.1,8.0,none,3672,-0.001789600418820941,-2.456565578531805,0.37745098039215685,-0.09848331920932396,-0.10919111384570744,0.06535947712418301,0.0,0.0,0.9158496732026143,0.018790849673202614,7.53656045751634
f_atr_xs_decile,0.05,0.05,2.0,0.08,3672,-0.001247352306456819,-2.4586147757402497,0.4027777777777778,-0.0701936032535947,-0.1265808404803361,0.08741830065359477,0.04820261437908497,0.03349673202614379,0.8129084967320261,0.017973856209150325,1.7814542483660132
f_atr_xs_decile,0.08,0.05,none,0.05,3672,-0.0019179736187747692,-2.4622782091286792,0.40441176470588236,-0.10632046192850508,-0.1297713824285716,0.20669934640522875,0.011437908496732025,0.5138888888888888,0.0,0.2679738562091503,11.37826797385621
f_atr_xs_decile,0.03,0.05,8.0,0.1,3672,-0.0013673166431158602,-2.493308558414576,0.3839869281045752,-0.07609874633571545,-0.09370812233262013,0.18055555555555555,0.3235294117647059,0.011437908496732025,0.4673202614379085,0.01715686274509804,5.200980392156863
f_atr_xs_decile,0.03,0.08,none,none,3672,-0.0021469057270488722,-2.5103187090453813,0.3553921568627451,-0.11612540617638378,-0.1431163765932353,0.14133986928104575,0.5261437908496732,0.0,0.0,0.33251633986928103,12.072303921568627
f_atr_xs_decile,0.08,0.08,none,0.1,3672,-0.0028277515918926624,-2.5896307136555152,0.4256535947712418,-0.15271606148603623,-0.20839874207378659,0.14950980392156862,0.07924836601307189,0.09068627450980392,0.0,0.6805555555555556,18.433210784313726
f_atr_xs_decile,none,0.15,none,0.1,3672,-0.003059349892363795,-2.615515130656436,0.40032679738562094,-0.164917546700173,-0.22291644813861797,0.049019607843137254,0.0,0.17647058823529413,0.0,0.7745098039215687,19.893586601307188
f_atr_xs_decile,0.08,0.08,8.0,none,3672,-0.0018813773681386468,-2.628860996034447,0.38562091503267976,-0.10422612321854674,-0.1265450272919007,0.09558823529411764,0.03594771241830065,0.0,0.8504901960784313,0.017973856209150325,7.189746732026144
