date,market,regime,fold,p_lab_up_10,p_lab_dn_05,R1,net,outcome,pump20_hit,up_high_ret,down_low_ret,variant
2024-04-03,KRW-BTC,bull_volatile,0,0.0,0.15482652820391787,0.0,0.0031745026183461213,eod,0,0.012982415957856652,-0.014273369910361988,BASE
2024-04-04,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.028126328988000326,eod,0,0.03533605521129091,-0.00936768149882905,BASE
2024-04-05,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.012068656041027746,eod,0,0.002252501382673744,-0.026597616773090693,BASE
2024-04-06,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.004984728363063575,eod,0,0.015276719012044415,-0.006505056665142006,BASE
2024-04-07,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.002227272727272801,eod,0,0.014646464646464574,-0.0002424242424242662,BASE
2024-04-08,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.025993483883303636,eod,0,0.03738590506093442,-0.0027070816854350976,BASE
2024-04-09,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.0315,sl,0,0.0034198922097010698,-0.03576678098971098,BASE
2024-04-10,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.010480806566809888,eod,0,0.023549175627961327,-0.01805671518675367,BASE
2024-04-11,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.002096415542589046,eod,0,0.008459160445721148,-0.0056659476545958265,BASE
2024-04-12,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.009118706610172831,eod,0,0.008792345487457887,-0.01548606552485532,BASE
2024-04-13,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.0315,sl,0,0.009272918861960022,-0.04661548497164936,BASE
2024-04-14,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.017162519440124424,eod,0,0.021494855447869554,-0.01924958544900246,BASE
2024-04-15,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.0315,sl,0,0.0056504028059960465,-0.03263890994733698,BASE
2024-04-16,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,-0.0315,sl,0,0.004257743706619799,-0.03138920542836421,BASE
2024-04-17,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.0315,sl,0,0.009445903114114529,-0.056455746519242234,BASE
2024-04-18,KRW-BTC,bull_volatile,0,0.0,0.15482652820391787,0.0,0.01946479620293312,eod,0,0.030194993383567237,-0.015737267467929472,BASE
2024-04-19,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.0315,sl,0,0.027475586774027727,-0.052381360287819034,BASE
2024-04-20,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,0.013651515151515138,eod,0,0.023664203876218037,-0.008298533033515354,BASE
2024-04-21,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.0012047659215521076,eod,0,0.012115141290594655,-0.0055672711935892405,BASE
2024-04-22,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,0.02253304148096641,eod,0,0.028616282622667466,-0.0030449579079347977,BASE
2024-04-23,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.013779023848455916,eod,0,0.003630230668764556,-0.020495891566141178,BASE
2024-04-24,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.0315,sl,0,0.005787386412132722,-0.03473472744116335,BASE
2024-04-25,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.00978699743370398,eod,0,0.008543627031651013,-0.02466852010265186,BASE
2024-04-26,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.01023211802373841,eod,0,0.0025765138366338203,-0.013971388837981435,BASE
2024-04-27,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.006458947311184847,eod,0,0.0023924745799575042,-0.018084932847588497,BASE
2024-04-28,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.012090279675187663,eod,0,0.012360790828314983,-0.014710543284626065,BASE
2024-04-29,KRW-BTC,bull_quiet,0,0.0,0.0370545197073401,0.0,0.008076618470612975,eod,0,0.016204036097334784,-0.022455900058542144,BASE
2024-04-30,KRW-BTC,bull_quiet,0,0.0,0.0219443133553563,0.0,-0.0315,sl,0,0.01247264770240708,-0.06339168490153169,BASE
2024-05-01,KRW-BTC,bull_quiet,0,0.0,0.2846353552041539,0.0,-0.0315,sl,0,0.005427299430879273,-0.08200615017440793,BASE
2024-05-02,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.19395941481831053,0.006082725060827251,-0.0315,sl,0,0.006000071857148015,-0.03470700247907166,BASE
2024-05-03,KRW-BTC,bull_quiet,0,0.0,0.06347333647947145,0.0,0.0485,tp,0,0.08093049003562136,-0.0034779050736497563,BASE
2024-05-04,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.009833729043240704,eod,0,0.02051718538262537,-0.015466284395963759,BASE
2024-05-05,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.004179866671096209,eod,0,0.0050496661240491125,-0.021837591220668195,BASE
2024-05-06,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,-0.015884017758046654,eod,0,0.017547169811320762,-0.017758046614872347,BASE
2024-05-07,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,-0.01484760081099351,eod,0,0.015510250056318897,-0.01441766163550351,BASE
2024-05-08,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,-0.021170072492722236,eod,0,0.011085107597465615,-0.028380615331925374,BASE
2024-05-09,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,0.024631917272219195,eod,0,0.030603689211850194,-0.009921743991056498,BASE
2024-05-10,KRW-BTC,bull_volatile,0,0.003540240736370073,0.0066068900424728644,0.5358407228834418,-0.0315,sl,0,0.0041309183349220735,-0.034000635525897716,BASE
2024-05-11,KRW-BTC,bull_volatile,0,0.0,0.06347333647947145,0.0,-0.0020941147689941806,eod,0,0.007665245450944713,-0.007374012721045653,BASE
2024-05-12,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,0.00700905106596267,eod,0,0.013835950157941923,-0.002016528540289775,BASE
2024-05-13,KRW-BTC,bull_volatile,0,0.0,0.0370545197073401,0.0,0.01476194796638969,eod,0,0.02269969140439887,-0.012840813212977142,BASE
2024-05-14,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0219443133553563,0.053763440860215055,-0.017807685309436605,eod,0,0.0033093001569359792,-0.0242568289853754,BASE
2024-05-15,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.0485,tp,0,0.06842032268503528,-0.003744625768572929,BASE
2024-05-16,KRW-BTC,bull_volatile,0,0.03469435921642672,0.1149126946672959,0.3019192902653315,-0.015732827783869474,eod,0,0.008131493524117683,-0.02020388444376897,BASE
2024-05-17,KRW-BTC,bull_volatile,0,0.003540240736370073,0.0370545197073401,0.09554140127388536,0.01839233699182069,eod,0,0.02514338555025919,-0.0015301797686015917,BASE
2024-05-18,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.0031852059763364817,eod,0,0.009370411952672963,-0.003184644615251697,BASE
2024-05-19,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.010966400189113155,eod,0,0.009928437882792851,-0.013141211613263759,BASE
2024-05-20,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.0485,tp,0,0.055095731409665394,-0.0027553289580733997,BASE
2024-05-21,KRW-BTC,bull_volatile,0,0.003540240736370073,0.0370545197073401,0.09554140127388536,-0.007257762697923052,eod,0,0.009150730002056351,-0.017365823565700156,BASE
2024-05-22,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0370545197073401,0.03183961909685797,-0.014899919352337197,eod,0,0.0029157231924066274,-0.021475025073151577,BASE
2024-05-23,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,-0.006960014043030314,eod,0,0.015300615168568843,-0.025371773508976014,BASE
2024-05-24,KRW-BTC,bull_volatile,0,0.0011798017932987258,0.0066068900424728644,0.17857142857142858,0.001840463871355226,eod,0,0.01330916678082561,-0.016828772247805546,BASE
2024-05-25,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.009275726258743568,eod,0,0.01453567752641427,-0.00023105845778981227,BASE
2024-05-26,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.00804613466334164,eod,0,0.003636741479634331,-0.00872817955112215,BASE
2024-05-27,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,0.0028499173933956303,eod,0,0.018047974569713743,-0.00610661480226693,BASE
2024-05-28,KRW-BTC,bull_volatile,0,0.0,0.0066068900424728644,0.0,-0.016596304008328955,eod,0,0.0007183758459134992,-0.024945340968245744,BASE
2024-05-29,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.009360206647368306,eod,0,0.006106450863143653,-0.01282565977137784,BASE
2024-05-30,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.009499893515067694,eod,0,0.02353317005643696,-0.0030880630390799357,BASE
2024-05-31,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,-0.006710526315789443,eod,0,0.010526315789473717,-0.013684210526315743,BASE
2024-06-01,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.0007856175399983414,eod,0,0.003661220689071376,-0.0015131634639803382,BASE
2024-06-02,KRW-BTC,bull_volatile,0,0.0,0.0219443133553563,0.0,0.001011555264768539,eod,0,0.009117578776302704,-0.0027648213418880463,BASE
2024-06-03,KRW-BTC,bull_quiet,0,0.0,0.0219443133553563,0.0,0.008963157894736952,eod,0,0.024821052631578855,-0.0018421052631578672,BASE
2024-06-04,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,0.014188480530033023,eod,0,0.020136675208867194,-0.004937808613038275,BASE
2024-06-05,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,0.007680428761924376,eod,0,0.01537593599343512,-0.0021540670838035014,BASE
2024-06-06,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.0020183717030035062,eod,0,0.010316613304873767,-0.0038217207907709216,BASE
2024-06-07,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.005588648406749273,eod,0,0.01351694958350702,-0.011208185433427276,BASE
2024-06-08,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,0.0006037796546123921,eod,0,0.0036662956116790824,-0.0017259163185898707,BASE
2024-06-09,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.003069234845165468,eod,0,0.0026799270407695808,-0.004351060252504202,BASE
2024-06-10,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.008715537389138937,eod,0,0.0004898808977067404,-0.01023646959166391,BASE
2024-06-11,KRW-BTC,bull_quiet,0,0.0,0.0066068900424728644,0.0,-0.0315,sl,0,0.0007298594763516242,-0.03554724041159962,BASE
