krw_market,binance_market,mappable,binance_db_has,n_rows,n_rows_with_binance,coverage
KRW-ETH,BINANCE-ETHUSDT,True,True,1270,1177,0.926771653543307
KRW-ETHFI,BINANCE-ETHFIUSDT,True,True,121,121,1.0
KRW-F,BINANCE-FUSDT,True,True,270,270,1.0
KRW-FCT2,BINANCE-FCT2USDT,True,False,1270,0,0.0
KRW-FF,BINANCE-FFUSDT,True,True,292,292,1.0
KRW-FIL,BINANCE-FILUSDT,True,True,470,470,1.0
KRW-FLOCK,BINANCE-FLOCKUSDT,True,False,312,0,0.0
KRW-FLUID,BINANCE-FLUIDUSDT,True,False,297,0,0.0
KRW-G,BINANCE-GUSDT,True,True,737,735,0.9972862957937585
KRW-GAME2,BINANCE-GAME2USDT,True,False,1270,0,0.0
KRW-GAS,BINANCE-GASUSDT,True,True,1270,1177,0.926771653543307
KRW-GLM,BINANCE-GLMUSDT,True,True,1270,1177,0.926771653543307
KRW-GMT,BINANCE-GMTUSDT,True,True,1270,1177,0.926771653543307
KRW-GRT,BINANCE-GRTUSDT,True,True,1143,1143,1.0
KRW-HBAR,BINANCE-HBARUSDT,True,True,1270,1177,0.926771653543307
KRW-HIVE,BINANCE-HIVEUSDT,True,True,1270,1177,0.926771653543307
KRW-HOLO,BINANCE-HOLOUSDT,True,True,310,310,1.0
KRW-HP,BINANCE-HPUSDT,True,False,1270,0,0.0
KRW-HUNT,BINANCE-HUNTUSDT,True,False,1270,0,0.0
KRW-HYPER,BINANCE-HYPERUSDT,True,True,373,373,1.0
KRW-ICP,BINANCE-ICPUSDT,True,True,129,129,1.0
KRW-ICX,BINANCE-ICXUSDT,True,True,1270,1177,0.926771653543307
KRW-ID,BINANCE-IDUSDT,True,True,892,892,1.0
KRW-IMX,BINANCE-IMXUSDT,True,True,1086,1086,1.0
KRW-IN,BINANCE-INUSDT,True,False,281,0,0.0
KRW-INJ,BINANCE-INJUSDT,True,True,639,639,1.0
KRW-IO,BINANCE-IOUSDT,True,True,50,50,1.0
KRW-IOST,BINANCE-IOSTUSDT,True,True,1270,1177,0.926771653543307
KRW-IOTA,BINANCE-IOTAUSDT,True,True,1270,1177,0.926771653543307
KRW-IQ,BINANCE-IQUSDT,True,True,1270,1036,0.815748031496063
