date,coin,crowd_q,btc_regime,net_eod_d1,has_path,net_tp5_sl3,oc_tp5_sl3,net_eod15,oc_eod15,net_tp5_sl5,oc_tp5_sl5,net_tp10_sl3,oc_tp10_sl3,net_noSL_eod,oc_noSL_eod
2023-12-23,KRW-APT,mid,bull_volatile,0.003288507581803713,False,,,,,,,,,,
2023-12-26,KRW-APT,mid,bull_volatile,0.0389332129963898,False,,,,,,,,,,
2024-01-05,KRW-APT,mid,bull_quiet,-0.06840647482014389,False,,,,,,,,,,
2024-01-14,KRW-APT,mid,bull_volatile,-0.03638372093023251,False,,,,,,,,,,
2024-01-24,KRW-APT,mid,bull_volatile,-0.02785914332784184,False,,,,,,,,,,
2024-02-16,KRW-APT,mid,bull_quiet,-0.029396995708154516,False,,,,,,,,,,
2023-09-23,KRW-AQT,mid,bear_quiet,0.020640221402213943,False,,,,,,,,,,
2023-09-29,KRW-AQT,mid,bear_quiet,-0.036465034965035,False,,,,,,,,,,
2023-10-21,KRW-AQT,low,bull_quiet,0.020239130434782704,False,,,,,,,,,,
2023-10-23,KRW-AQT,mid,bull_quiet,-0.06361180124223602,False,,,,,,,,,,
2023-11-05,KRW-AQT,mid,bull_volatile,0.001247252747252737,False,,,,,,,,,,
2023-11-12,KRW-AQT,mid,bull_volatile,-0.08228602620087339,False,,,,,,,,,,
2024-01-07,KRW-AQT,low,bull_quiet,-0.05085064935064936,False,,,,,,,,,,
2024-01-14,KRW-AQT,mid,bull_volatile,-0.0241757369614512,False,,,,,,,,,,
2024-01-16,KRW-AQT,mid,bull_volatile,-0.03620715835141003,False,,,,,,,,,,
2023-09-29,KRW-ARB,mid,bear_quiet,0.006764462809917328,False,,,,,,,,,,
2023-10-02,KRW-ARB,mid,bull_quiet,-0.03203435114503822,False,,,,,,,,,,
2023-11-04,KRW-ARB,mid,bull_volatile,0.03007894736842115,False,,,,,,,,,,
2023-11-10,KRW-ARB,low,bull_volatile,-0.02927777777777779,False,,,,,,,,,,
2023-11-16,KRW-ARB,low,bull_volatile,-0.04097368421052633,False,,,,,,,,,,
2023-12-03,KRW-ARB,mid,bull_volatile,-0.008234006734006703,False,,,,,,,,,,
2023-12-08,KRW-ARB,low,bull_volatile,-0.013922360248447228,False,,,,,,,,,,
2023-12-13,KRW-ARB,mid,bull_volatile,-0.062018731988472575,False,,,,,,,,,,
2023-12-23,KRW-ARB,high,bull_volatile,-0.01968181818181819,False,,,,,,,,,,
2023-12-28,KRW-ARB,low,bull_volatile,-0.026375621890547263,False,,,,,,,,,,
2024-01-01,KRW-ARB,mid,bull_volatile,0.09588717339667469,False,,,,,,,,,,
2024-01-02,KRW-ARB,mid,bull_volatile,0.028803030303030278,False,,,,,,,,,,
2024-01-04,KRW-ARB,high,bull_volatile,0.029034351145038217,False,,,,,,,,,,
2024-01-11,KRW-ARB,high,bull_volatile,0.016592105263157964,False,,,,,,,,,,
2024-02-13,KRW-ARB,mid,bull_quiet,-0.006167863554757678,False,,,,,,,,,,
2023-09-23,KRW-ARDR,mid,bear_quiet,0.005768951194184803,False,,,,,,,,,,
2023-10-19,KRW-ARDR,mid,bull_quiet,0.33503846153846145,False,,,,,,,,,,
2023-10-20,KRW-ARDR,high,bull_quiet,0.0920251798561152,False,,,,,,,,,,
2023-10-21,KRW-ARDR,high,bull_quiet,-0.14057284768211922,False,,,,,,,,,,
2023-10-31,KRW-ARDR,low,bull_quiet,-0.05661811023622048,False,,,,,,,,,,
2023-11-05,KRW-ARDR,low,bull_volatile,-0.00956451612903225,False,,,,,,,,,,
2023-11-15,KRW-ARDR,mid,bull_volatile,0.07488888888888884,False,,,,,,,,,,
2023-12-07,KRW-ARDR,low,bull_volatile,-0.015013513513513488,False,,,,,,,,,,
2023-09-16,KRW-ARK,high,bear_quiet,0.27320355731225293,False,,,,,,,,,,
2023-09-17,KRW-ARK,high,bear_quiet,0.02640697674418596,False,,,,,,,,,,
2023-09-20,KRW-ARK,high,bear_quiet,0.04673529411764715,False,,,,,,,,,,
2023-09-21,KRW-ARK,high,bear_quiet,-0.13408426966292136,False,,,,,,,,,,
2023-09-23,KRW-ARK,low,bear_quiet,-0.04717307692307687,False,,,,,,,,,,
2023-09-27,KRW-ARK,low,bear_quiet,0.01592627345844494,False,,,,,,,,,,
2023-10-06,KRW-ARK,low,bear_quiet,0.16593471582181257,False,,,,,,,,,,
2023-10-07,KRW-ARK,mid,bull_quiet,-0.04629578392621875,False,,,,,,,,,,
2023-10-13,KRW-ARK,low,bear_quiet,0.02656499261447559,False,,,,,,,,,,
2023-10-16,KRW-ARK,mid,bear_quiet,-0.058027590847913806,False,,,,,,,,,,
2023-10-28,KRW-ARK,mid,bull_quiet,0.016555555555555487,False,,,,,,,,,,
2023-10-30,KRW-ARK,high,bull_quiet,0.34269551934826886,False,,,,,,,,,,
2023-10-31,KRW-ARK,high,bull_quiet,0.03637878787878785,False,,,,,,,,,,
2023-11-04,KRW-ARK,high,bull_volatile,0.4050573770491804,False,,,,,,,,,,
2023-11-05,KRW-ARK,high,bull_volatile,-0.059775058275058295,False,,,,,,,,,,
2023-11-10,KRW-ARK,low,bull_volatile,0.17209413202933993,False,,,,,,,,,,
2023-11-11,KRW-ARK,mid,bull_volatile,-0.198152719665272,False,,,,,,,,,,
2023-11-13,KRW-ARK,low,bull_volatile,-0.15396636771300448,False,,,,,,,,,,
2023-11-15,KRW-ARK,low,bull_volatile,0.024504728132387636,False,,,,,,,,,,
2023-11-18,KRW-ARK,low,bull_volatile,-0.0855909090909091,False,,,,,,,,,,
2023-11-25,KRW-ARK,low,bull_volatile,-0.03145391705069128,False,,,,,,,,,,
2023-12-03,KRW-ARK,low,bull_volatile,-0.01800165016501648,False,,,,,,,,,,
2023-12-24,KRW-ARK,low,bull_volatile,-0.04420462633451954,False,,,,,,,,,,
2024-01-11,KRW-ARK,low,bull_volatile,0.04827375565610864,False,,,,,,,,,,
2024-01-25,KRW-ARK,high,bull_volatile,0.09584513274336276,False,,,,,,,,,,
2024-01-26,KRW-ARK,high,bull_volatile,-0.03764457831325302,False,,,,,,,,,,
2024-01-31,KRW-ARK,mid,bull_volatile,-0.057706088992974205,False,,,,,,,,,,
2024-02-17,KRW-ARK,low,bull_quiet,0.010074074074074181,False,,,,,,,,,,
2023-12-25,KRW-ASTR,mid,bull_volatile,-0.008396551724137944,False,,,,,,,,,,
2023-12-27,KRW-ASTR,mid,bull_volatile,0.07444936708860755,False,,,,,,,,,,
2023-12-31,KRW-ASTR,high,bull_volatile,-0.0383421052631579,False,,,,,,,,,,
2024-01-03,KRW-ASTR,high,bull_volatile,0.03437443946188351,False,,,,,,,,,,
2024-01-09,KRW-ASTR,low,bull_volatile,-0.047653846153846095,False,,,,,,,,,,
2024-01-12,KRW-ASTR,low,bull_volatile,-0.0773928571428571,False,,,,,,,,,,
2024-01-17,KRW-ASTR,mid,bull_volatile,0.038678571428571396,False,,,,,,,,,,
2024-01-28,KRW-ASTR,mid,bull_volatile,-0.05460077519379841,False,,,,,,,,,,
2023-09-19,KRW-ATOM,mid,bear_quiet,0.012115733736762392,False,,,,,,,,,,
2023-11-26,KRW-ATOM,low,bull_volatile,0.04338188976377949,False,,,,,,,,,,
2023-11-27,KRW-ATOM,mid,bull_volatile,-0.05421084337349397,False,,,,,,,,,,
