b,pred_prob,actual_hit,n,score,label
0,0.006020594202324678,0.012207274539113104,8028,cal_composite,lab_pump20
1,0.007125807091726196,0.010837070254110613,8028,cal_composite,lab_pump20
2,0.008182057519468414,0.012954658694569009,8028,cal_composite,lab_pump20
3,0.008618683030460036,0.010712506228201295,8028,cal_composite,lab_pump20
4,0.009257709353929692,0.013702042850024913,8028,cal_composite,lab_pump20
5,0.00999025027504346,0.01582160209293634,8027,cal_composite,lab_pump20
6,0.011494532402855128,0.020303936223218733,8028,cal_composite,lab_pump20
7,0.014350876499915396,0.02192326856003986,8028,cal_composite,lab_pump20
8,0.021915863203390104,0.029397110114598904,8028,cal_composite,lab_pump20
9,0.05123478994916616,0.0666417538614848,8028,cal_composite,lab_pump20
0,0.0013362977183246827,0.0032386646736422523,8028,cal_logit,lab_pump20
1,0.0022077104279541937,0.005605381165919282,8028,cal_logit,lab_pump20
2,0.0034124031648995845,0.005979073243647235,8028,cal_logit,lab_pump20
3,0.0049267076042351825,0.010089686098654708,8028,cal_logit,lab_pump20
4,0.006848411196620005,0.009093173891380169,8028,cal_logit,lab_pump20
5,0.008781769017932452,0.01482496574062539,8027,cal_logit,lab_pump20
6,0.012180105486641212,0.02105132037867464,8028,cal_logit,lab_pump20
7,0.016501720105303295,0.025037369207772796,8028,cal_logit,lab_pump20
8,0.031429560883830844,0.03849028400597907,8028,cal_logit,lab_pump20
9,0.08035740881009659,0.08109118086696562,8028,cal_logit,lab_pump20
0,0.0,0.00523168908819133,8028,cal_xgb,lab_pump20
1,0.0,0.00523168908819133,8028,cal_xgb,lab_pump20
2,0.0,0.0051071250622820126,8028,cal_xgb,lab_pump20
3,0.0,0.004733432984554061,8028,cal_xgb,lab_pump20
4,0.0003425523905293019,0.012705530642750373,8028,cal_xgb,lab_pump20
5,0.0018617614170834532,0.0115858975956148,8027,cal_xgb,lab_pump20
6,0.0058776121016075765,0.01905829596412556,8028,cal_xgb,lab_pump20
7,0.01495341341894932,0.02628300946686597,8028,cal_xgb,lab_pump20
8,0.04190114685628037,0.04185351270553064,8028,cal_xgb,lab_pump20
9,0.12272853901598707,0.08271051320378675,8028,cal_xgb,lab_pump20
