bucket,n,mean_pred_pct,actual_hit_pct,score_min,score_max,calib_error_pp
0,508,28.758281761208387,37.00787401574803,0.0457510761916637,0.3978108763694763,-8.249592254539643
1,508,45.76613778673757,41.338582677165356,0.3986116051673889,0.5079578757286072,4.427555109572218
2,508,54.714996045030006,45.47244094488189,0.5081166625022888,0.5808152556419373,9.242555100148117
3,508,60.894952737909605,44.09448818897638,0.5809121131896973,0.6338371634483337,16.800464548933228
4,508,65.52430231740155,46.8503937007874,0.6339009404182434,0.6772308349609375,18.67390861661415
5,508,69.71208122302228,49.803149606299215,0.677245557308197,0.716578483581543,19.908931616723066
6,508,73.60999263881698,47.83464566929133,0.7166051864624023,0.7562206387519836,25.775346969525643
7,508,77.52806920939544,52.55905511811023,0.756308376789093,0.7929219007492065,24.96901409128521
8,508,81.65366561628701,55.118110236220474,0.7930618524551392,0.8432402610778809,26.53555538006654
9,508,88.2328599808723,58.07086614173228,0.8434094786643982,0.9630975127220154,30.161993839140024
