base,on_rate,prec_on,recall,lift,dead_off,n,rule,family,tau
0.5324980422866092,0.9992169146436961,0.5321316614420063,0.9985294117647059,0.99931195832565,0.0,1277,n_pump10_l1>=0,A_l1,0.0
0.5324980422866092,0.9725920125293657,0.5450885668276972,0.9955882352941177,1.0236442644690726,0.11428571428571428,1277,n_pump10_l1>=1,A_l1,1.0
0.5324980422866092,0.9060297572435395,0.5782195332757131,0.9838235294117647,1.085862270578067,0.11666666666666667,1277,n_pump10_l1>=2,A_l1,2.0
0.5324980422866092,0.8159749412685983,0.6170825335892515,0.9455882352941176,1.15884469910805,0.10212765957446808,1277,n_pump10_l1>=3,A_l1,3.0
0.5324980422866092,0.7086922474549726,0.6729281767955801,0.8955882352941177,1.2637195320116998,0.08064516129032258,1277,n_pump10_l1>=4,A_l1,4.0
0.5324980422866092,0.6170712607674237,0.7170050761421319,0.8308823529411765,1.3464933562257388,0.065439672801636,1277,n_pump10_l1>=5,A_l1,5.0
0.5324980422866092,0.5317149569303053,0.7584683357879234,0.7573529411764706,1.424358918825262,0.05518394648829431,1277,n_pump10_l1>=6,A_l1,6.0
0.5324980422866092,0.4573218480814409,0.791095890410959,0.6794117647058824,1.4856315471394037,0.049062049062049064,1277,n_pump10_l1>=7,A_l1,7.0
0.5324980422866092,0.9937353171495693,0.5334909377462569,0.9955882352941177,1.001864599267603,0.0,1277,n_pump10_3d>=0.5,B_3d,0.5
0.5324980422866092,0.9835552075176194,0.5382165605095541,0.9941176470588236,1.0107390408392656,0.047619047619047616,1277,n_pump10_3d>=1.0,B_3d,1.0
0.5324980422866092,0.9365700861393892,0.5627090301003345,0.9897058823529412,1.0567344579972457,0.1728395061728395,1277,n_pump10_3d>=1.5,B_3d,1.5
0.5324980422866092,0.9122944400939702,0.575107296137339,0.9852941176470589,1.0800176723049735,0.14285714285714285,1277,n_pump10_3d>=2.0,B_3d,2.0
0.5324980422866092,0.8613938919342208,0.6018181818181818,0.9735294117647059,1.1301791443850266,0.12429378531073447,1277,n_pump10_3d>=2.5,B_3d,2.5
0.5324980422866092,0.8371182458888019,0.6108512628624883,0.9602941176470589,1.1471427392285258,0.11538461538461539,1277,n_pump10_3d>=3.0,B_3d,3.0
0.5324980422866092,0.601409553641347,0.5755208333333334,0.65,1.0807942708333333,0.0275049115913556,1277,breadth_l1>=0.3,C_breadth,0.3
0.5324980422866092,0.5207517619420516,0.5759398496240602,0.5632352941176471,1.0815811587793014,0.03104575163398693,1277,breadth_l1>=0.4,C_breadth,0.4
0.5324980422866092,0.4447924823805795,0.5827464788732394,0.48676470588235293,1.094363608119304,0.028208744710860368,1277,breadth_l1>=0.5,C_breadth,0.5
0.5324980422866092,0.3711824588880188,0.5780590717299579,0.40294117647058825,1.0855609332340532,0.028642590286425903,1277,breadth_l1>=0.6,C_breadth,0.6
0.5324980422866092,0.5160532498042286,0.5811836115326252,0.5632352941176471,1.0914286351870035,0.03398058252427184,1277,l1>=1 & breadth>=0.4,D_combo,1.0
0.5324980422866092,0.4408770555990603,0.5879218472468917,0.48676470588235293,1.1040826454915893,0.03081232492997199,1277,l1>=1 & breadth>=0.5,D_combo,1.0
0.5324980422866092,0.490211433046202,0.6054313099041534,0.5573529411764706,1.136964386393535,0.03686635944700461,1277,l1>=2 & breadth>=0.4,D_combo,2.0
0.5324980422866092,0.418167580266249,0.6142322097378277,0.4823529411764706,1.1534919585811851,0.033647375504710635,1277,l1>=2 & breadth>=0.5,D_combo,2.0
0.5324980422866092,0.4643696162881754,0.6306913996627319,0.55,1.1844013490725127,0.039473684210526314,1277,l1>=3 & breadth>=0.4,D_combo,3.0
0.5324980422866092,0.39937353171495693,0.6352941176470588,0.4764705882352941,1.193044982698962,0.035202086049543675,1277,l1>=3 & breadth>=0.5,D_combo,3.0
0.5324980422866092,0.4032889584964761,0.5825242718446602,0.4411764705882353,1.0939463163906338,0.023622047244094488,1277,btc_rv_l1>=0.02,E_btcrv,0.02
0.5324980422866092,0.10258418167580266,0.7099236641221374,0.13676470588235295,1.3331948810058374,0.027923211169284468,1277,btc_rv_l1>=0.03,E_btcrv,0.03
0.5324980422866092,0.02662490211433046,0.9411764705882353,0.047058823529411764,1.7674740484429066,0.027353177795655673,1277,btc_rv_l1>=0.04,E_btcrv,0.04
