boot,sharpe_a,sharpe_b,sharpe_diff
0,0.7263796048640182,0.5673191830239537,0.15906042184006453
1,0.6875985802613003,0.6502666248379644,0.037331955423335894
2,0.20660844973457765,-0.001129784078719226,0.20773823381329687
3,2.4249483450221176,2.073284000916969,0.3516643441051488
4,0.9337129581017722,0.7906887636640819,0.14302419443769032
5,2.541345488559551,2.303453042997922,0.23789244556162892
6,1.0415873320952582,1.0255746600154472,0.016012672079811052
7,1.4320833975330056,1.384729866098167,0.04735353143483856
8,0.6968361708402022,0.5667434931304216,0.1300926777097806
9,0.9163267933053634,0.8876791675005989,0.02864762580476443
10,1.160894639945585,1.0563708789057686,0.10452376103981642
11,1.2869494348931063,1.0584274914449987,0.2285219434481076
12,0.730678904526132,0.539813631597911,0.19086527292822109
13,0.902260374513654,0.7481640238228464,0.15409635069080763
14,0.8008804114840204,0.6065098290807706,0.1943705824032499
15,1.4370333557580293,1.221930013093318,0.21510334266471132
16,0.6713228924041721,0.4446613596817245,0.2266615327224476
17,0.018553957068797294,-0.07610839249865017,0.09466234956744747
18,1.1723552790840037,1.181590803855545,-0.009235524771541215
19,1.6443829814612758,1.5020162393178906,0.14236674214338518
20,0.37036228598245063,0.043006095405429844,0.3273561905770208
21,0.5469439432477329,0.4699008060415274,0.07704313720620548
22,1.6160010481832654,1.3313573996345747,0.28464364854869073
23,1.487143458426531,1.3790368028589748,0.10810665556755628
24,1.5208626180451033,1.210704682274306,0.3101579357707973
25,2.2282129838888274,2.200434091520911,0.02777889236791653
26,0.6402637856929679,0.6775412508840392,-0.037277465191071224
27,1.35743554777118,1.013178175477811,0.34425737229336884
28,1.2137196667126529,1.1275999743496938,0.08611969236295902
29,0.3718538150581696,0.3649929777798991,0.006860837278270526
30,2.033631334872306,1.762550738126853,0.27108059674545304
31,0.8782701438908372,0.7657570819493345,0.11251306194150279
32,0.6845185157996572,0.4759386447568935,0.20857987104276365
33,3.203443578342463,2.8436711503171543,0.3597724280253085
34,0.6590537040186233,0.4484960961474645,0.2105576078711588
35,2.14702074494472,1.7751183888530067,0.3719023560917134
36,1.4691196113030327,1.089066209243864,0.3800534020591686
37,0.8096611827856856,0.44888716669190915,0.3607740160937764
38,0.6426763300283949,0.6416489370716414,0.00102739295675347
39,1.1797284448461025,1.211204243745023,-0.03147579889892049
40,1.2838424444297882,1.1990846128107238,0.08475783161906447
41,0.16041576151614528,-0.2590245287500651,0.4194402902662104
42,0.3039286079698162,0.10083301964083947,0.20309558832897673
43,0.12101750082022897,-0.0169572941279685,0.13797479494819748
44,0.47811983780036,0.3108326958832584,0.1672871419171016
45,0.9248780330368137,0.8564450374563451,0.06843299558046856
46,1.1427911162483113,0.8967872930615645,0.24600382318674685
47,1.0485649078359052,1.0140051053262618,0.03455980250964341
48,1.6256352723138734,1.6045563208487192,0.02107895146515415
49,0.8843934448965233,0.8229003024363825,0.061493142460140815
50,1.6400495315686667,1.3098688178359033,0.3301807137327635
51,0.6798141076473206,0.4305638651956618,0.24925024245165883
52,0.6799020149109761,0.5545055254917335,0.12539648941924264
53,2.2232788697878605,2.1676811764015156,0.055597693386344904
54,1.6118888103240991,1.6134871872940852,-0.001598376969986104
55,1.8057296466401407,1.8599372792922813,-0.05420763265214057
56,2.0041025281885427,1.6904959606161476,0.31360656757239513
57,0.9158682186263647,0.7861877305956888,0.1296804880306759
58,1.7890647795162566,1.7806688453822146,0.008395934134042049
59,2.336852912523019,2.073112065116563,0.263740847406456
60,0.3577177423964457,0.12476294539267822,0.23295479700376748
61,1.0235754882813046,1.0706864598873889,-0.04711097160608424
62,1.6995922112610717,1.2627547075886165,0.4368375036724552
63,0.9353485608305805,0.787384303901387,0.14796425692919346
64,0.772004540725335,0.5905570905077056,0.18144745021762942
65,0.5704206923675141,0.5804456825021717,-0.010024990134657519
66,0.823958852793745,0.7314140438160807,0.09254480897766437
67,2.0487658522254364,1.6256218582432806,0.42314399398215574
68,-0.0793782591776019,-0.0775375674432197,-0.0018406917343821994
69,1.3989078707981426,1.2946499090244745,0.10425796177366808
70,0.5161601866047403,0.3463141385996246,0.16984604800511566
71,0.7573696539333054,0.6820754468332354,0.07529420710006995
72,2.1876685088186942,2.002263563556313,0.18540494526238138
73,1.133621659712898,0.8442771675120545,0.2893444922008436
74,1.6277194005108542,1.3645171588398821,0.26320224167097206
75,0.9380007099694865,0.7284708863640049,0.20952982360548156
76,1.636711616051205,1.273542982701735,0.3631686333494699
77,0.2690889116289538,0.0703828115269128,0.19870610010204104
78,0.20837383450000885,0.04127232032681853,0.1671015141731903
79,1.6206351468849838,1.3739688452911674,0.24666630159381642
80,1.3884581758668206,1.0721548821718834,0.31630329369493726
81,1.2438023594536745,1.0914112804273557,0.15239107902631877
82,2.3464924661303606,2.1464507268518127,0.20004173927854785
83,-0.5388148460693525,-0.7709441811042582,0.23212933503490574
84,0.17167037043650596,-0.24372290821764014,0.4153932786541461
85,1.6016868054817515,1.3768995853873474,0.2247872200944041
86,2.4680987767774893,2.1749282314545777,0.29317054532291165
87,1.6740878910991255,1.6179295866428673,0.056158304456258135
88,2.3229995373503916,2.157531204998764,0.16546833235162772
89,0.8864132787150636,0.7271647287239766,0.15924854999108695
90,1.8497955669933672,1.6606427227232174,0.18915284427014978
91,2.064452503069818,1.8327354798788842,0.2317170231909338
92,-0.04245159927018143,-0.26516556245445977,0.22271396318427833
93,1.513090626885356,1.3741611449490312,0.1389294819363247
94,0.8545747646390546,0.6976785749139796,0.15689618972507502
95,1.1425847433071512,1.1845768192961668,-0.041992075989015554
96,0.14585187291129065,0.05005755605530602,0.09579431685598463
97,1.7500138769159996,1.5183400387326065,0.23167383818339315
98,1.5821662172056365,1.3864413420320139,0.1957248751736227
99,0.606664955157265,0.37481333692443036,0.23185161823283468
100,-0.012617953707365424,-0.05183260033217729,0.03921464662481187
101,1.8220150351036775,1.5838175924243894,0.2381974426792881
102,1.9125631388969937,1.6303628627166753,0.2822002761803184
103,0.4089574134631949,0.3417206675809261,0.0672367458822688
104,0.5977861240905534,0.1896942314814554,0.40809189260909806
105,0.7319811578276749,0.691743171852992,0.04023798597468298
106,1.4892682445282814,1.2562392003806873,0.23302904414759418
107,0.9106601114978854,0.5606306939543668,0.3500294175435186
108,-0.08189735037879854,-0.34028822316079427,0.25839087278199574
109,-0.9526521506746128,-1.0381461793704791,0.08549402869586631
110,0.6663337284440484,0.6053944561418391,0.0609392723022093
111,0.12625004385566593,0.12524811813367795,0.001001925721987984
112,0.7641641015409315,0.6096843857598163,0.1544797157811152
113,0.6507017644498787,0.3174083412105979,0.3332934232392808
114,2.002167248989122,1.6998705496775433,0.30229669931157854
115,0.696781033845637,0.3411994561253341,0.35558157772030297
116,1.5298028753657067,1.248351209549502,0.28145166581620473
117,0.6964093299557174,0.4760357747385014,0.22037355521721597
118,0.8037541485972767,0.5320660256210213,0.27168812297625533
119,-0.1832777183639314,-0.3048044877899916,0.1215267694260602
120,2.0227034710543643,1.6666108634469217,0.35609260760744266
121,2.073716923338243,1.9281887909190973,0.14552813241914553
122,1.0915803485560702,0.6475119917634813,0.44406835679258894
123,1.8053982026872304,1.584981453016855,0.2204167496703755
124,2.532685738010568,2.2018156231047556,0.3308701149058124
125,1.427760105346372,1.2726149871760943,0.15514511817027765
126,0.7873563123406574,0.5206413112137905,0.26671500112686686
127,1.2947717787743749,0.9141458533886082,0.3806259253857667
128,2.4715734926068738,2.293740281057448,0.17783321154942566
129,1.9013364870896572,1.651183186306132,0.25015330078352527
130,2.387212522441027,2.121587066120263,0.2656254563207643
131,1.512198463211904,1.3298305549673206,0.1823679082445835
132,1.4335107093071537,1.1151219649847715,0.3183887443223823
133,0.6223689827035518,0.43625318388669426,0.18611579881685753
134,2.079541491140234,2.0604873303537614,0.019054160786472707
135,1.0472035398601736,0.8983695125595134,0.1488340273006602
136,1.2212927428235991,1.189617292265507,0.031675450558092066
137,0.824851163179926,0.5511886400481638,0.2736625231317622
138,1.4051372265033997,1.0947741474355557,0.310363079067844
139,1.6286894976591417,1.4712779232153483,0.1574115744437934
140,1.606615687161222,1.4302112985331312,0.17640438862809082
141,1.135842656678682,0.9501787287645259,0.18566392791415598
142,0.11602989958365205,-0.2889469663594419,0.40497686594309396
143,1.6461913354607987,1.4445837767041123,0.20160755875668634
144,0.6688031497251249,0.5626245393638781,0.10617861036124676
145,-0.38587874765184477,-0.5206483409847515,0.13476959333290678
146,0.6961000268012717,0.6932947188730576,0.002805307928214096
147,-0.09710635118512609,-0.31630004844813325,0.21919369726300716
148,2.81408738273145,2.6548653927939085,0.15922198993754133
149,0.611501793042215,0.3024843983455757,0.30901739469663925
150,2.1454489754405923,2.135037738619778,0.010411236820814462
151,1.1145215835055358,0.782307475302224,0.33221410820331176
152,1.0698741711540958,0.7463450426834437,0.32352912847065207
153,1.0851980305040327,0.944401748441342,0.1407962820626908
154,0.08025037596118192,-0.12445312585293541,0.20470350181411734
155,2.0708231394658876,1.6989558471889783,0.3718672922769093
156,0.6921704638798342,0.4652025778452159,0.22696788603461826
157,1.4382291931410542,1.2921083773666937,0.14612081577436054
158,1.3941254065773294,1.3721826238008925,0.02194278277643691
159,1.6967818742693344,1.3674332826532578,0.32934859161607655
160,0.44276451573507875,0.20122325471470082,0.24154126102037793
161,2.401308274549949,2.120261490231672,0.28104678431827734
162,1.2978611044307231,1.0969090198718405,0.20095208455888258
163,1.0332994131239854,0.7308202027304219,0.3024792103935635
164,1.3192310210388998,1.0871290621496459,0.2321019588892539
165,0.0011542190344906627,-0.25793080597594914,0.2590850250104398
166,2.265566579426518,2.3066455632430922,-0.041078983816574155
167,1.7119440004086834,1.4919467392810855,0.219997261127598
168,0.6315066584139168,0.40745670810631013,0.22404995030760672
169,0.6292674433011346,0.278944689293782,0.3503227540073526
170,-0.091018721046536,-0.5017105222258288,0.4106918011792928
171,1.316952609537658,1.1970034615034406,0.11994914803421741
172,0.7883240076702033,0.58760029638176,0.20072371128844324
173,0.32860486477936507,0.350931226952052,-0.02232636217268691
174,1.2533166618503184,1.2979199810486945,-0.04460331919837612
175,1.1296389227110288,1.0459368627662629,0.08370205994476598
176,0.8461412100068434,0.5983055183687767,0.24783569163806674
177,0.393281472893682,-0.028829841393641205,0.4221113142873232
178,3.123684165101784,2.8984837476416736,0.22520041746011055
179,1.4738679957412002,1.4128741073332616,0.06099388840793862
180,0.22917325393858168,-0.04361086933334229,0.272784123271924
181,0.8578974208938177,0.714910240575861,0.14298718031795676
182,1.676447739826942,1.5152934853751079,0.16115425445183407
183,1.3870256817780153,1.0868499227786734,0.3001757589993419
184,0.06756907540723717,0.02838798370503009,0.03918109170220708
185,1.0270799463675686,0.9439436281828899,0.0831363181846787
186,1.4278468535487083,1.0593168627173968,0.36852999083131155
187,2.2059351503538136,2.115928906523713,0.09000624383010081
188,1.5397443806157354,1.3672908217947355,0.17245355882099989
189,0.5920664710795313,0.2833468011863722,0.3087196698931591
190,1.5944525783040764,1.4911163336466624,0.10333624465741398
191,1.5761790868875127,1.3929425599894218,0.1832365268980909
192,0.6015458280853251,0.3716750139358457,0.2298708141494794
193,1.130729513480606,0.8085635541578459,0.32216595932276004
194,0.12214995638904311,-0.2423655733007146,0.3645155296897577
195,0.5718011206294851,0.2880003602548142,0.2838007603746709
196,1.3932925285532733,1.0638453615668138,0.3294471669864596
197,0.9005482612424488,1.0559681700496306,-0.15541990880718182
198,1.2990236223405198,1.197842383893701,0.10118123844681892
199,0.9676332765822806,0.7072946699698835,0.26033860661239705
200,1.6236875465145837,1.3315893522131401,0.29209819430144357
201,1.492922838688404,1.4524365955109078,0.04048624317749616
202,2.070564616668528,1.9905102760135294,0.0800543406549985
203,0.7606214234280853,0.6792403215820728,0.08138110184601244
204,0.02833362601152728,-0.11046314903574686,0.13879677504727414
205,0.8414095611465043,0.5114147608549214,0.3299948002915829
206,0.6360042636910943,0.45222675103724674,0.18377751265384756
207,0.7444104241199493,0.512818839205921,0.23159158491402831
208,1.6379401765547352,1.1709706498423658,0.46696952671236946
209,-0.10253881739219187,-0.200936810499891,0.09839799310769914
210,1.7972377606937908,1.528181656425693,0.2690561042680979
211,1.5917445456338812,1.4394325096803922,0.15231203595348908
212,1.0203350381535155,0.8983626132860315,0.12197242486748394
213,1.73208270363616,1.4542808579107738,0.27780184572538613
214,1.27425633260043,0.9672259858011563,0.30703034679927366
215,1.9995910821398561,1.7507916555357828,0.2487994266040734
216,1.5483049952646772,1.345493752375098,0.2028112428895792
217,0.3480418844604568,0.3155022939487613,0.032539590511695526
218,2.152347112920226,1.9042783769235228,0.2480687359967031
219,1.552564849045367,1.1961327065576,0.356432142487767
220,0.9390737050189946,0.9069546985949886,0.032119006424006
221,-0.5039881195016058,-0.7382767692663023,0.23428864976469643
222,1.7045249780977918,1.4111356516054605,0.2933893264923313
223,1.69835140597907,1.5827069999081207,0.11564440607094939
224,1.239509812335906,1.0156367124907675,0.2238730998451386
225,2.181724894384169,1.7735172189427666,0.40820767544140235
226,0.9173266734494043,0.7180643097802943,0.19926236366911
227,0.5460564546737973,0.27502530334671144,0.27103115132708583
228,1.5137888787633222,1.2661959419481312,0.247592936815191
229,0.6239420803258199,0.6725727590354614,-0.04863067870964155
230,0.9859920982667237,0.7571957672982249,0.22879633096849883
231,2.79502628213309,2.6761856730636424,0.11884060906944738
232,-0.08646875700525387,-0.23067288492853324,0.14420412792327936
233,1.2345353106465875,1.0134095404871484,0.22112577015943913
