entry_date,market,n_hold,variant,p1,p2,entry_open,net,gross,outcome,hold_days,mkt_window_ret,btc_window_ret,excess_mkt
2024-04-03,KRW-BTC,1,holdN,,,96053000.0,0.0031745026183461213,0.004674502618346121,holdN,1,-0.008841580071386357,0.004674502618346121,0.012016082689732479
2024-04-04,KRW-BTC,1,holdN,,,96502000.0,0.028126328988000326,0.029626328988000328,holdN,1,0.03382898484557595,0.029626328988000328,-0.0057026558575756225
2024-04-05,KRW-BTC,1,holdN,,,99445000.0,-0.012068656041027746,-0.010568656041027746,holdN,1,-0.017575064385763395,-0.010568656041027746,0.005506408344735649
2024-04-06,KRW-BTC,1,holdN,,,98385000.0,0.004984728363063575,0.006484728363063574,holdN,1,0.012165244269278785,0.006484728363063574,-0.007180515906215211
2024-04-07,KRW-BTC,1,holdN,,,99000000.0,0.002227272727272801,0.0037272727272728012,holdN,1,0.009372107578665467,0.0037272727272728012,-0.007144834851392666
2024-04-08,KRW-BTC,1,holdN,,,99369000.0,0.025993483883303636,0.027493483883303638,holdN,1,0.040731701636455675,0.027493483883303638,-0.014738217753152039
2024-04-09,KRW-BTC,1,holdN,,,102050000.0,-0.02795761881430675,-0.02645761881430675,holdN,1,-0.0340546195614857,-0.02645761881430675,0.006097000747178949
2024-04-10,KRW-BTC,1,holdN,,,99409000.0,0.010480806566809888,0.011980806566809887,holdN,1,-0.004243268066387085,0.011980806566809887,0.014724074633196972
2024-04-11,KRW-BTC,1,holdN,,,100601000.0,-0.002096415542589046,-0.0005964155425890461,holdN,1,0.006565125923982951,-0.0005964155425890461,-0.008661541466571996
2024-04-12,KRW-BTC,1,holdN,,,100542000.0,-0.009118706610172831,-0.007618706610172832,holdN,1,-0.09291334047757627,-0.007618706610172832,0.08379463386740343
2024-04-13,KRW-BTC,1,holdN,,,99645000.0,-0.026548923679060643,-0.025048923679060642,holdN,1,-0.11798509099907661,-0.025048923679060642,0.09143616732001597
2024-04-14,KRW-BTC,1,holdN,,,97093000.0,0.017162519440124424,0.018662519440124425,holdN,1,0.06511744060911884,0.018662519440124425,-0.04795492116899441
