scope,fold,policy,n,dates,safe_up10_rate,up10_rate,dn5_rate,eod_net_mean,mfe_mean,mae_mean,matched_atr_safe_up10,safe_up10_lift_within_atr,matched_atr_up10,up10_lift_within_atr,matched_atr_dn5,dn5_delta_within_atr,path_complete_pick_rate,path_n,path_dates,path_net_mean,path_tp_first,path_sl_first,path_eod,path_hit,path_up10_before_dn5,path_safe_up10,path_up10,path_dn5,path_cumulative,path_max_drawdown,path_net_ci95_lo,path_net_ci95_hi,path_net_p_gt_zero,path_sharpe_ann,path_sortino_ann,path_calmar
discovery_oof,0,safeup_head,348,116,0.10344827586206896,0.10919540229885058,0.4051724137931034,-0.007070267345608006,0.050451120209056295,-0.048814120907031834,0.06961985414788618,1.485901933122764,0.07386254340931607,1.4783596293690324,0.24590314919425904,0.15926926459884438,0.0,0,0,,,,,,,,,,,,,,,,,
discovery_oof,1,safeup_head,348,116,0.13793103448275862,0.19827586206896552,0.5431034482758621,0.0013354374900104275,0.07523631983497416,-0.06619012835220546,0.10778792981352499,1.2796519491689073,0.13710491012617232,1.4461616428361315,0.4154282749328029,0.12767517334305922,0.0,0,0,,,,,,,,,,,,,,,,,
discovery_oof,2,safeup_head,348,116,0.1810344827586207,0.27586206896551724,0.5862068965517241,0.0024060856832190205,0.08599333251268455,-0.06855796323450766,0.09439933114316687,1.917751752754076,0.11602260771194149,2.3776578927653635,0.38997515784474795,0.19623173870697613,0.3017241379310345,102,34,-0.003785441365240579,0.3333333333333333,0.6372549019607843,0.029411764705882353,0.3431372549019608,0.2647058823529412,0.22549019607843138,0.3137254901960784,0.5490196078431373,-0.13107853181001783,-0.1946873916551788,-0.012410266669147888,0.0048506513007245036,0.2,-2.7281220790668184,-3.870987004954173,-3.9998589901972923
discovery_oof,3,safeup_head,348,116,0.1867816091954023,0.22413793103448276,0.4827586206896552,0.00028520241793194965,0.07079897377363256,-0.053253705397784686,0.07785119905829761,2.399213004484798,0.08518611229981822,2.6311557715606777,0.2878782958929786,0.1948803247966766,0.9913793103448276,345,115,-0.003554364683414403,0.3130434782608696,0.5971014492753624,0.08985507246376812,0.35942028985507246,0.22608695652173913,0.2144927536231884,0.24347826086956523,0.43768115942028984,-0.35477345538392324,-0.40310481613575155,-0.007585502410843003,0.0005801210621654743,0.0456,-3.028256193559623,-4.043487941080179,-1.8632611354015374
discovery_oof,4,safeup_head,351,117,0.1396011396011396,0.25071225071225073,0.6324786324786325,-0.014544934727960156,0.08291519830361253,-0.06887058276752735,0.10174973250886127,1.3720049788728623,0.126911342343333,1.9754912845693442,0.3735657680736665,0.25891286440496597,0.9601139601139601,303,101,-0.00361808207444028,0.3201320132013201,0.6072607260726073,0.07260726072607261,0.3564356435643564,0.20132013201320131,0.1617161716171617,0.22442244224422442,0.5511551155115512,-0.32661902875974,-0.4339151147292296,-0.008227171351009331,0.001050263687428878,0.0606,-2.857969458082798,-3.691749878023058,-1.7525796297539167
locked_holdout,-1,safeup_head,540,180,0.16666666666666666,0.26481481481481484,0.6222222222222222,-0.013651655982621186,0.08518687631974825,-0.06746456290199626,0.10078786117809287,1.6536382925337156,0.1298240903176299,2.0397971914681956,0.3476532935445047,0.27456892867771754,0.987037037037037,510,170,-0.0007931211707468301,0.3686274509803922,0.596078431372549,0.03529411764705882,0.3843137254901961,0.19019607843137254,0.1627450980392157,0.23333333333333334,0.5725490196078431,-0.16468204135784859,-0.26973456428054143,-0.004183883447868411,0.002630271387838454,0.336,-0.6551556442984895,-0.9606015586170092,-1.188078722666211
discovery_oof,0,up10_control,348,116,0.08333333333333333,0.10344827586206896,0.48563218390804597,-0.015661241980018416,0.046728280047317744,-0.05514060433331407,0.07119399151149722,1.1705107631151108,0.0754423597516196,1.3712226950834228,0.24333683249288915,0.24229535141515682,0.0,0,0,,,,,,,,,,,,,,,,,
discovery_oof,1,up10_control,348,116,0.15804597701149425,0.29310344827586204,0.6350574712643678,-0.0078324941566047,0.09080049587099653,-0.07893996338948327,0.11043071050638086,1.4311777610301812,0.14483868902885885,2.0236543857246714,0.418188859470939,0.21686861179342887,0.0,0,0,,,,,,,,,,,,,,,,,
discovery_oof,2,up10_control,348,116,0.16091954022988506,0.2988505747126437,0.646551724137931,-0.0042989768262827474,0.09647871839871365,-0.07883736551590985,0.09833712292026454,1.6364068365144737,0.12165198289140026,2.45660257736555,0.3819599794720385,0.2645917446658925,0.3017241379310345,102,34,-0.007830035121439276,0.27450980392156865,0.6764705882352942,0.049019607843137254,0.29411764705882354,0.22549019607843138,0.16666666666666666,0.28431372549019607,0.5784313725490197,-0.2400751605513367,-0.27902195694909604,-0.014512116153859006,-0.0007301322680468137,0.0144,-7.138167316268306,-8.432659046510693,-3.3958427555171817
discovery_oof,3,up10_control,348,116,0.15229885057471265,0.21839080459770116,0.5775862068965517,-0.009262941559567816,0.07224387490267158,-0.06338251060340293,0.07343740139497175,2.0738594732620883,0.08145995261308932,2.6809591411744726,0.28353218562152793,0.2940540212750238,0.9913793103448276,345,115,-0.003909758125801334,0.3159420289855073,0.6086956521739131,0.07536231884057971,0.3536231884057971,0.20869565217391303,0.1855072463768116,0.23478260869565218,0.5304347826086957,-0.37912314256125657,-0.3923893093080313,-0.007636996994056067,-0.00016288421156437086,0.0206,-3.496139657473839,-4.4660927055312305,-1.9870534823367214
