date,market,regime,fold,p_lab_up_10,p_lab_dn_05,p_lab_dn_10,exp_downside,R1,R2_lam3.0,net,outcome,pump20_hit,up_high_ret,down_low_ret,policy
2024-04-22,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,0.02135419799960042,eod,0,0.028616282622667466,-0.0030449579079347977,R1_ratio
2024-04-23,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.012708341473948335,eod,0,0.003630230668764556,-0.020495891566141178,R1_ratio
2024-04-24,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.0315,sl,0,0.005787386412132722,-0.03473472744116335,R1_ratio
2024-04-25,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.009896979226836132,eod,0,0.008543627031651013,-0.02466852010265186,R1_ratio
2024-04-26,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.00850190961171232,eod,0,0.0025765138366338203,-0.013971388837981435,R1_ratio
2024-04-27,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.005987130735215783,eod,0,0.0023924745799575042,-0.018084932847588497,R1_ratio
2024-04-28,KRW-BTC,bull_quiet,0,0.0,0.025067750677506776,0.0,-0.017029494668540184,0.0,-0.07520325203252033,-0.01080948301264911,eod,0,0.012360790828314983,-0.014710543284626065,R1_ratio
2024-04-29,KRW-BTC,bull_quiet,0,0.0,0.12014453477868112,0.0,-0.027170517233735154,0.0,-0.3604336043360433,0.0010227765965649684,eod,0,0.016204036097334784,-0.022455900058542144,R1_ratio
2024-04-30,KRW-BTC,bull_quiet,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.0315,sl,0,0.01247264770240708,-0.06339168490153169,R1_ratio
2024-05-01,KRW-BTC,bull_quiet,0,0.0,0.294104359611475,0.0040659588886379034,-0.0401914157152023,0.0,-0.8823130788344251,-0.0315,sl,0,0.005427299430879273,-0.08200615017440793,R1_ratio
2024-05-02,KRW-BTC,bull_volatile,0,0.0,0.2140921409214092,0.0015808491418247517,-0.03502480285844987,0.0,-0.6422764227642277,0.004211387758551956,eod,0,0.006000071857148015,-0.03470700247907166,R1_ratio
2024-05-03,KRW-BTC,bull_quiet,0,0.0,0.07791327913279132,0.0,-0.0234329370312677,0.0,-0.23373983739837395,0.0485,tp,0,0.08093049003562136,-0.0034779050736497563,R1_ratio
2024-05-04,KRW-BTC,bull_volatile,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,0.005301204147619533,eod,0,0.02051718538262537,-0.015466284395963759,R1_ratio
2024-05-05,KRW-BTC,bull_volatile,0,0.0,0.025067750677506776,0.0,-0.017029494668540184,0.0,-0.07520325203252033,-0.00382545263274464,eod,0,0.0050496661240491125,-0.021837591220668195,R1_ratio
2024-05-06,KRW-BTC,bull_volatile,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.016546437567270644,eod,0,0.017547169811320762,-0.017758046614872347,R1_ratio
2024-05-07,KRW-BTC,bull_volatile,0,0.0,0.006097560975609756,0.0,-0.015144420357606426,0.0,-0.01829268292682927,-0.011098377738973651,eod,0,0.015510250056318897,-0.01441766163550351,R1_ratio
2024-05-08,KRW-BTC,bull_volatile,0,0.0,0.006097560975609756,0.0015808491418247517,-0.015144420357606426,0.0,-0.01829268292682927,-0.0315,sl,0,0.011085107597465615,-0.028380615331925374,R1_ratio
2024-05-09,KRW-BTC,bull_volatile,0,0.0,0.025067750677506776,0.0040659588886379034,-0.017029494668540184,0.0,-0.07520325203252033,0.021101036510260462,eod,0,0.030603689211850194,-0.009921743991056498,R1_ratio
2024-05-10,KRW-BTC,bull_volatile,0,0.0009033423667570009,0.025067750677506776,0.0,-0.017029494668540184,0.036036036036036036,-0.07429990966576333,-0.0315,sl,0,0.0041309183349220735,-0.034000635525897716,R1_ratio
2024-05-11,KRW-BTC,bull_volatile,0,0.0,0.07791327913279132,0.0015808491418247517,-0.0234329370312677,0.0,-0.23373983739837395,-0.0021396241336000808,eod,0,0.007665245450944713,-0.007374012721045653,R1_ratio
2024-05-12,KRW-BTC,bull_volatile,0,0.0,0.04698441382426022,0.0015808491418247517,-0.020403399257999125,0.0,-0.14095324147278065,0.007856126284430833,eod,0,0.013835950157941923,-0.002016528540289775,R1_ratio
2024-05-13,KRW-BTC,bull_volatile,0,0.0,0.04698441382426022,0.0,-0.020403399257999125,0.0,-0.14095324147278065,0.01141304448082653,eod,0,0.02269969140439887,-0.012840813212977142,R1_ratio
2024-05-14,KRW-BTC,bull_volatile,0,0.0009033423667570009,0.04698441382426022,0.01084010840108401,-0.020403399257999125,0.01922642623862136,-0.14004989910602367,-0.01562586934993687,eod,0,0.0033093001569359792,-0.0242568289853754,R1_ratio
2024-05-15,KRW-BTC,bull_volatile,0,0.0,0.025067750677506776,0.0040659588886379034,-0.017029494668540184,0.0,-0.07520325203252033,0.0485,tp,0,0.06842032268503528,-0.003744625768572929,R1_ratio
2024-05-16,KRW-BTC,bull_volatile,0,0.011291779584462511,0.15721707702733229,0.0,-0.030561394774138537,0.07182285663852807,-0.4603594514975343,-0.019888271264814905,eod,0,0.008131493524117683,-0.02020388444376897,R1_ratio
2024-05-17,KRW-BTC,bull_volatile,0,0.0009033423667570009,0.04698441382426022,0.0,-0.020403399257999125,0.01922642623862136,-0.14004989910602367,0.017785596345423482,eod,0,0.02514338555025919,-0.0015301797686015917,R1_ratio
2024-05-18,KRW-BTC,bull_volatile,0,0.0009033423667570009,0.025067750677506776,0.0,-0.017029494668540184,0.036036036036036036,-0.07429990966576333,0.005102122187884918,eod,0,0.009370411952672963,-0.003184644615251697,R1_ratio
2024-05-19,KRW-BTC,bull_volatile,0,0.0,0.025067750677506776,0.0,-0.017029494668540184,0.0,-0.07520325203252033,-0.011912641161063107,eod,0,0.009928437882792851,-0.013141211613263759,R1_ratio
