fold,market,date,warm,qv_rank_prev,gross,net,early_max_ret,vol_ratio
0,KRW-BTC,2024-08-06,1.0,1.0,-0.04,-0.0415,0.051603116241997204,6.44883548024398
1,KRW-SAND,2025-05-14,1.0,0.7547169811320755,-0.04,-0.0415,0.06862745098039214,18.749412711981183
1,KRW-MOCA,2025-05-14,1.0,0.8867924528301887,-0.04,-0.0415,0.06828938471940504,13.808569654142142
1,KRW-EGLD,2025-05-14,1.0,0.27044025157232704,-0.04,-0.0415,0.09132260321903418,112.02215814847202
1,KRW-AXS,2025-05-14,1.0,0.8113207547169812,-0.04,-0.0415,0.11865148861646224,77.83445413842651
1,KRW-ANIME,2025-05-14,1.0,0.8616352201257862,-0.04,-0.0415,0.06633601983880966,12.507326325661275
1,KRW-WAVES,2025-05-15,1.0,0.9371069182389937,0.08,0.0785,0.051425661914460186,22.805654827577776
1,KRW-ZRO,2025-05-15,1.0,0.5283018867924528,-0.04,-0.0415,0.05503963759909403,13.575583182359388
1,KRW-HUNT,2025-05-15,0.0,0.03773584905660377,-0.04,-0.0415,0.11726299294855069,226.42449684792345
1,KRW-ATH,2025-05-15,1.0,0.8679245283018868,-0.04,-0.0415,0.08261354137642796,6.742633292895837
1,KRW-SNT,2025-05-17,1.0,0.925,-0.04,-0.0415,0.13863476425052768,18.378271727601202
1,KRW-SNT,2025-05-18,1.0,0.975,-0.04,-0.0415,0.09353259469208952,15.150145405180632
1,KRW-SAFE,2025-05-19,0.0,0.35,-0.04,-0.0415,0.06613794080158608,7.860093293432558
1,KRW-PUNDIX,2025-05-19,0.0,0.8875,-0.04,-0.0415,0.07685839219643453,3.5950263333853347
1,KRW-TAIKO,2025-05-20,0.0,0.46875,0.05232558139534893,0.05082558139534893,0.06425702811244971,7.930066397489558
1,KRW-KAITO,2025-05-21,0.0,0.94375,0.016172506738544534,0.014672506738544535,0.0983248361252731,3.7369591688328305
1,KRW-TAIKO,2025-05-22,0.0,0.7018633540372671,0.0018365472910928382,0.0003365472910928382,0.05990338164251208,18.295031195761336
1,KRW-ATH,2025-05-22,0.0,0.7267080745341615,-0.04,-0.0415,0.05508474576271194,3.2028560487487407
1,KRW-BSV,2025-05-22,0.0,0.5093167701863354,-0.013407222023596677,-0.014907222023596676,0.10746210649047794,55.31902912617316
1,KRW-PYTH,2025-05-23,0.0,0.7329192546583851,-0.04,-0.0415,0.07454068241469813,28.717991642132827
1,KRW-SAFE,2025-05-23,0.0,0.45962732919254656,-0.04,-0.0415,0.12675296655879187,23.203011378790176
1,KRW-MEW,2025-05-23,1.0,0.906832298136646,0.08,0.0785,0.08818342151675496,15.924730653580983
1,KRW-AERGO,2025-05-24,0.0,0.5652173913043478,0.08,0.0785,0.08541893362350383,8.603147112937606
1,KRW-ARDR,2025-05-24,0.0,0.42857142857142855,0.08,0.0785,0.13612950699043425,14.2312832082634
1,KRW-ANIME,2025-05-24,1.0,0.9130434782608695,-0.04,-0.0415,0.07508906549739636,12.15289645610679
1,KRW-MEW,2025-05-24,1.0,0.9751552795031055,-0.04,-0.0415,0.08320950965824658,15.178020047132032
1,KRW-AERGO,2025-05-25,1.0,0.9503105590062112,0.08,0.0785,0.09037900874635563,20.577854103047336
1,KRW-CARV,2025-05-25,0.0,0.4968944099378882,-0.007568931338979845,-0.009068931338979845,0.09031764255644847,9.197231574444142
1,KRW-SNT,2025-05-25,1.0,0.8633540372670807,-0.04,-0.0415,0.05299482376139997,3.205310820151228
1,KRW-AERGO,2025-05-26,1.0,0.9875776397515528,-0.04,-0.0415,0.10120068610634658,22.809428409654807
1,KRW-PUNDIX,2025-05-27,0.0,0.6149068322981367,-0.010782608695652285,-0.012282608695652284,0.08389639639639657,5.642619266002135
1,KRW-VANA,2025-05-28,1.0,0.8819875776397516,-0.04,-0.0415,0.0663603334045737,17.388899472716318
1,KRW-ANIME,2025-05-28,1.0,0.8881987577639752,-0.04,-0.0415,0.07977922729553444,7.4188386270545985
1,KRW-COW,2025-05-29,0.0,0.7901234567901234,0.0035803237858034187,0.0020803237858034187,0.08817168524371977,14.97056533920409
1,KRW-UNI,2025-05-29,1.0,0.9074074074074074,-0.04,-0.0415,0.054008792128951155,28.92433155887541
1,KRW-ORCA,2025-05-29,1.0,0.8148148148148148,-0.04,-0.0415,0.09150991357397054,8.763062763272579
1,KRW-SAFE,2025-05-30,1.0,0.8641975308641975,0.08,0.0785,0.16824616824616823,14.9725162928472
1,KRW-SNT,2025-05-30,1.0,0.9753086419753086,0.08,0.0785,0.13691588785046727,12.34843980671587
1,KRW-WCT,2025-05-30,1.0,1.0,0.08,0.0785,0.06829573934837097,4.888064124588365
1,KRW-LAYER,2025-05-31,0.0,0.8658536585365854,-0.04,-0.0415,0.07783882783882778,4.188982292288874
1,KRW-SIGN,2025-05-31,0.0,0.8719512195121951,-0.04,-0.0415,0.06124401913875599,5.836178841964338
1,KRW-SNT,2025-06-01,1.0,0.9695121951219512,0.08,0.0785,0.125799086757991,11.562818503373249
1,KRW-ORCA,2025-06-01,0.0,0.8170731707317073,-0.04,-0.0415,0.05555555555555558,11.574086549473193
1,KRW-WCT,2025-06-01,1.0,1.0,-0.04,-0.0415,0.08589312623159828,12.863272156915611
1,KRW-TOKAMAK,2025-06-02,0.0,0.3902439024390244,0.08,0.0785,0.16280752532561515,158.77359765834748
1,KRW-BOUNTY,2025-06-03,1.0,0.6280487804878049,-0.04,-0.0415,0.18225735617039973,421.05961160454376
1,KRW-AKT,2025-06-03,0.0,0.42073170731707316,-0.04,-0.0415,0.11262241566920572,15.155395997338147
1,KRW-ME,2025-06-04,1.0,0.9573170731707317,-0.04,-0.0415,0.11899641577060938,62.433122590084444
1,KRW-AGLD,2025-06-04,0.0,0.4817073170731707,0.005823627287853572,0.004323627287853573,0.05034722222222232,4.031478749360796
1,KRW-WCT,2025-06-05,0.0,0.9329268292682927,-0.04,-0.0415,0.07887924470839036,4.31460473676804
1,KRW-ME,2025-06-06,0.0,0.8848484848484849,-0.04,-0.0415,0.07173725151253252,14.001476450349406
1,KRW-SNT,2025-06-06,0.0,0.8181818181818182,-0.04,-0.0415,0.12040761598283733,6.083311335950149
1,KRW-PUNDIX,2025-06-07,0.0,0.40606060606060607,-0.04,-0.0415,0.11461449942462609,6.513200931773019
1,KRW-ANIME,2025-06-07,1.0,0.9696969696969697,0.08,0.0785,0.06549118387909303,3.78884165196597
1,KRW-ICX,2025-06-07,1.0,0.8666666666666667,0.018957345971563955,0.017457345971563953,0.06372549019607843,10.918965569098335
1,KRW-SNT,2025-06-08,0.0,0.8424242424242424,-0.04,-0.0415,0.07211055276381928,3.397514535671877
1,KRW-IOST,2025-06-08,1.0,0.8363636363636363,-0.04,-0.0415,0.08310940499040309,141.98611559458624
1,KRW-ARDR,2025-06-09,0.0,0.5696969696969697,-0.04,-0.0415,0.06440382941688427,9.589876642342725
1,KRW-AERGO,2025-06-10,0.0,0.8121212121212121,-0.01970149253731346,-0.02120149253731346,0.07855361596009969,7.649491322592342
1,KRW-TOKAMAK,2025-06-10,1.0,0.6545454545454545,-0.04,-0.0415,0.15733333333333333,160.73908076827462
1,KRW-BORA,2025-06-10,1.0,0.9696969696969697,-0.04,-0.0415,0.08114856429463169,237.44225035809856
1,KRW-BORA,2025-06-11,1.0,0.9457831325301205,-0.04,-0.0415,0.13783403656821402,232.65975713999077
1,KRW-ARDR,2025-06-12,0.0,0.5120481927710844,-0.04,-0.0415,0.17948717948717952,28.569621943513194
1,KRW-AERGO,2025-06-12,0.0,0.7349397590361446,-0.04,-0.0415,0.07793840351979897,7.911882618324477
1,KRW-ORBS,2025-06-13,1.0,0.7590361445783133,-0.04,-0.0415,0.22058306989813836,1186.7113296274872
1,KRW-BORA,2025-06-13,1.0,0.9457831325301205,-0.04,-0.0415,0.0690045248868778,133.8891079890853
1,KRW-ARDR,2025-06-13,1.0,0.963855421686747,-0.04,-0.0415,0.09225700164744643,16.204428854469693
1,KRW-ARDR,2025-06-14,0.0,0.8855421686746988,-0.04,-0.0415,0.1254295532646048,18.88015831880858
1,KRW-ANIME,2025-06-14,0.0,0.9518072289156626,0.029437481783736397,0.027937481783736395,0.05530507965133746,3.7117476387173154
1,KRW-GAS,2025-06-14,0.0,0.5,-0.04,-0.0415,0.11704211557296773,117.61196374383401
1,KRW-POKT,2025-06-15,1.0,1.0,-0.04,-0.0415,0.06266726137377332,3.8904579207848013
1,KRW-POKT,2025-06-16,1.0,1.0,-0.04,-0.0415,0.07902869757174402,2.540213669066783
1,KRW-BORA,2025-06-16,1.0,0.8493975903614458,-0.04,-0.0415,0.07568954457985888,104.75640495323485
1,KRW-ORBS,2025-06-19,1.0,0.9161676646706587,-0.04,-0.0415,0.06997455470737912,253.78827631908592
1,KRW-AGLD,2025-06-19,1.0,0.8383233532934131,-0.04,-0.0415,0.06112702960840499,19.38292629051299
1,KRW-T,2025-06-20,1.0,0.8988095238095238,0.08,0.0785,0.08170515097690934,107.45964582584791
1,KRW-T,2025-06-21,1.0,0.9702380952380952,-0.04,-0.0415,0.05205247566652571,87.01134870806014
1,KRW-HUNT,2025-06-21,0.0,0.39880952380952384,-0.04,-0.0415,0.1281337047353759,65.6263209922334
1,KRW-SNT,2025-06-21,1.0,1.0,-0.04,-0.0415,0.08784058560390395,7.499480339656914
1,KRW-SEI,2025-06-21,1.0,0.9404761904761905,0.08,0.0785,0.059859154929577496,19.07432421621198
1,KRW-ARKM,2025-06-22,0.0,0.24404761904761904,-0.04,-0.0415,0.05042164441321151,9.103722608804256
1,KRW-AERGO,2025-06-23,0.0,0.9345238095238095,0.08,0.0785,0.09520639147802945,5.550282203579091
1,KRW-STRAX,2025-06-23,0.0,0.6011904761904762,0.02247386759581871,0.020973867595818707,0.08596459207884655,9.321302393418003
1,KRW-MOCA,2025-06-24,1.0,0.4880952380952381,0.08,0.0785,0.08004556280418362,30.758263875893213
1,KRW-AERGO,2025-06-24,1.0,0.9761904761904762,-0.04,-0.0415,0.06371774618220116,11.160265485502169
1,KRW-T,2025-06-25,0.0,0.8461538461538461,0.08,0.0785,0.057538849223015553,37.10134748203272
1,KRW-ARDR,2025-06-25,0.0,0.5325443786982249,-0.04,-0.0415,0.07342657342657333,8.19998196486237
1,KRW-MOVE,2025-06-26,1.0,0.9822485207100592,-0.04,-0.0415,0.07893643539675943,23.952951627768723
1,KRW-POKT,2025-06-27,0.0,0.8941176470588236,-0.04,-0.0415,0.18389881549889564,5.294929683571817
1,KRW-T,2025-06-27,0.0,0.8705882352941177,-0.009615384615384692,-0.011115384615384692,0.07342511472674174,18.95468354706424
1,KRW-POKT,2025-06-28,1.0,0.9647058823529412,-0.04,-0.0415,0.10562211981566816,4.725072117364861
1,KRW-LPT,2025-06-29,0.0,0.8470588235294118,0.0018817799424397652,0.0003817799424397652,0.19713261648745517,22.693593582199455
1,KRW-GAME2,2025-07-01,1.0,0.888235294117647,0.08,0.0785,0.1258112830753868,148.38871878946426
1,KRW-AQT,2025-07-02,0.0,0.5176470588235295,0.08,0.0785,0.06655844155844148,37.274141984003776
1,KRW-CBK,2025-07-02,0.0,0.6882352941176471,0.08,0.0785,0.1532207629768605,161.83090517097952
1,KRW-AERGO,2025-07-03,0.0,0.8529411764705882,-0.04,-0.0415,0.06716417910447747,2.9114648938200975
1,KRW-IQ,2025-07-03,1.0,0.6235294117647059,-0.015895372233400318,-0.01739537223340032,0.05907870274736626,46.91274133844786
