scope,cohort,primary,comparator,metric,n_paired_dates,delta_primary_minus_comparator,ci95_lo,ci95_hi,p_delta_gt_zero,p_preferred_direction,preferred_direction,bootstrap_draws,seed,stream_seed
discovery_oof,common_0915_complete_dates,safeup_head,monkey_seed42,path_up10,250,0.17466666666666664,0.14,0.212,1.0,1.0,higher,5000,42,11670492767991296779
discovery_oof,common_0915_complete_dates,safeup_head,monkey_seed42,path_dn5,250,0.26666666666666666,0.2253333333333333,0.31066666666666665,1.0,0.0,lower,5000,42,6110789093461878196
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,safe_up10_rate,250,0.07466666666666666,0.04,0.10933333333333332,1.0,1.0,higher,5000,42,7188731505163414060
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,up10_rate,250,0.136,0.09733333333333334,0.1733333333333333,1.0,1.0,higher,5000,42,10283442611660907380
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,dn5_rate,250,0.2826666666666667,0.2386666666666667,0.32533333333333336,1.0,0.0,lower,5000,42,12532335764932282464
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_net_mean,250,-0.0017083430565918566,-0.005466226446345635,0.002059402920439229,0.1808,0.1808,higher,5000,42,8117132871584642121
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_sl_first,250,0.16666666666666666,0.11466666666666665,0.21866666666666665,1.0,0.0,lower,5000,42,4011874106744317409
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_safe_up10,250,0.10666666666666666,0.068,0.14533333333333331,1.0,1.0,higher,5000,42,3760220205213913670
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_up10,250,0.14933333333333332,0.10933333333333334,0.18933333333333333,1.0,1.0,higher,5000,42,5053164201050487326
discovery_oof,common_0915_complete_dates,safeup_head,safeup_pareto_rank,path_dn5,250,0.264,0.22266666666666665,0.30533333333333335,1.0,0.0,lower,5000,42,16371344119728564985
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,safe_up10_rate,250,-0.07466666666666666,-0.10933333333333332,-0.041333333333333326,0.0,0.0,higher,5000,42,15550604412261452089
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,up10_rate,250,-0.136,-0.17466666666666666,-0.09733333333333334,0.0,0.0,higher,5000,42,4629216464039466339
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,dn5_rate,250,-0.2826666666666667,-0.3253666666666667,-0.2386666666666667,0.0,1.0,lower,5000,42,4416882820685104347
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,path_net_mean,250,0.0017083430565918566,-0.0021177782590053526,0.005575637587189533,0.818,0.818,higher,5000,42,1908500063330477647
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,path_sl_first,250,-0.16666666666666666,-0.21866666666666668,-0.11333333333333334,0.0,1.0,lower,5000,42,9057080235901291587
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,path_safe_up10,250,-0.10666666666666666,-0.144,-0.06933333333333333,0.0,0.0,higher,5000,42,2002913427488653172
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,path_up10,250,-0.14933333333333332,-0.18933333333333333,-0.11066666666666666,0.0,0.0,higher,5000,42,5963150338626079756
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,safeup_head,path_dn5,250,-0.264,-0.30666666666666664,-0.22133333333333333,0.0,1.0,lower,5000,42,1059975517304550164
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,safe_up10_rate,250,-0.06266666666666666,-0.096,-0.02933333333333333,0.0002,0.0002,higher,5000,42,18197960501439309833
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,up10_rate,250,-0.164,-0.2013333333333333,-0.12533333333333332,0.0,0.0,higher,5000,42,5711316900178645601
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,dn5_rate,250,-0.3506666666666667,-0.39333333333333337,-0.30533333333333335,0.0,1.0,lower,5000,42,2138572990794945428
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,path_net_mean,250,0.0012086864208265351,-0.002608251237486748,0.00502124164010432,0.7256,0.7256,higher,5000,42,11296137225976379030
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,path_sl_first,250,-0.172,-0.224,-0.11999999999999998,0.0,1.0,lower,5000,42,1327915546992409090
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,path_safe_up10,250,-0.09466666666666666,-0.13066666666666665,-0.05866666666666666,0.0,0.0,higher,5000,42,5983849781775856121
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,path_up10,250,-0.168,-0.2053333333333333,-0.13066666666666665,0.0,0.0,higher,5000,42,18418763092298064848
discovery_oof,common_0915_complete_dates,safeup_pareto_rank,up10_control,path_dn5,250,-0.3306666666666666,-0.372,-0.28933333333333333,0.0,1.0,lower,5000,42,11923931921671831079
