bucket,n,mean_pred_pct,actual_hit_pct,score_min,score_max,calib_error_pp
0,508,19.94790732970564,31.10236220472441,0.0227025747299194,0.3189525902271271,-11.154454875018772
1,508,41.19836933265521,37.00787401574803,0.3190116286277771,0.4874023199081421,4.190495316907182
2,508,53.70356102628032,35.826771653543304,0.4879709482192993,0.5802276134490967,17.876789372737015
3,508,61.8268598956386,39.76377952755906,0.5802724361419678,0.653057873249054,22.06308036807954
4,508,68.11698644649326,41.14173228346456,0.65358966588974,0.7086723446846008,26.975254163028694
5,508,73.21762483654999,48.031496062992126,0.7086933851242065,0.7537627816200256,25.18612877355786
6,508,77.55592613238987,45.47244094488189,0.7537651658058167,0.7972079515457153,32.08348518750798
7,508,81.67747356525557,50.59055118110236,0.7972419857978821,0.8357728719711304,31.086922384153205
8,508,85.51004031511742,59.055118110236215,0.8357769250869751,0.8765249848365784,26.454922204881207
9,508,90.79963412341169,58.07086614173228,0.8765513896942139,0.9749533534049988,32.72876798167941
