evaluation_scope,variant,bucket,n,pred_mean,actual_up10,gap,raw_score_min,raw_score_max
discovery_oof,cls_bvol,0,5810,0.010465178925921406,0.013597246127366609,-0.003132067201445203,0.006673506926745176,0.15682372450828552
discovery_oof,cls_bvol,1,5810,0.019445366843649652,0.01910499139414802,0.00034037544950163076,0.10315030068159103,0.22167852520942688
discovery_oof,cls_bvol,2,5810,0.026664524972193043,0.029432013769363167,-0.0027674887971701236,0.16192196309566498,0.28677624464035034
discovery_oof,cls_bvol,3,5810,0.037054205752774204,0.03769363166953529,-0.0006394259167610827,0.22179748117923737,0.3419610559940338
discovery_oof,cls_bvol,4,5810,0.045693746432602884,0.046987951807228916,-0.0012942053746260312,0.2811051905155182,0.433820515871048
discovery_oof,cls_bvol,5,5810,0.05775511957710872,0.06523235800344233,-0.007477238426333611,0.3477296531200409,0.4764278531074524
discovery_oof,cls_bvol,6,5810,0.0735845525838049,0.08261617900172118,-0.009031626417916272,0.4247424006462097,0.6033963561058044
discovery_oof,cls_bvol,7,5810,0.09373403532718762,0.11342512908777969,-0.01969109376059207,0.4702320098876953,0.7008976340293884
discovery_oof,cls_bvol,8,5810,0.12172005877411983,0.12960413080895009,-0.007884072034830256,0.545703649520874,0.7809016704559326
discovery_oof,cls_bvol,9,5810,0.1928121992050309,0.21686746987951808,-0.024055270674487178,0.6788783669471741,0.9458375573158264
discovery_oof,cls_bvol_volbalanced,0,5810,0.011721481326633676,0.013597246127366609,-0.0018757648007329333,0.006116922479122877,0.18750353157520294
discovery_oof,cls_bvol_volbalanced,1,5810,0.0220693756097818,0.023407917383821,-0.0013385417740391994,0.10481944680213928,0.24136126041412354
discovery_oof,cls_bvol_volbalanced,2,5810,0.029619731128338055,0.030292598967297763,-0.0006728678389597079,0.15359696745872498,0.2939377427101135
discovery_oof,cls_bvol_volbalanced,3,5810,0.036168154125329206,0.03700516351118761,-0.0008370093858584005,0.2124236822128296,0.3300189971923828
discovery_oof,cls_bvol_volbalanced,4,5810,0.04624786239864433,0.0459552495697074,0.0002926128289369237,0.2775087058544159,0.37316274642944336
discovery_oof,cls_bvol_volbalanced,5,5810,0.060678347545890354,0.07142857142857142,-0.01075022388268107,0.3238576650619507,0.46342232823371887
discovery_oof,cls_bvol_volbalanced,6,5810,0.0729044838129422,0.08141135972461273,-0.008506875911670528,0.38347411155700684,0.5096280574798584
discovery_oof,cls_bvol_volbalanced,7,5810,0.09239481922477627,0.10533562822719449,-0.012940809002418216,0.44480082392692566,0.5830348134040833
discovery_oof,cls_bvol_volbalanced,8,5810,0.1235082321135612,0.13580034423407916,-0.012292112120517965,0.5246703028678894,0.7171840667724609
discovery_oof,cls_bvol_volbalanced,9,5810,0.18627474493902996,0.21032702237521514,-0.024052277436185182,0.6215767860412598,0.9353659749031067
discovery_oof,cls_core,0,5810,0.011162353080555614,0.013080895008605853,-0.0019185419280502384,0.006904587149620056,0.1742282658815384
discovery_oof,cls_core,1,5810,0.01826983452948856,0.018244406196213425,2.5428333275134135e-05,0.08025790750980377,0.21258677542209625
discovery_oof,cls_core,2,5810,0.025912421362558582,0.031841652323580036,-0.005929230961021454,0.17778897285461426,0.2871715724468231
discovery_oof,cls_core,3,5810,0.03742713687666471,0.04010327022375215,-0.0026761333470874393,0.2176910936832428,0.3441910147666931
discovery_oof,cls_core,4,5810,0.04858244129017162,0.04440619621342513,0.004176245076746493,0.23542536795139313,0.4125994145870209
discovery_oof,cls_core,5,5810,0.05653737130276065,0.06230636833046472,-0.005768997027704066,0.34279748797416687,0.49924761056900024
discovery_oof,cls_core,6,5810,0.0738622974026388,0.08347676419965576,-0.009614466797016955,0.42449191212654114,0.667641818523407
discovery_oof,cls_core,7,5810,0.0923450678604467,0.10826161790017212,-0.01591655003972542,0.4795195758342743,0.6747042536735535
discovery_oof,cls_core,8,5810,0.12382797990962657,0.1442340791738382,-0.020406099264211636,0.5661472082138062,0.7814275622367859
discovery_oof,cls_core,9,5810,0.1937187384138455,0.20860585197934595,-0.01488711356550046,0.678259015083313,0.9451372027397156
discovery_oof,legacy_core_in_sample_bucket,0,5810,0.0010226263984052355,0.010499139414802065,-0.00947651301639683,0.0,0.0022222222222222222
discovery_oof,legacy_core_in_sample_bucket,1,5810,0.0056894895455585305,0.02117039586919105,-0.01548090632363252,0.0022222222222222222,0.008571428571428572
discovery_oof,legacy_core_in_sample_bucket,2,5810,0.01069184182945827,0.032185886402753876,-0.021494044573295606,0.008571428571428572,0.013015873015873015
discovery_oof,legacy_core_in_sample_bucket,3,5810,0.020857420560776243,0.03820998278829604,-0.0173525622275198,0.013015873015873015,0.028205128205128206
discovery_oof,legacy_core_in_sample_bucket,4,5810,0.03091634665974898,0.048881239242685025,-0.017964892582936046,0.028205128205128206,0.03729433272394881
discovery_oof,legacy_core_in_sample_bucket,5,5810,0.047451240960367555,0.058864027538726334,-0.011412786578358779,0.03729433272394881,0.058318098720292505
discovery_oof,legacy_core_in_sample_bucket,6,5810,0.06425256682536999,0.08227194492254733,-0.018019378097177338,0.058318098720292505,0.07142857142857142
discovery_oof,legacy_core_in_sample_bucket,7,5810,0.09276144593797951,0.11652323580034424,-0.023761789862364727,0.07142857142857142,0.11090487238979119
discovery_oof,legacy_core_in_sample_bucket,8,5810,0.1503826676776562,0.14199655765920827,0.00838611001844794,0.11090487238979119,0.2650834403080873
discovery_oof,legacy_core_in_sample_bucket,9,5810,0.2731751055545557,0.20395869191049915,0.06921641364405656,0.2650834403080873,0.28634920634920635
discovery_oof,rank_bvol,0,5810,0.014039421478819935,0.01755593803786575,-0.003516516559045814,-2.526202917098999,-0.7790302038192749
discovery_oof,rank_bvol,1,5810,0.022941077237730357,0.03080895008605852,-0.007867872848328163,-1.254427433013916,-0.6396148204803467
discovery_oof,rank_bvol,2,5810,0.030537829555029,0.035283993115318414,-0.004746163560289413,-1.004400372505188,-0.49058997631073
discovery_oof,rank_bvol,3,5810,0.03788210378643578,0.039242685025817556,-0.0013605812393817779,-0.7658610343933105,-0.4208684265613556
discovery_oof,rank_bvol,4,5810,0.04614095614512961,0.04819277108433735,-0.0020518149392077453,-0.6759756207466125,-0.3341982066631317
discovery_oof,rank_bvol,5,5810,0.05857115949898069,0.06075731497418244,-0.002186155475201755,-0.4912385940551758,-0.20865444839000702
discovery_oof,rank_bvol,6,5810,0.07458166035811434,0.08812392426850259,-0.01354226391038825,-0.34488433599472046,-0.1310921460390091
discovery_oof,rank_bvol,7,5810,0.09843175748589258,0.09845094664371773,-1.918915782514463e-05,-0.24986588954925537,0.05104004219174385
discovery_oof,rank_bvol,8,5810,0.12838503880599908,0.1251290877796902,0.0032559510263088787,-0.0817742645740509,0.26529672741889954
discovery_oof,rank_bvol,9,5810,0.21562345439026115,0.21101549053356283,0.004607963856698316,0.15288518369197845,1.7912687063217163
discovery_oof,rank_core,0,5810,0.014757133851950951,0.0189328743545611,-0.00417574050261015,-2.330333709716797,-0.7394645810127258
discovery_oof,rank_core,1,5810,0.02400207577173297,0.024784853700516352,-0.0007827779287833819,-1.2122962474822998,-0.6919869184494019
discovery_oof,rank_core,2,5810,0.03133840813468666,0.03734939759036145,-0.006010989455674784,-1.0064446926116943,-0.5303577780723572
discovery_oof,rank_core,3,5810,0.03985814904408542,0.04509466437177281,-0.005236515327687388,-0.8383825421333313,-0.38739922642707825
discovery_oof,rank_core,4,5810,0.04518844090694277,0.04061962134251291,0.004568819564429859,-0.7293097972869873,-0.3505198359489441
discovery_oof,rank_core,5,5810,0.05653871654255746,0.06265060240963856,-0.006111885867081099,-0.5195215940475464,-0.22437915205955505
discovery_oof,rank_core,6,5810,0.07792256281980273,0.09018932874354561,-0.012266765923742887,-0.35122284293174744,-0.09617900103330612
discovery_oof,rank_core,7,5810,0.09411211969344391,0.11187607573149742,-0.017763956038053516,-0.22659221291542053,0.11176708340644836
discovery_oof,rank_core,8,5810,0.1276144979086776,0.11583476764199656,0.01177973026668104,-0.10696090012788773,0.27292224764823914
discovery_oof,rank_core,9,5810,0.2150234399825847,0.20722891566265061,0.007794524319934076,0.095718614757061,1.7127604484558105
discovery_oof,rank_novol_bvol,0,5810,0.015311803965160032,0.016179001721170396,-0.0008671977560103638,-1.9004013538360596,-0.6857823133468628
discovery_oof,rank_novol_bvol,1,5810,0.02350904451765224,0.030464716006884683,-0.006955671489232443,-1.0488892793655396,-0.5537240505218506
discovery_oof,rank_novol_bvol,2,5810,0.029974431871980765,0.034079173838209985,-0.00410474196622922,-1.0425546169281006,-0.5197461843490601
discovery_oof,rank_novol_bvol,3,5810,0.035607295521916354,0.031497418244406196,0.004109877277510159,-0.7720263600349426,-0.44625741243362427
discovery_oof,rank_novol_bvol,4,5810,0.04781886018881141,0.05817555938037866,-0.010356699191567252,-0.5347170829772949,-0.3674218952655792
discovery_oof,rank_novol_bvol,5,5810,0.06059504842611419,0.06798623063683305,-0.007391182210718862,-0.4351136088371277,-0.2367742657661438
discovery_oof,rank_novol_bvol,6,5810,0.07497904071721054,0.07762478485370052,-0.0026457441364899775,-0.361114501953125,-0.11603006720542908
discovery_oof,rank_novol_bvol,7,5810,0.1022200285485006,0.10120481927710843,0.0010152092713921618,-0.21718795597553253,0.04738952964544296
discovery_oof,rank_novol_bvol,8,5810,0.13237422477960592,0.13889845094664371,-0.006524226167037794,-0.08740567415952682,0.4055030941963196
discovery_oof,rank_novol_bvol,9,5810,0.20960966428478467,0.19845094664371773,0.011158717641066934,0.06011756882071495,1.73906409740448
locked_holdout,cls_core,0,1800,0.010124304316891061,0.012222222222222223,-0.002097917905331162,0.008776416070759296,0.14733681082725525
locked_holdout,cls_core,1,1800,0.018318587130937366,0.02722222222222222,-0.008903635091284855,0.09411828964948654,0.21963906288146973
locked_holdout,cls_core,2,1800,0.03585449678389041,0.03833333333333333,-0.00247883654944292,0.20161736011505127,0.3123592734336853
locked_holdout,cls_core,3,1800,0.04494433229438115,0.044444444444444446,0.0004998878499367018,0.23085170984268188,0.36722707748413086
locked_holdout,cls_core,4,1800,0.05590986070812628,0.057777777777777775,-0.0018679170696514966,0.3499719798564911,0.433339387178421
locked_holdout,cls_core,5,1800,0.0807770557231556,0.08222222222222222,-0.001445166499066619,0.4221057891845703,0.5269515514373779
locked_holdout,cls_core,6,1800,0.09522694826345189,0.10277777777777777,-0.0075508295143258825,0.4956415295600891,0.5878002047538757
locked_holdout,cls_core,7,1800,0.11991141678681214,0.125,-0.005088583213187864,0.5539078712463379,0.6514307260513306
locked_holdout,cls_core,8,1800,0.14438736575985986,0.17,-0.025612634240140153,0.6269208788871765,0.7347428798675537
