rule,n,days,net_mean,sharpe,sortino,mdd,cum,hit,cvar95,worst,p_net_le_m5,p_net_le_m10,p_low_le_m5,p_low_le_m10,pct_sl,pct_trail,pct_tp,pct_timestop,pct_eod,avg_hold_h,d_net_mean,d_sharpe,d_sortino,d_mdd,d_cum,d_hit,d_p_net_le_m5,d_p_low_le_m5,d_p_low_le_m10,d_pct_sl,leak_prefix_mismatch
baseline,1531,765,-0.002843470284278759,-2.085861248374315,-2.8430844898458485,-0.8716060817391548,-0.8640067909209826,0.3912475506205095,-0.031499999999999986,-0.0315,0.0,0.0,0.020248203788373612,0.0013063357282821686,0.4559111691704768,0.0,0.2194644023514043,0.0,0.3246244284781189,11.838830829523188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
trail,1531,765,-0.0030020183616175588,-2.413672699806674,-3.310605173605213,-0.8958853073993247,-0.8899213370237566,0.45787067276290006,-0.031499999999999986,-0.0315,0.0,0.0,0.016982364467668192,0.0013063357282821686,0.40169823644676683,0.3207054212932724,0.0,0.0,0.2775963422599608,10.650718484650556,-0.00015854807733879997,-0.3278114514323591,-0.4675206837593646,-0.024279225660169934,-0.025914546102773994,0.06662312214239058,0.0,-0.00326583932070542,0.0,-0.05421293272370997,0
time,1531,765,-0.002932702886290088,-4.408596561174308,-5.321614396002667,-0.8626050913488954,-0.8583035767607963,0.3363814500326584,-0.031499999999999986,-0.0315,0.0,0.0,0.015022860875244938,0.0006531678641410843,0.10646636185499674,0.0,0.06531678641410843,0.8282168517308949,0.0,0.9124755062050947,-8.92326020113291e-05,-2.3227353127999932,-2.478529906156819,0.009000990390259367,0.005703214160186376,-0.054866100587851074,0.0,-0.005225342913128674,-0.0006531678641410843,-0.34944480731548005,0
vol,1531,765,-0.0025967562430691442,-1.4690488485065698,-2.035931121125438,-0.8838765589190167,-0.8721620734111243,0.40431090790333113,-0.05149999999999999,-0.051500000000000004,0.28608752449379493,0.0,0.28543435662965383,0.0032658393207054214,0.2880470280862182,0.0,0.10711952971913782,0.0,0.6048334421946441,17.8060091443501,0.0002467140412096146,0.616812399867745,0.8071533687204107,-0.01227047717986196,-0.008155282490141635,0.013063357282821653,0.28608752449379493,0.2651861528412802,0.001959503592423253,-0.16786414108425862,0
vol_tight,1531,765,-0.003145395308136713,-1.9261457565996851,-2.7917405577544634,-0.8951919404714668,-0.8885504468851186,0.3357282821685173,-0.031499999999999986,-0.0315,0.0,0.0,0.023514043109079032,0.0013063357282821686,0.5009797517962117,0.0,0.08817766165904638,0.0,0.410842586544742,13.584748530372305,-0.000301925023857954,0.15971549177462974,0.0513439320913851,-0.023585858732312004,-0.02454365596413599,-0.055519268451992176,0.0,0.00326583932070542,0.0,0.045068582625734877,0
regime,1531,765,-0.003111751838480682,-2.4826423099941017,-3.3812814937754663,-0.9014166700446195,-0.8933293213948934,0.364467668190725,-0.04150000000000001,-0.0415,0.0,0.0,0.03069888961463096,0.0006531678641410843,0.30633572828216854,0.0,0.10058785107772697,0.2952318745917701,0.29784454604833444,9.648269105160026,-0.00026828155420192306,-0.3967810616197869,-0.5381970039296178,-0.02981058830546468,-0.029322530473910757,-0.026779882429784463,0.0,0.010450685826257348,-0.0006531678641410843,-0.14957544088830826,0
