engine_head,threshold,n,base_rate,engine_brier_INSAMPLE,rankmean_brier_OOF,engine_pred_mean,actual_mean
p_h2_hit_3_4h,lab_up_3,111930,0.41531314214241044,0.2041460166972194,0.24170376557913156,0.3329915702342987,0.41531314214241044
p_h6_hit_5_24h,lab_up_5,111930,0.24553738943982847,0.16417381272594325,0.18311607802430327,0.3280997574329376,0.24553738943982847
p_h7_mid_7_24h,lab_up_7,111930,0.1549271866345037,0.13085264225247642,0.12933778857446826,0.2565551698207855,0.1549271866345037
p_h5_tail_20,lab_up_20,111930,0.019753417314392924,0.030452920475035516,0.019757866858895596,0.10698764026165009,0.019753417314392924
