market,date,first,both_touched,intraday_max,intraday_min,eod_ret,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h
KRW-NEAR,2026-01-02,none,False,0.03813559322033888,-0.005508474576271238,0.03644067796610173,0.03494067796610173,0.03494067796610173,0.015872881355932178
KRW-KNC,2026-01-02,none,False,0.020289855072463725,-0.01449275362318836,0.017391304347825987,0.015891304347825985,0.015891304347825985,-0.004398550724637627
KRW-HP,2026-01-02,none,False,0.02614379084967311,-0.009803921568627527,0.02614379084967311,0.02464379084967311,0.02464379084967311,-0.004767973856209249
KRW-FIL,2026-01-02,none,False,0.016256386437529136,-0.04319554110543433,0.007895959126799745,0.006395959126799746,0.006395959126799746,0.002215745471435161
KRW-SAHARA,2026-01-02,none,False,0.06400000000000006,-0.007999999999999896,0.058666666666666645,0.05716666666666664,0.05716666666666664,0.009166666666666603
KRW-ETH,2026-01-02,none,False,0.043807339449541294,-0.003669724770642202,0.03555045871559637,0.034050458715596366,0.034050458715596366,0.004004587155963359
KRW-SYRUP,2026-01-02,none,False,0.005586592178770999,-0.03351955307262566,-0.011173184357541888,-0.012673184357541887,-0.012673184357541887,-0.010810986964618295
KRW-POWR,2026-01-02,none,False,0.040322580645161255,-0.024193548387096753,0.032258064516129004,0.030758064516129002,0.030758064516129002,-0.017629032258064503
KRW-BCH,2026-01-02,none,False,0.037122969837587005,-0.01798143851508116,0.022041763341067222,0.02054176334106722,0.02054176334106722,-0.004400232018561488
KRW-USD1,2026-01-02,none,False,0.004132231404958775,-0.004132231404958664,-0.004132231404958664,-0.0056322314049586635,-0.0056322314049586635,-0.002188705234159759
KRW-ENA,2026-01-02,none,False,0.09841269841269851,-0.00952380952380949,0.08571428571428563,0.08421428571428563,0.08421428571428563,0.01754761904761898
KRW-ORBS,2026-01-02,none,False,0.03401360544217691,-0.006802721088435382,0.027210884353741527,0.025710884353741525,0.025710884353741525,-0.0015
KRW-KITE,2026-01-02,none,False,0.007352941176470562,-0.03676470588235292,0.007352941176470562,0.0058529411764705625,0.0058529411764705625,-0.03091176470588236
KRW-AUCTION,2026-01-02,none,False,0.021710526315789513,-0.03026315789473688,0.011184210526315796,0.009684210526315797,0.009684210526315797,-0.017289473684210577
KRW-WCT,2026-01-02,none,False,0.024590163934426146,-0.032786885245901676,0.016393442622950838,0.014893442622950838,0.014893442622950838,-0.01789344262295084
KRW-ZORA,2026-01-02,tp,False,0.12592592592592577,-0.025925925925925908,0.12592592592592577,0.0985,0.0985,-0.007055555555555535
KRW-MIRA,2026-01-02,none,False,0.032558139534883734,-0.009302325581395321,0.027906976744185963,0.02640697674418596,0.02640697674418596,0.012453488372093093
KRW-WAXP,2026-01-02,none,False,0.02586206896551735,-0.01724137931034475,0.017241379310344973,0.01574137931034497,0.01574137931034497,-0.018741379310344752
KRW-PROVE,2026-01-02,none,False,0.046434494195688236,-0.014925373134328401,0.046434494195688236,0.044934494195688235,0.044934494195688235,-0.0015
KRW-LAYER,2026-01-02,none,False,0.03200000000000003,-0.020000000000000018,0.03200000000000003,0.030500000000000027,0.030500000000000027,-0.005500000000000003
KRW-NEO,2026-01-02,none,False,0.04075829383886265,-0.010426540284360186,0.03791469194312791,0.03641469194312791,0.03641469194312791,0.007978672985782089
KRW-SEI,2026-01-02,none,False,0.053254437869822535,-0.011834319526627168,0.047337278106508895,0.045837278106508894,0.045837278106508894,0.00441715976331364
KRW-BAT,2026-01-02,none,False,0.01238390092879249,-0.02786377708978327,0.0,-0.0015,-0.0015,-0.0015
KRW-META,2026-01-02,none,False,0.045454545454545414,0.0,0.025974025974025983,0.02447402597402598,0.02447402597402598,0.004993506493506552
KRW-ANIME,2026-01-02,none,False,0.00943396226415083,-0.028301886792452713,0.00943396226415083,0.00793396226415083,0.00793396226415083,-0.010933962264150941
KRW-API3,2026-01-02,tp,False,0.14786585365853666,0.0,0.041158536585365946,0.0985,0.0985,0.0985
KRW-COMP,2026-01-02,none,False,0.027107617240444526,-0.013282732447817858,0.022770398481973375,0.021270398481973374,0.021270398481973374,0.009071970723773472
KRW-ELF,2026-01-02,none,False,0.023622047244094446,-0.023622047244094446,0.023622047244094446,0.022122047244094445,0.022122047244094445,-0.009374015748031482
KRW-ADA,2026-01-02,tp,False,0.1083172147001934,-0.005802707930367523,0.1044487427466152,0.0985,0.0985,0.013973887814313248
KRW-GMT,2026-01-02,none,False,0.03587443946188351,-0.017937219730941756,0.03139013452914785,0.02989013452914785,0.02989013452914785,-0.0059843049327354386
KRW-SUPER,2026-01-02,none,False,0.03571428571428581,-0.012987012987012991,0.03571428571428581,0.03421428571428581,0.03421428571428581,0.004993506493506552
KRW-NEWT,2026-01-02,none,False,0.035211267605633756,-0.014084507042253502,0.028169014084507005,0.026669014084507003,0.026669014084507003,-0.0015
KRW-HIVE,2026-01-02,none,False,0.014184397163120588,-0.021276595744680882,0.014184397163120588,0.012684397163120588,0.012684397163120588,-0.008592198581560294
KRW-SUI,2026-01-02,tp,False,0.11163227016885546,-0.0070356472795497504,0.08958724202626644,0.0985,0.0985,0.017261726078799333
KRW-STRAX,2026-01-02,tp,False,0.10238907849829348,0.0,0.04436860068259385,0.0985,0.0985,0.0985
KRW-WLD,2026-01-02,none,False,0.06613756613756605,-0.0092592592592593,0.06481481481481488,0.06331481481481488,0.06331481481481488,0.007759259259259301
KRW-G,2026-01-02,none,False,0.025954198473282508,-0.016793893129770865,0.025954198473282508,0.024454198473282507,0.024454198473282507,-0.00608015267175571
KRW-TOSHI,2026-01-02,tp,False,0.125,-0.009433962264150941,0.10849056603773577,0.0985,0.0985,0.026801886792452934
KRW-AQT,2026-01-02,none,False,0.07476635514018692,-0.014018691588784993,0.014018691588784993,0.012518691588784993,0.012518691588784993,-0.0015
KRW-DEEP,2026-01-02,none,False,0.08030592734225617,-0.007648183556405286,0.06692160611854692,0.06542160611854692,0.06542160611854692,0.011884321223709473
KRW-SNT,2026-01-02,none,False,0.03431372549019618,-0.009803921568627416,0.03431372549019618,0.03281372549019618,0.03281372549019618,-0.006401960784313597
KRW-AWE,2026-01-02,none,False,0.03860523038605246,0.0,0.03735990037359893,0.03585990037359893,0.03585990037359893,0.0234066002490661
KRW-ALT,2026-01-02,none,False,0.03314917127071815,-0.011049723756906271,0.016574585635358963,0.015074585635358963,0.015074585635358963,0.020599447513812097
KRW-STORJ,2026-01-02,none,False,0.02673796791443861,-0.021390374331550777,0.016042780748663166,0.014542780748663166,0.014542780748663166,-0.0015
