strategy,date,coin,setup_ids,btc_regime,alert_rank,next_max_return_pct,next_close_return_pct,hit_h2,hit_h5,hit_h6
distribution_beta,2023-11-07,KRW-1INCH,S02,bull_volatile,8,,-3.3333333333333326,0,0,0
distribution_beta,2024-01-02,KRW-1INCH,S01+S02,bull_volatile,3,1.5360983102918668,-2.7649769585253448,0,0,0
distribution_beta,2024-01-05,KRW-1INCH,S02,bull_quiet,6,9.430894308943085,5.853658536585371,1,0,1
distribution_beta,2024-01-06,KRW-1INCH,S01+S02,bull_quiet,5,1.0752688172043,-3.3794162826420893,0,0,0
distribution_beta,2024-01-12,KRW-1INCH,S01+S02+S03,bull_volatile,6,0.7082152974504208,-5.8073654390934815,0,0,0
distribution_beta,2024-01-30,KRW-1INCH,S02,bull_volatile,6,4.466192170818517,0.4270462633451988,1,0,0
distribution_beta,2024-02-03,KRW-1INCH,S02,bull_volatile,3,1.117021276595742,0.0354609929078097,0,0,0
distribution_beta,2023-12-17,KRW-A,S02,bull_volatile,7,3.6363636363636376,-0.4545454545454519,0,0,0
distribution_beta,2023-09-17,KRW-AAVE,S02,bear_quiet,6,3.482276585122324,0.1497753369945176,0,0,0
distribution_beta,2023-09-29,KRW-AAVE,S02,bear_quiet,6,3.487848784878489,0.5738073807380673,0,0,0
distribution_beta,2023-10-02,KRW-AAVE,S02,bull_quiet,7,0.0614943117761557,-3.5359229271292425,0,0,0
distribution_beta,2023-10-22,KRW-AAVE,S02,bull_quiet,9,14.58443341429929,12.736297391488003,1,0,1
distribution_beta,2023-10-23,KRW-AAVE,S02,bull_quiet,7,9.503745318352053,5.805243445692887,0,0,1
distribution_beta,2023-10-24,KRW-AAVE,S02,bull_quiet,8,7.001321003963001,-1.497137824746808,1,0,1
distribution_beta,2023-10-30,KRW-AAVE,S02,bull_quiet,8,3.2229965156794327,-1.1324041811846652,0,0,0
distribution_beta,2023-12-15,KRW-AAVE,S02,bull_volatile,7,16.142270861833108,2.291381668946646,0,0,1
distribution_beta,2023-12-29,KRW-AAVE,S01+S02,bull_volatile,4,3.425518541797601,-5.059710873664358,1,0,0
distribution_beta,2023-11-07,KRW-ADA,S02,bull_volatile,10,1.2422360248447228,-2.898550724637683,0,0,0
distribution_beta,2023-12-09,KRW-ADA,S02+S03,bull_volatile,5,17.900403768506056,6.998654104979818,1,0,1
distribution_beta,2023-12-10,KRW-ADA,S02+S03,bull_volatile,2,5.283018867924527,2.264150943396226,1,0,1
distribution_beta,2023-12-14,KRW-ADA,S01+S02+S03,bull_volatile,5,2.7085590465872222,-4.658721560130008,0,0,0
distribution_beta,2023-12-22,KRW-ADA,S02,bull_volatile,8,2.7874564459930307,-1.9744483159117252,0,0,0
distribution_beta,2024-01-11,KRW-ADA,S02,bull_volatile,7,9.06735751295338,3.4974093264248607,1,0,1
distribution_beta,2024-01-30,KRW-ADA,S02,bull_volatile,10,1.9080779944289803,-1.7827298050139162,0,0,0
distribution_beta,2024-02-09,KRW-ADA,S02,bull_volatile,3,2.577532736044108,0.5789110957960197,0,0,0
distribution_beta,2024-02-15,KRW-ADA,S02,bull_quiet,9,7.343909928352099,6.832139201637655,0,0,1
distribution_beta,2024-02-16,KRW-ADA,S02,bull_quiet,9,1.1370436864153175,-0.8617594254937244,0,0,0
distribution_beta,2023-10-21,KRW-AERGO,S02,bull_quiet,10,4.347826086956519,-2.4844720496894457,1,0,0
distribution_beta,2023-10-31,KRW-AERGO,S02,bull_quiet,2,3.7634408602150495,-2.1505376344086,1,0,0
distribution_beta,2023-11-03,KRW-AERGO,S02+S03,bull_volatile,5,1.970443349753692,-1.970443349753692,0,0,0
distribution_beta,2023-11-15,KRW-AERGO,S01+S02+S03,bull_volatile,1,8.965517241379306,-11.724137931034484,1,0,1
distribution_beta,2023-11-25,KRW-AERGO,S01+S02,bull_volatile,3,4.489795918367356,-1.224489795918371,1,0,0
distribution_beta,2023-11-30,KRW-AERGO,S01+S02,bull_volatile,5,11.336032388663964,3.643724696356277,1,0,1
distribution_beta,2023-09-24,KRW-AHT,S02,bear_quiet,5,,-8.467741935483875,0,0,0
distribution_beta,2023-09-29,KRW-AHT,S02,bear_quiet,5,4.251012145748989,-1.619433198380571,1,0,0
distribution_beta,2023-11-03,KRW-AHT,S02,bull_volatile,9,,-3.6363636363636376,0,0,0
distribution_beta,2024-02-04,KRW-AHT,S02+S03,bull_volatile,1,0.0941619585687503,-3.295668549905839,0,0,0
distribution_beta,2024-02-06,KRW-AHT,S02,bull_volatile,4,2.982292637465056,,0,0,0
distribution_beta,2023-11-13,KRW-ALGO,S02,bull_volatile,7,1.025641025641022,-7.179487179487176,0,0,0
distribution_beta,2023-12-03,KRW-ALGO,S02,bull_volatile,7,5.583756345177671,3.5532994923857864,0,0,1
distribution_beta,2023-12-08,KRW-ALGO,S02,bull_volatile,9,13.39285714285714,12.05357142857142,0,0,1
distribution_beta,2023-12-10,KRW-ALGO,S02+S03,bull_volatile,8,2.93040293040292,1.098901098901095,0,0,0
distribution_beta,2023-12-15,KRW-ALGO,S02,bull_volatile,8,0.3389830508474523,-7.796610169491524,0,0,0
distribution_beta,2023-12-22,KRW-ALGO,S01+S02,bull_volatile,5,14.144736842105264,6.578947368421062,1,0,1
distribution_beta,2023-12-23,KRW-ALGO,S01+S02+S03,bull_volatile,3,1.846153846153853,-1.8461538461538416,0,0,0
distribution_beta,2023-10-07,KRW-ANKR,S02,bull_quiet,7,2.2140221402213944,0.7380073800737907,0,0,0
distribution_beta,2023-12-01,KRW-ANKR,S01+S02,bull_volatile,1,1.1428571428571344,-1.1428571428571344,0,0,0
distribution_beta,2023-12-05,KRW-ANKR,S02,bull_volatile,10,11.65311653116532,5.1490514905149,1,0,1
distribution_beta,2023-12-06,KRW-ANKR,S02,bull_volatile,9,1.5424164524421524,-3.3419023136246677,0,0,0
distribution_beta,2023-12-15,KRW-ANKR,S02,bull_volatile,10,2.564102564102555,-3.846153846153844,0,0,0
distribution_beta,2024-01-09,KRW-ANKR,S02,bull_volatile,5,,-5.247813411078706,0,0,0
distribution_beta,2024-02-15,KRW-ANKR,S02,bull_quiet,8,9.657667687169493,6.596159198441409,0,0,1
distribution_beta,2023-10-22,KRW-APT,S02,bull_quiet,5,13.493653974615905,10.688042752171013,0,0,1
distribution_beta,2023-10-23,KRW-APT,S01+S02+S03,bull_quiet,5,4.770531400966194,0.0603864734299408,1,0,0
distribution_beta,2023-10-26,KRW-APT,S02,bull_quiet,7,0.9646302250803762,-5.519828510182212,0,0,0
distribution_beta,2023-11-07,KRW-APT,S02,bull_volatile,9,8.787878787878789,-1.7676767676767624,1,0,1
distribution_beta,2023-12-08,KRW-APT,S02,bull_volatile,5,8.272058823529417,6.158088235294112,0,0,1
distribution_beta,2023-12-13,KRW-APT,S01+S02,bull_volatile,1,0.2371541501976271,-6.403162055335965,0,0,0
distribution_beta,2023-12-23,KRW-APT,S02,bull_volatile,10,10.05586592178771,0.4788507581803713,1,0,1
distribution_beta,2023-12-26,KRW-APT,S02,bull_volatile,7,6.064981949458481,4.04332129963898,0,0,1
distribution_beta,2024-01-05,KRW-APT,S02,bull_quiet,4,6.330935251798553,-6.6906474820143895,1,0,1
distribution_beta,2024-01-14,KRW-APT,S01+S02,bull_volatile,10,0.6540697674418672,-3.488372093023251,0,0,0
distribution_beta,2024-01-24,KRW-APT,S01+S02,bull_volatile,7,0.2471169686985241,-2.635914332784184,0,0,0
distribution_beta,2024-02-16,KRW-APT,S02,bull_quiet,4,2.002861230329045,-2.7896995708154515,0,0,0
distribution_beta,2023-09-23,KRW-AQT,S02,bear_quiet,10,2.952029520295208,2.2140221402213944,0,0,0
distribution_beta,2023-09-29,KRW-AQT,S02+S03,bear_quiet,4,10.839160839160831,-3.4965034965035,1,0,1
distribution_beta,2023-10-21,KRW-AQT,S02,bull_quiet,8,2.898550724637672,2.1739130434782705,0,0,0
distribution_beta,2023-10-23,KRW-AQT,S02,bull_quiet,2,19.254658385093173,-6.211180124223603,1,0,1
distribution_beta,2023-11-05,KRW-AQT,S01+S02,bull_volatile,9,26.92307692307692,0.2747252747252737,1,1,1
distribution_beta,2023-11-12,KRW-AQT,S01+S02,bull_volatile,5,3.493449781659397,-8.078602620087338,1,0,0
distribution_beta,2023-12-09,KRW-AQT,S02,bull_volatile,9,1.372997711670476,,0,0,0
distribution_beta,2024-01-07,KRW-AQT,S02,bull_quiet,8,,-4.935064935064936,0,0,0
distribution_beta,2024-01-14,KRW-AQT,S02,bull_volatile,5,1.133786848072571,-2.26757369614512,0,0,0
distribution_beta,2024-01-16,KRW-AQT,S01+S02+S03,bull_volatile,2,3.2537960954446943,-3.470715835141003,1,0,0
distribution_beta,2023-09-29,KRW-ARB,S02,bear_quiet,7,2.4793388429751984,0.8264462809917328,0,0,0
distribution_beta,2023-10-02,KRW-ARB,S02+S03,bull_quiet,9,2.2900763358778558,-3.053435114503822,0,0,0
distribution_beta,2023-11-04,KRW-ARB,S02,bull_volatile,5,5.263157894736836,3.157894736842115,1,0,1
distribution_beta,2023-11-10,KRW-ARB,S02,bull_volatile,8,1.85185185185186,-2.777777777777779,0,0,0
distribution_beta,2023-11-16,KRW-ARB,S02,bull_volatile,4,3.9473684210526327,-3.9473684210526327,0,0,0
distribution_beta,2023-12-03,KRW-ARB,S02,bull_volatile,9,1.0101010101010166,-0.6734006734006703,0,0,0
distribution_beta,2023-12-08,KRW-ARB,S02,bull_volatile,2,2.1739130434782705,-1.2422360248447228,0,0,0
distribution_beta,2023-12-13,KRW-ARB,S02,bull_volatile,4,0.5763688760807018,-6.051873198847257,0,0,0
distribution_beta,2023-12-23,KRW-ARB,S01+S02+S03,bull_volatile,1,2.857142857142847,-1.8181818181818188,0,0,0
distribution_beta,2023-12-28,KRW-ARB,S02+S03,bull_volatile,7,10.199004975124382,-2.487562189054726,1,0,1
distribution_beta,2024-01-01,KRW-ARB,S02,bull_volatile,5,10.688836104513054,9.738717339667469,0,0,1
distribution_beta,2024-01-02,KRW-ARB,S01+S02+S03,bull_volatile,6,5.844155844155852,3.030303030303028,0,0,1
distribution_beta,2024-01-04,KRW-ARB,S01+S02,bull_volatile,6,8.3969465648855,3.053435114503822,1,0,1
distribution_beta,2024-01-11,KRW-ARB,S01+S02+S03,bull_volatile,3,8.717105263157897,1.8092105263157965,1,0,1
distribution_beta,2024-02-13,KRW-ARB,S02+S03,bull_quiet,5,1.974865350089772,-0.4667863554757678,0,0,0
distribution_beta,2023-09-23,KRW-ARDR,S02,bear_quiet,7,0.8307372793354029,0.7268951194184803,0,0,0
distribution_beta,2023-10-19,KRW-ARDR,S02,bull_quiet,1,37.5,33.653846153846146,1,1,1
distribution_beta,2023-10-20,KRW-ARDR,S02+S03,bull_quiet,2,33.81294964028776,9.35251798561152,1,1,1
distribution_beta,2023-10-21,KRW-ARDR,S01+S02+S03,bull_quiet,3,33.11258278145694,-13.907284768211923,1,1,1
distribution_beta,2023-10-31,KRW-ARDR,S02,bull_quiet,5,,-5.511811023622048,0,0,0
distribution_beta,2023-11-05,KRW-ARDR,S02,bull_volatile,10,,-0.8064516129032251,0,0,0
distribution_beta,2023-11-15,KRW-ARDR,S02,bull_volatile,8,9.027777777777768,7.638888888888884,0,0,1
distribution_beta,2023-11-18,KRW-ARDR,S01+S02,bull_volatile,5,6.077348066298338,,0,0,1
distribution_beta,2023-12-07,KRW-ARDR,S02,bull_volatile,4,,-1.3513513513513489,0,0,0
distribution_beta,2023-09-16,KRW-ARK,S01+S02+S03,bear_quiet,3,41.69960474308301,27.470355731225293,1,1,1
distribution_beta,2023-09-17,KRW-ARK,S01+S02+S03,bear_quiet,2,22.790697674418613,2.7906976744185963,1,1,1
distribution_beta,2023-09-20,KRW-ARK,S01+S02+S03,bear_quiet,1,16.117647058823525,4.823529411764715,1,0,1
distribution_beta,2023-09-21,KRW-ARK,S01,bear_quiet,2,1.6853932584269593,-13.258426966292136,0,0,0
distribution_beta,2023-09-23,KRW-ARK,S02+S03,bear_quiet,3,3.485576923076916,-4.567307692307687,0,0,0
distribution_beta,2023-09-27,KRW-ARK,S02,bear_quiet,4,7.372654155495972,1.742627345844494,1,0,1
distribution_beta,2023-10-06,KRW-ARK,S02,bear_quiet,5,23.655913978494624,16.743471582181257,1,1,1
distribution_beta,2023-10-07,KRW-ARK,S01+S02,bull_quiet,3,2.2397891963109373,-4.479578392621875,0,0,0
distribution_beta,2023-10-13,KRW-ARK,S02+S03,bear_quiet,4,4.874446085672091,2.8064992614475592,1,0,0
distribution_beta,2023-10-16,KRW-ARK,S02+S03,bear_quiet,5,5.248990578734869,-5.652759084791381,1,0,1
distribution_beta,2023-10-28,KRW-ARK,S01+S02,bull_quiet,3,6.388888888888888,1.8055555555555487,0,0,1
distribution_beta,2023-10-30,KRW-ARK,S01+S02+S03,bull_quiet,1,50.20366598778004,34.419551934826885,1,1,1
distribution_beta,2023-10-31,KRW-ARK,S01+S02+S03,bull_quiet,1,13.257575757575758,3.787878787878785,1,0,1
distribution_beta,2023-11-04,KRW-ARK,S01+S02+S03,bull_volatile,2,45.57377049180329,40.65573770491804,0,1,1
distribution_beta,2023-11-05,KRW-ARK,S01+S02+S03,bull_volatile,3,10.256410256410264,-5.82750582750583,1,0,1
distribution_beta,2023-11-10,KRW-ARK,S02+S03,bull_volatile,4,22.004889975550125,17.359413202933993,1,1,1
distribution_beta,2023-11-11,KRW-ARK,S01+S02+S03,bull_volatile,3,3.347280334728042,-19.6652719665272,1,0,0
distribution_beta,2023-11-13,KRW-ARK,S02,bull_volatile,5,5.3811659192825045,-15.246636771300448,1,0,1
distribution_beta,2023-11-15,KRW-ARK,S01+S02,bull_volatile,4,8.274231678486998,2.600472813238764,0,0,1
distribution_beta,2023-11-18,KRW-ARK,S02,bull_volatile,9,8.636363636363642,-8.40909090909091,0,0,1
distribution_beta,2023-11-25,KRW-ARK,S02,bull_volatile,4,2.304147465437789,-2.995391705069128,0,0,0
distribution_beta,2023-12-03,KRW-ARK,S02,bull_volatile,4,1.650165016501659,-1.650165016501648,0,0,0
distribution_beta,2023-12-24,KRW-ARK,S02,bull_volatile,8,3.558718861209975,-4.270462633451954,1,0,0
distribution_beta,2024-01-11,KRW-ARK,S02,bull_volatile,5,12.217194570135748,4.977375565610864,1,0,1
distribution_beta,2024-01-25,KRW-ARK,S01+S02+S03,bull_volatile,5,31.415929203539815,9.734513274336276,1,1,1
distribution_beta,2024-01-26,KRW-ARK,S01+S02+S03,bull_volatile,1,6.425702811244971,-3.6144578313253017,1,0,1
distribution_beta,2024-01-31,KRW-ARK,S01+S02+S03,bull_volatile,1,0.2341920374707262,-5.62060889929742,0,0,0
distribution_beta,2024-02-17,KRW-ARK,S02,bull_quiet,2,3.780864197530853,1.157407407407418,0,0,0
