pattern,feature,regime,n_fire,hit_high20_rate,hit_high15_rate,n_spike15,pump_then_dump_rate,spike_fade_rate,sustain_rate,mean_retention,net_eod_mean,net_eod_med,net_tp_eod_mean,net_tp_sl_mean,net_eod_winrate,net_tp_sl_winrate,mean_o2h,mean_o2c,mean_o2l
qv_surge_30d,f_qv_surge_30d,ALL,15305,0.053119895459000324,0.0925187847108788,1416,0.1172316384180791,0.5826271186440678,0.7288135593220338,0.3953684880253729,-0.0025550700696241268,-0.00772347949080626,0.0012415769987346253,-0.006638197629944355,0.43299575302188825,0.3762169225743221,0.06098541650416664,-0.0010550700696241252,-0.051465908156646506
qv_surge_30d,f_qv_surge_30d,bull_quiet,5111,0.04343572686362747,0.08002347877127763,409,0.11735941320293398,0.5378973105134475,0.7334963325183375,0.40834234445822704,-0.002065646131376058,-0.005217472118962894,0.0005008497613148078,-0.005034484740382505,0.44942281353942476,0.4048131481119155,0.05710705202150895,-0.0005656461313760562,-0.04908355614844435
qv_surge_30d,f_qv_surge_30d,bull_volatile,4010,0.059102244389027433,0.10174563591022444,408,0.10294117647058823,0.5490196078431373,0.7720588235294118,0.4368085773518462,-0.0005366833359107302,-0.008907407407408084,0.002280656435741512,-0.010832390601298567,0.44663341645885285,0.34064837905236905,0.06508348150436823,0.0009633166640892713,-0.06098308607981761
qv_surge_30d,f_qv_surge_30d,bear_quiet,2495,0.04008016032064128,0.07454909819639279,186,0.053763440860215055,0.5698924731182796,0.7688172043010753,0.44453339743995735,-1.5102013995572163e-05,-0.004264976958525733,0.0028863115271557803,-0.0011388124043779765,0.44649298597194387,0.4236472945891784,0.05205278618269747,0.0014848979860044291,-0.0391448741932719
qv_surge_30d,f_qv_surge_30d,bear_volatile,3689,0.0688533477907292,0.11195445920303605,413,0.15980629539951574,0.6658595641646489,0.6634382566585957,0.31943982730539433,-0.007145039397184398,-0.013635922330099524,2.594558633134019e-05,-0.008020368652229076,0.38628354567633505,0.34318243426402817,0.06794556637462491,-0.005645039397184397,-0.05275441381688636
qv_surge_7d,f_qv_surge_7d,ALL,14850,0.04828282828282828,0.08222222222222222,1221,0.13267813267813267,0.6445536445536445,0.6912366912366913,0.35614475361167086,-0.003517348127646527,-0.00692649194595729,0.0008066531470097936,-0.005852475513261587,0.43037037037037035,0.384983164983165,0.057423928484090496,-0.0020173481276465253,-0.04833180453596132
qv_surge_7d,f_qv_surge_7d,bull_quiet,5266,0.03892897835169009,0.07045195594379035,371,0.13746630727762804,0.6064690026954178,0.6819407008086253,0.36004054034049204,-0.0055165793133192705,-0.0070865921788013635,-0.002156970960880962,-0.006949289278843854,0.42802886441321686,0.38473224458792254,0.053130938319931334,-0.004016579313319269,-0.049584321600202604
qv_surge_7d,f_qv_surge_7d,bull_volatile,3009,0.053506148222000664,0.0897308075772682,270,0.12962962962962962,0.6037037037037037,0.7296296296296296,0.3881903538721215,-0.0040980383645011975,-0.009327788649725886,-5.1480397521403946e-05,-0.010456352868711577,0.4287138584247258,0.3439680957128614,0.06068969436452372,-0.0025980383645011953,-0.057971742540724826
qv_surge_7d,f_qv_surge_7d,bear_quiet,2347,0.040477204942479764,0.07158074137196421,168,0.05952380952380952,0.6071428571428571,0.7916666666666666,0.43168030936224155,0.0015463972254799595,-0.001500000000432987,0.004588833909809062,0.0006834481744557444,0.4678312739667661,0.44737963357477634,0.05090499359758014,0.003046397225479961,-0.03681471392428579
qv_surge_7d,f_qv_surge_7d,bear_volatile,4228,0.06054872280037843,0.09744560075685904,412,0.16019417475728157,0.720873786407767,0.633495145631068,0.3008349907165004,-0.003424955033355962,-0.008078947368427567,0.0030090633024869007,-0.004838030064578365,0.41367076631977295,0.379848628192999,0.06406539888354139,-0.001924955033355961,-0.04630443541320221
