strategy,rule,cost_pct,n_trades,n_days,avg_alerts_per_day,n_missing_realized,avg_trade_net_pct,pos_trade_pct,cum_return_pct,annualized_sharpe,mdd_pct,worst_day_pct,best_day_pct
random_top100,TP20,0.15,5080,754,6.737400530503979,0,0.031507900694176964,46.2992125984252,-69.41127817154158,-0.45088600241668175,-86.48796787259381,-20.328918914815787,13.16499315436863
distribution_beta,TP20,0.15,4871,752,6.477393617021277,209,0.21016749906292692,45.26791213303223,-88.15733769440574,-0.6118304172775159,-95.23769909192798,-21.45686335501135,19.85
atr_14,TP20,0.15,5080,754,6.737400530503979,0,-0.15389425857973743,43.52362204724409,-91.57657581785556,-0.9046842391949291,-95.48758067034878,-24.957123524800995,19.85
momentum_1d,TP20,0.15,5080,754,6.737400530503979,0,-0.0012902178616610329,42.93307086614173,-96.47521747125681,-1.2949826503380184,-98.5084460528535,-21.45686335501135,19.85
vol_momentum,TP20,0.15,5080,754,6.737400530503979,0,-0.06379292638242429,42.322834645669296,-96.9694427596853,-1.3801225969724176,-98.55378603003618,-19.631353057332575,19.85
setup_only,TP20,0.15,5080,754,6.737400530503979,0,-0.03619283498049724,43.031496062992126,-97.02445073178049,-1.3865422604250297,-98.6033773053609,-21.45686335501135,19.85
setup_momentum,TP20,0.15,5080,754,6.737400530503979,0,-0.03887985207397438,42.952755905511815,-97.06653489010665,-1.3930160861682506,-98.69192331802836,-21.45686335501135,19.85
random_top100,TP20,0.2,5080,754,6.737400530503979,0,-0.01849209930582308,45.80708661417322,-79.03872547128444,-0.7086749016681958,-89.41231820935633,-20.378918914815785,13.114993154368632
distribution_beta,TP20,0.2,4871,752,6.477393617021277,209,0.16016749906292688,44.95996715253541,-91.8821035776326,-0.8040630006245733,-96.43581145630792,-21.50686335501135,19.8
atr_14,TP20,0.2,5080,754,6.737400530503979,0,-0.20389425857973748,43.09055118110236,-94.2323149732418,-1.1105156693427118,-96.81862040162711,-25.007123524800996,19.8
momentum_1d,TP20,0.2,5080,754,6.737400530503979,0,-0.051290217861661,42.65748031496063,-97.58765839717502,-1.4936027015669815,-98.88648419373075,-21.50686335501135,19.8
vol_momentum,TP20,0.2,5080,754,6.737400530503979,0,-0.11379292638242434,42.04724409448819,-97.9260456824395,-1.5789776599474785,-98.93217960683404,-19.681353057332572,19.8
setup_only,TP20,0.2,5080,754,6.737400530503979,0,-0.08619283498049729,42.775590551181104,-97.96372424190523,-1.5854504670277554,-98.98391210455259,-21.50686335501135,19.8
setup_momentum,TP20,0.2,5080,754,6.737400530503979,0,-0.08887985207397443,42.696850393700785,-97.99253850373073,-1.591820389418809,-99.0483641416771,-21.50686335501135,19.8
distribution_beta,TP3,0.15,4871,752,6.477393617021277,209,0.46192131307567186,70.56045986450421,552.4682189118822,2.063210324088225,-52.60984405389566,-15.033997620464007,2.8499999999999996
setup_momentum,TP3,0.15,5080,754,6.737400530503979,0,0.252371891010193,67.83464566929133,71.9170105480909,0.7777928714259353,-64.05486560127726,-13.620770968652923,2.8499999999999996
setup_only,TP3,0.15,5080,754,6.737400530503979,0,0.2391446369468018,67.93307086614173,60.38852050485477,0.7107833414699674,-63.952445309324546,-13.620770968652923,2.8499999999999996
momentum_1d,TP3,0.15,5080,754,6.737400530503979,0,0.23875892328871032,67.61811023622047,60.21112510626576,0.7081756895493211,-63.8167776933523,-15.298157304420517,2.8499999999999996
vol_momentum,TP3,0.15,5080,754,6.737400530503979,0,0.16067025487805967,67.5,25.217226955973217,0.475091981984716,-70.77972937751318,-13.620770968652923,2.8499999999999996
random_top100,TP3,0.15,5080,754,6.737400530503979,0,-0.08103665259307317,56.751968503937015,-78.49295935435114,-1.2615415854073715,-87.75264324858004,-13.35035854191452,2.8499999999999996
atr_14,TP3,0.15,5080,754,6.737400530503979,0,-0.22012807710137333,60.43307086614173,-79.85719273614991,-1.2807806369505552,-84.61558219727657,-13.031005890927979,2.8499999999999996
distribution_beta,TP3,0.2,4871,752,6.477393617021277,209,0.4119213130756717,70.49887086840485,348.3014626261281,1.7021906199619976,-55.96542308174719,-15.083997620464007,2.8
setup_momentum,TP3,0.2,5080,754,6.737400530503979,0,0.20237189101019296,67.81496062992126,17.924814645525288,0.41843685485374954,-66.63810099448106,-13.670770968652924,2.8
momentum_1d,TP3,0.2,5080,754,6.737400530503979,0,0.1887589232887103,67.57874015748031,9.890804021825561,0.3546446626167807,-66.41702390882881,-15.348157304420518,2.8
setup_only,TP3,0.2,5080,754,6.737400530503979,0,0.18914463694680178,67.89370078740158,10.013011975332663,0.35291755161045024,-66.74329318092933,-13.670770968652924,2.8
vol_momentum,TP3,0.2,5080,754,6.737400530503979,0,0.11067025487805965,67.46062992125984,-14.122051530547186,0.11614774565957377,-75.11843722974683,-13.670770968652924,2.8
random_top100,TP3,0.2,5080,754,6.737400530503979,0,-0.13103665259307323,56.33858267716535,-85.26266009406078,-1.6332539815657527,-90.81959480136156,-13.40035854191452,2.8
atr_14,TP3,0.2,5080,754,6.737400530503979,0,-0.2701280771013733,60.15748031496063,-86.19801478007561,-1.6431766164319577,-88.91026847527014,-13.08100589092798,2.8
distribution_beta,TP5,0.15,4871,752,6.477393617021277,209,0.5842667805767415,60.377745842742755,866.4316365426967,2.03678414817535,-48.16312198738859,-19.217003256324663,4.8500000000000005
setup_momentum,TP5,0.15,5080,754,6.737400530503979,0,0.3550688329642533,57.7755905511811,141.96258493527202,0.9961252358558487,-58.061724445843765,-19.21700325632466,4.8500000000000005
setup_only,TP5,0.15,5080,754,6.737400530503979,0,0.34358248807933645,57.874015748031496,127.82572474443393,0.9499899800540993,-59.74737477650864,-19.21700325632466,4.8500000000000005
momentum_1d,TP5,0.15,5080,754,6.737400530503979,0,0.33994437438894043,57.57874015748031,115.53947260639896,0.9062619558424754,-60.13418964874073,-19.21700325632466,4.8500000000000005
vol_momentum,TP5,0.15,5080,754,6.737400530503979,0,0.2337069245930929,56.87007874015748,9.063712918597112,0.39049426584122254,-80.78872900026721,-13.755366086427994,4.8500000000000005
random_top100,TP5,0.15,5080,754,6.737400530503979,0,0.029769300994953386,50.925196850393704,-57.777297338774034,-0.4361159335413415,-81.94421579670579,-14.435637357114933,4.8500000000000005
atr_14,TP5,0.15,5080,754,6.737400530503979,0,-0.12075407793682223,52.02755905511811,-72.58320659932487,-0.6968734878478695,-84.82958400642518,-14.865501721102353,4.8500000000000005
distribution_beta,TP5,0.2,4871,752,6.477393617021277,209,0.5342667805767416,60.21350851981113,564.09310030304,1.75460565903571,-50.7594811106051,-19.267003256324664,4.8
setup_momentum,TP5,0.2,5080,754,6.737400530503979,0,0.30506883296425324,57.677165354330704,65.986443993657,0.7116791072014979,-63.86007781021684,-19.26700325632466,4.8
setup_only,TP5,0.2,5080,754,6.737400530503979,0,0.29358248807933635,57.7755905511811,56.28369480567628,0.6661741566530971,-65.99310485893564,-19.26700325632466,4.8
momentum_1d,TP5,0.2,5080,754,6.737400530503979,0,0.28994437438894044,57.460629921259844,47.85071105546839,0.6252604859376627,-66.43853629989049,-19.26700325632466,4.8
vol_momentum,TP5,0.2,5080,754,6.737400530503979,0,0.18370692459309287,56.732283464566926,-25.211581156355056,0.10343865751424014,-83.66983611093733,-13.805366086427995,4.8
random_top100,TP5,0.2,5080,754,6.737400530503979,0,-0.020230699005046683,50.47244094488189,-71.05912389618108,-0.7547226562880001,-86.46358732935371,-14.485637357114934,4.8
atr_14,TP5,0.2,5080,754,6.737400530503979,0,-0.1707540779368223,51.653543307086615,-81.21220198164426,-0.9918834796869064,-88.90335101507891,-14.915501721102354,4.8
distribution_beta,tiered,0.15,4871,752,6.477393617021277,209,2.3981110509511865,67.66577704783413,295475827.26777935,9.795670008522912,-31.658441853573176,-15.033997620464007,19.85
setup_only,tiered,0.15,5080,754,6.737400530503979,0,2.103628288014173,65.07874015748033,47004187.331536666,8.744780436269329,-34.39687648751874,-13.620770968652923,19.85
setup_momentum,tiered,0.15,5080,754,6.737400530503979,0,2.0883757657084168,65.03937007874015,43735128.79799956,8.726076243849294,-35.4991708307695,-13.620770968652923,19.85
momentum_1d,tiered,0.15,5080,754,6.737400530503979,0,2.0957700303037887,64.6259842519685,44516081.831050985,8.627902585216502,-32.51810663415088,-13.620770968652923,19.85
vol_momentum,tiered,0.15,5080,754,6.737400530503979,0,1.9924211188722865,64.42913385826772,22878402.18699349,8.3744256201697,-34.91775298751328,-13.620770968652923,19.85
atr_14,tiered,0.15,5080,754,6.737400530503979,0,1.0089461124475072,57.55905511811024,74173.84432360918,4.859633350401472,-41.13926081548792,-14.865501721102353,19.85
random_top100,tiered,0.15,5080,754,6.737400530503979,0,0.6158469576578597,54.409448818897644,1818.7512440627454,2.676348665406366,-44.02723174685226,-13.35035854191452,9.85
distribution_beta,tiered,0.2,4871,752,6.477393617021277,209,2.348111050951187,67.54259905563539,204297812.51643255,9.560401424903258,-33.52706388227754,-15.083997620464007,19.8
setup_only,tiered,0.2,5080,754,6.737400530503979,0,2.053628288014173,65.01968503937007,32438037.7428442,8.505265034921319,-36.03176177995096,-13.670770968652924,19.8
setup_momentum,tiered,0.2,5080,754,6.737400530503979,0,2.038375765708417,64.98031496062993,30181017.562711686,8.485720122933438,-37.1071051194736,-13.670770968652924,19.8
momentum_1d,tiered,0.2,5080,754,6.737400530503979,0,2.0457700303037893,64.56692913385827,30719947.927894652,8.390857194666276,-34.19887453560595,-13.670770968652924,19.8
vol_momentum,tiered,0.2,5080,754,6.737400530503979,0,1.9424211188722864,64.35039370078741,15783107.892723868,8.13189048459036,-36.50803317998508,-13.670770968652924,19.8
atr_14,tiered,0.2,5080,754,6.737400530503979,0,0.9589461124475069,57.204724409448815,50995.77757889008,4.603675832084134,-43.40777724381508,-14.915501721102354,19.8
