regime_d1,n_days,mean_breadth20,mean_breadth15,mean_n_pump20,mean_n_pump15,p_any_pump20,pump_rich_rate
bear_volatile,213,0.02307500052150094,0.041657239377400734,4.877934272300469,8.7981220657277,0.8873239436619719,0.323943661971831
bull_volatile,270,0.019394405901213434,0.03798610100209357,2.403703703703704,4.707407407407407,0.725925925925926,0.2518518518518518
bull_quiet,390,0.014549325744474432,0.027443738665771576,2.194871794871795,4.102564102564102,0.7717948717948718,0.1641025641025641
bear_quiet,150,0.010867674429523601,0.024460541519135025,1.9266666666666667,4.093333333333334,0.7,0.08666666666666667
