pattern,split_cond,median_cut,n_hi,n_lo,net_tp_sl_hi,net_tp_sl_lo,net_tp_sl_diff,net_eod_hi,net_eod_lo,spike_dump_hi,spike_dump_lo,spike_sustain_hi,spike_sustain_lo,n_spike,abs_net_diff
atr_pct_14,f_log_qv,22.856924929197067,15598,15597,-0.010821380138304634,-0.003848811578412058,-0.006972568559892575,-0.0037133986027517475,-0.001745787413103931,0.08317214700193423,0.11315280464216634,0.7998065764023211,0.7137330754352031,2068,0.006972568559892575
atr_pct_14,f_qv_rank,51.0,15761,15434,-0.004913870464495967,-0.009807845613246574,0.004893975148750607,-0.0008023513081772611,-0.00469773090059103,0.11486486486486487,0.08139534883720931,0.722007722007722,0.7916666666666666,2068,0.004893975148750607
atr_pct_14,f_qv_surge_30d,0.490443659552126,14428,14427,-0.009590748072370219,-0.004730851045362031,-0.0048598970270081875,-0.002197102888662659,-0.0024352973620382565,0.10957446808510639,0.08519701810436635,0.7510638297872341,0.7699680511182109,1879,0.0048598970270081875
atr_pct_14,f_pos_in_20d_range,0.29032258064515454,14862,14861,-0.009363274304045703,-0.00495066275770618,-0.004412611546339523,-0.004598638316573037,-0.0003834871572735422,0.0842754367934224,0.11213991769547325,0.7985611510791367,0.7170781893004116,1945,0.004412611546339523
atr_pct_14,f_qv_surge_7d,0.6195190623563264,15598,15597,-0.00891522450024937,-0.005755089429433794,-0.003160135070815577,-0.002040665370429683,-0.0034186278925396915,0.109284332688588,0.08704061895551257,0.7504835589941973,0.7630560928433269,2068,0.003160135070815577
atr_pct_14,f_rsi_14,43.64035087719271,15598,15597,-0.008836435757672362,-0.005833883223542674,-0.0030025525341296887,-0.004212636223106569,-0.001246517784182055,0.08800773694390715,0.10831721470019343,0.7901353965183753,0.723404255319149,2068,0.0030025525341296887
atr_pct_14,f_dist_from_20d_high,-0.2815249266862382,14862,14861,-0.008511889727990465,-0.005802104623619172,-0.002709785104371293,-0.004474753206185044,-0.0005073806039182069,0.09455292908530319,0.10185185185185185,0.7852004110996916,0.7304526748971193,1945,0.002709785104371293
atr_pct_14,f_ret_14d,-0.07905412443192089,15107,15107,-0.008578422594901986,-0.005876073301823814,-0.0027023492930781717,-0.003932179964628562,-0.0010529566707884455,0.0893574297188755,0.10954773869346733,0.7931726907630522,0.721608040201005,1991,0.0027023492930781717
atr_pct_14,f_rv_21d,0.06359772020182157,15350,15349,-0.008595915427979658,-0.006014195628349283,-0.0025817197996303746,-0.0035831071858396196,-0.0016823676218446504,0.11493123772102161,0.08153241650294696,0.7426326129666012,0.7730844793713163,2036,0.0025817197996303746
atr_pct_14,f_dist_from_60d_high,-0.3619696240866128,13359,13359,-0.008190127936161567,-0.00606727132556318,-0.002122856610598387,-0.002906285014166817,-0.0015087389963063874,0.10071090047393365,0.08896797153024912,0.7796208530805687,0.7473309608540926,1687,0.002122856610598387
atr_pct_14,f_atr_pct_14,0.12022015147015129,15598,15597,-0.008052364410378723,-0.006618004841487544,-0.0014343595688911795,-0.002250133778231801,-0.003209146054692833,0.11121856866537717,0.0851063829787234,0.7369439071566731,0.776595744680851,2068,0.0014343595688911795
atr_pct_14,f_bounce_off_7d_low,0.10960960960960797,15598,15597,-0.008007944782605808,-0.006662427317220182,-0.001345517465385626,-0.003778175845334125,-0.0016810060173355196,0.10735009671179883,0.08897485493230174,0.7456479690522244,0.7678916827852998,2068,0.001345517465385626
atr_pct_14,f_ret_3d,-0.02919708029197088,15598,15597,-0.006850982231566474,-0.00781946404679071,0.0009684818152242364,-0.004685016361880181,-0.0007741073588059702,0.10638297872340426,0.08994197292069632,0.7495164410058027,0.7640232108317214,2068,0.0009684818152242364
atr_pct_14,f_ret_7d,-0.060415767233146234,15535,15535,-0.0073321901429208745,-0.0073044880470784545,-2.7702095842420046e-05,-0.004512991676116531,-0.0008712928858305395,0.1000971817298348,0.0943579766536965,0.7648202137998056,0.7509727626459144,2057,2.7702095842420046e-05
bounce_7d_low,f_log_qv,23.676366509956686,9868,9867,-0.013261914964276688,-0.0049854170715691246,-0.008276497892707563,-0.005941976486447289,-0.0027132953111537886,0.12939841089670828,0.11363636363636363,0.7400681044267877,0.7454545454545455,1761,0.008276497892707563
bounce_7d_low,f_bounce_off_7d_low,0.2561576354679742,9868,9867,-0.012809259756222179,-0.005438118155290811,-0.0073711416009313675,-0.006886568618069244,-0.001768607447077023,0.1543700340522134,0.08863636363636364,0.7071509648127128,0.7784090909090909,1761,0.0073711416009313675
bounce_7d_low,f_rv_21d,0.05418048225636157,9791,9790,-0.01251056178874821,-0.005586755887934798,-0.0069238059008134125,-0.00739215715307923,-0.001032617218464283,0.14874141876430205,0.09621993127147767,0.7013729977116705,0.7823596792668958,1747,0.0069238059008134125
bounce_7d_low,f_qv_rank,35.0,10002,9733,-0.0058945340003793084,-0.012442469746312653,0.006547935745933345,-0.0010696108163593691,-0.007675871922140128,0.10432852386237514,0.13953488372093023,0.758046614872364,0.7267441860465116,1761,0.006547935745933345
bounce_7d_low,f_dist_from_20d_high,-0.11518754863813274,9634,9634,-0.006072500765387671,-0.01180491087471148,0.005732410109323809,0.00048546571379602833,-0.008692928681914312,0.11228070175438597,0.1323185011709602,0.7730994152046784,0.711943793911007,1709,0.005732410109323809
bounce_7d_low,f_atr_pct_14,0.09145802650957097,9868,9867,-0.011977011720476317,-0.00627045053765021,-0.0057065611828261064,-0.0072608866409508335,-0.001394251487839614,0.11577752553916004,0.12727272727272726,0.7412031782065834,0.7443181818181818,1761,0.0057065611828261064
bounce_7d_low,f_pos_in_20d_range,0.6939084724798646,9634,9634,-0.006423310424336603,-0.011454101215762546,0.005030790791425943,0.00040376371414710524,-0.00861122668226539,0.10526315789473684,0.13934426229508196,0.7777777777777778,0.7072599531615925,1709,0.005030790791425943
bounce_7d_low,f_dist_from_60d_high,-0.19104210671563465,9065,9065,-0.006550119069618526,-0.011062269503527669,0.0045121504339091425,0.001987969008360791,-0.009616663507845699,0.09709962168978563,0.13745271122320302,0.78562421185372,0.7061790668348046,1586,0.0045121504339091425
