cohort,challenger,metric,n_paired_dates,delta_challenger_minus_r1,ci95_lo,ci95_hi,p_delta_gt_zero,direction,bootstrap_draws,seed,stream_seed
d1_conservative_locked_180,veto_train_cal50,hit_rate,180,0.0018518518518518517,0.0,0.005555555555555556,0.626,higher_better,5000,42,15015807272333994651
d1_conservative_locked_180,veto_train_cal50,sl_first_rate,180,-0.0018518518518518521,-0.005555555555555556,0.0,0.0,lower_better,5000,42,7242338341968290757
d1_conservative_locked_180,veto_train_cal50,tp_first_rate,180,0.0018518518518518517,0.0,0.005555555555555556,0.6372,higher_better,5000,42,15957345473993580954
d1_conservative_locked_180,veto_train_cal50,mfe10_rate,180,-0.0018518518518518517,-0.005555555555555556,0.0,0.0,higher_better,5000,42,13677556133524984098
d1_conservative_locked_180,veto_train_cal50,dn5_rate,180,-0.0018518518518518521,-0.005555555555555556,0.0,0.0,lower_better,5000,42,15575780769151428609
d1_conservative_locked_180,veto_train_cal50,safe_up10_rate,180,0.0,0.0,0.0,0.0,higher_better,5000,42,10047787219610356049
d1_conservative_locked_180,veto_train_cal50,eod_deep_loss_rate,180,0.0,0.0,0.0,0.0,lower_better,5000,42,3475362181452726711
d1_conservative_locked_180,lexicographic_risk_first,net,180,0.009826683787501062,0.006837680412714578,0.012877720983726453,1.0,higher_better,5000,42,1935766954659133996
d1_conservative_locked_180,lexicographic_risk_first,hit_rate,180,0.18148148148148147,0.12407407407407409,0.2388888888888889,1.0,higher_better,5000,42,8253121885686955980
d1_conservative_locked_180,lexicographic_risk_first,sl_first_rate,180,-0.49629629629629635,-0.5444444444444444,-0.44629629629629636,0.0,lower_better,5000,42,3363082437476598944
d1_conservative_locked_180,lexicographic_risk_first,tp_first_rate,180,-0.12222222222222222,-0.15925925925925924,-0.08333333333333333,0.0,higher_better,5000,42,6227598706222724546
d1_conservative_locked_180,lexicographic_risk_first,mfe10_rate,180,-0.14814814814814814,-0.18333333333333332,-0.11296296296296297,0.0,higher_better,5000,42,6286114959903412445
d1_conservative_locked_180,lexicographic_risk_first,dn5_rate,180,-0.3333333333333333,-0.3777777777777777,-0.2907407407407407,0.0,lower_better,5000,42,7106982833733488929
d1_conservative_locked_180,lexicographic_risk_first,safe_up10_rate,180,-0.12037037037037036,-0.15185185185185182,-0.08888888888888889,0.0,higher_better,5000,42,16900791829319785391
d1_conservative_locked_180,lexicographic_risk_first,eod_deep_loss_rate,180,-0.1574074074074074,-0.19259259259259262,-0.1259259259259259,0.0,lower_better,5000,42,6861635602155883881
m15_common_complete_all,veto_within_day_top_third,net,419,0.001626574836972687,-1.750296589297883e-05,0.003334527085277782,0.9726,higher_better,5000,42,16883870300172577177
m15_common_complete_all,veto_within_day_top_third,hit_rate,419,0.027844073190135245,0.005568814638027049,0.0517104216388226,0.9922,higher_better,5000,42,4636513292396644943
m15_common_complete_all,veto_within_day_top_third,sl_first_rate,419,-0.05409705648369132,-0.07796340493237869,-0.029435163086714396,0.0,lower_better,5000,42,18414221654001233746
m15_common_complete_all,veto_within_day_top_third,tp_first_rate,419,-0.011137629276054096,-0.03261734287987271,0.010342084327764517,0.1492,higher_better,5000,42,5375482274377051937
m15_common_complete_all,veto_within_day_top_third,mfe10_rate,419,-0.025457438345266505,-0.04295942720763723,-0.007159904534606206,0.002,higher_better,5000,42,4844503232849119001
m15_common_complete_all,veto_within_day_top_third,dn5_rate,419,-0.049323786793953855,-0.06921241050119331,-0.029435163086714396,0.0,lower_better,5000,42,12104267348955485146
m15_common_complete_all,veto_within_day_top_third,safe_up10_rate,419,-0.02147971360381861,-0.03898170246618934,-0.0047732696897374695,0.0054,higher_better,5000,42,5147537031337362248
m15_common_complete_all,veto_within_day_top_third,eod_deep_loss_rate,419,-0.03579952267303103,-0.05330151153540175,-0.0182975338106603,0.0,lower_better,5000,42,14212677360248766536
m15_common_complete_all,veto_train_cal50,net,419,0.0004132431930447255,0.00012640683159462202,0.0007951047682237231,0.9986,higher_better,5000,42,13547122123144988737
m15_common_complete_all,veto_train_cal50,hit_rate,419,0.005568814638027048,0.0015910898965791566,0.011137629276054096,0.9972,higher_better,5000,42,6080867650740758910
m15_common_complete_all,veto_train_cal50,sl_first_rate,419,-0.005568814638027049,-0.010361972951471753,-0.0015910898965791566,0.0,lower_better,5000,42,8473092519337272881
m15_common_complete_all,veto_train_cal50,tp_first_rate,419,0.0047732696897374695,0.0007955449482895783,0.00954653937947494,0.9936,higher_better,5000,42,10759652989649726459
m15_common_complete_all,veto_train_cal50,mfe10_rate,419,-0.0007955449482895784,-0.002386634844868735,0.0,0.0,higher_better,5000,42,6015731773340032480
m15_common_complete_all,veto_train_cal50,dn5_rate,419,-0.003977724741447891,-0.00875099443118536,-0.0007955449482895783,0.0,lower_better,5000,42,8771204103642704552
m15_common_complete_all,veto_train_cal50,safe_up10_rate,419,-1.3248484780729792e-19,-0.002386634844868735,0.002386634844868735,0.3452,higher_better,5000,42,5471104327383348259
m15_common_complete_all,veto_train_cal50,eod_deep_loss_rate,419,-0.0007955449482895783,-0.002386634844868735,0.0,0.0,lower_better,5000,42,7422671233360440479
