regime,label,rule,n_train,pos_train,train_lift,n_oos,oos_prec,oos_base,oos_lift,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
bear_quiet,lab_pump15,f_bounce_off_7d_low > +0.07893 AND f_ret_3d > +0.08986 AND f_atr_xs_decile > +0.2513,1867,0.10069630423138726,4.386573723640762,1194,0.11222780569514237,0.028832292167227293,3.892434394193188,-0.003998345854443921,-7.659807761422131,1194,0.38107202680067004,0.1457286432160804,0.3936348408710218
bear_quiet,lab_pump15,f_bounce_off_7d_low <= +0.07893 AND f_atr_pct_14 > +0.1505,220,0.15454545454545454,6.732372505543236,315,0.06349206349206349,0.028832292167227293,2.202116402116402,-0.0069075875016533774,-8.519475813576124,315,0.3523809523809524,0.11746031746031746,0.35873015873015873
bear_quiet,lab_pump15,f_bounce_off_7d_low > +0.07893 AND f_ret_3d <= +0.08986 AND f_atr_xs_decile > +0.5049,5020,0.04203187250996016,1.8310096772165285,2939,0.05069751616195985,0.028832292167227293,1.7583588522173077,-0.004385620509120575,-5.17601529964568,2939,0.3946920721333787,0.09254848587955086,0.28445049336509015
bear_volatile,lab_pump15,f_bounce_off_7d_low <= +0.06312 AND f_atr_pct_14 > +0.09805 AND f_atr_pct_14 > +0.1234,1031,0.06983511154219205,1.6475135462322148,1104,0.10326086956521739,0.0441151595114855,2.3407116897839426,-0.006815598573372725,-2.596039795350278,1104,0.36594202898550726,0.11865942028985507,0.411231884057971
bear_volatile,lab_pump15,f_bounce_off_7d_low > +0.06312 AND f_atr_xs_decile > +0.4972 AND f_atr_pct_14 > +0.07058,4977,0.09041591320072333,2.133045090121325,6578,0.08178777743995136,0.0441151595114855,1.8539608231192657,-0.0070315823437580634,-6.560338879582892,6578,0.3470659775007601,0.1190331407722712,0.36424445120097293
bear_volatile,lab_pump15,f_bounce_off_7d_low > +0.06312 AND f_atr_xs_decile <= +0.4972 AND f_qv_surge_7d > +1.858,619,0.0791599353796446,1.8674999291443473,807,0.08178438661710037,0.0441151595114855,1.8538839601341028,-0.0032007805298111323,-2.7546456457395854,807,0.3828996282527881,0.12639405204460966,0.2936802973977695
bear_quiet,lab_pump20,f_bounce_off_7d_low > +0.08571 AND f_ret_3d > +0.08986 AND f_atr_xs_decile > +0.3858,1666,0.06782713085234093,6.129271351397701,1039,0.0712223291626564,0.015329168668909179,4.646196457288024,-0.005770445425037096,-8.127150155313599,1039,0.3599615014436959,0.15206929740134745,0.4292589027911453
bear_quiet,lab_pump20,f_bounce_off_7d_low > +0.08571 AND f_ret_3d <= +0.08986 AND f_rv_21d > +0.02283,7217,0.015796037134543438,1.427425819988519,3729,0.019844462322338427,0.015329168668909179,1.2945556768898516,-0.0036210990211185874,-4.781316142553005,3729,0.40547063555913115,0.08581389112362564,0.2585143470099222
bear_volatile,lab_pump20,f_rv_7d > +0.05513 AND f_qv_surge_30d > +2.008 AND f_bounce_off_7d_low > +0.3643,180,0.21666666666666667,9.186861861861862,233,0.15450643776824036,0.024391894177746204,6.334335359211396,-0.024918588422053356,-9.357338967598892,233,0.19313304721030042,0.15450643776824036,0.7811158798283262
bear_volatile,lab_pump20,f_rv_7d > +0.05513 AND f_qv_surge_30d > +2.008 AND f_bounce_off_7d_low <= +0.3643,506,0.08300395256916997,3.5194423672684545,749,0.08277703604806408,0.024391894177746204,3.3936288606722966,-0.0143533569636338,-9.161334986397595,749,0.2817089452603471,0.13885180240320427,0.562082777036048
bear_volatile,lab_pump20,f_rv_7d > +0.05513 AND f_qv_surge_30d <= +2.008 AND f_atr_pct_14 > +0.1271,1179,0.061068702290076333,2.589367993948146,1850,0.06432432432432432,0.024391894177746204,2.6371188664392546,-0.009271857210533195,-4.087568356941539,1850,0.3318918918918919,0.1372972972972973,0.4578378378378378
