decision,tp,fold,leaf,rule,root,sup_tr,sup_va,pos_tr_pct,pos_va_pct,base_va_pct,lift_va,gap_pp,recall_va_pct,fire_pct,net_mean_pct,net_median_pct,net_win_pct,net_p10_pct,net_cons_mean_pct,tp_hit_pct
10:00,0.15,3,3,range_pct <= +0.012 AND atr_pct_14 <= +0.089 AND log_ret_1d <= +0.003,range_pct,5742,2060,0.522466039707419,0.7281553398058253,1.176232001622389,0.6190575828590559,-0.20568930009840625,25.862068965517242,41.77651591969175,-0.336953831600347,-0.6155064271891884,42.0873786407767,-4.950494561900981,-0.6869538316003471,0.7281553398058253
10:00,0.15,3,4,range_pct <= +0.012 AND atr_pct_14 <= +0.089 AND log_ret_1d > +0.003,range_pct,3780,1201,1.3227513227513228,0.832639467110741,1.176232001622389,0.707887105572942,0.4901118556405817,17.24137931034483,24.356114378422227,0.29402272195419266,0.14732408325076066,51.37385512073273,-3.5358097908130217,-0.05597727804580742,0.832639467110741
10:00,0.15,3,7,range_pct <= +0.012 AND atr_pct_14 > +0.089 AND atr_rank > +0.549,range_pct,2613,571,3.8270187523918864,2.4518388791593697,1.176232001622389,2.0844857781266986,1.375179873232517,24.137931034482758,11.57980125735145,-0.10109544934501509,-0.32740981667651037,46.760070052539405,-5.78175394846217,-0.4510954493450152,2.4518388791593697
10:00,0.15,3,11,range_pct > +0.012 AND range_pct <= +0.030 AND ret_5d > -0.236,range_pct,3080,942,4.512987012987013,1.2738853503184715,1.176232001622389,1.083022183175928,3.239101662668542,20.689655172413794,19.103630095315353,-0.37668153874690935,-0.7168037975507355,45.22292993630573,-5.829855378791184,-0.7266815387469093,1.2738853503184715
10:00,0.15,3,13,range_pct > +0.012 AND range_pct > +0.030 AND ret_5d <= -0.120,range_pct,316,30,26.265822784810126,13.333333333333334,1.176232001622389,11.335632183908045,12.932489451476794,6.896551724137931,0.6083958629081322,-0.4098691617267074,-2.4401596602234124,43.333333333333336,-10.239059425903987,-0.7598691617267075,13.333333333333334
10:00,0.15,3,14,range_pct > +0.012 AND range_pct > +0.030 AND ret_5d > -0.120,range_pct,481,102,10.81081081081081,2.941176470588235,1.176232001622389,2.5005070993914806,7.869634340222575,5.172413793103448,2.0685459338876497,-1.2474667794608323,-1.3113647097877266,36.27450980392157,-6.515963734102474,-1.5974667794608317,2.941176470588235
10:00,0.15,4,3,max_bar_ret <= +0.015 AND atr_rank <= +0.527 AND max_bar_ret <= +0.009,max_bar_ret,4809,3177,0.4574755666458723,0.598048473402581,2.0163226116178588,0.2966035643089468,-0.14057290675670878,11.30952380952381,38.13010081613058,-0.05051595070956306,0.004162384378220271,50.0786905886056,-3.8099106836138783,-0.40051595070956303,0.598048473402581
10:00,0.15,4,4,max_bar_ret <= +0.015 AND atr_rank <= +0.527 AND max_bar_ret > +0.009,max_bar_ret,476,303,2.941176470588235,1.9801980198019802,2.0163226116178588,0.9820839226779822,0.960978450786255,3.571428571428571,3.6365818530964953,0.30989879832521694,0.382081377151794,57.0957095709571,-4.066475681181568,-0.040101201674783045,1.9801980198019802
10:00,0.15,4,6,max_bar_ret <= +0.015 AND atr_rank > +0.527 AND atr_pct_14 <= +0.110,max_bar_ret,4398,3478,2.0691223283310594,1.63887291546866,2.0163226116178588,0.8128029245050522,0.43024941286239937,33.92857142857143,41.742678828612576,0.055314546259661694,0.029239676854636708,50.25876940770557,-4.601846582736637,-0.29468545374033833,1.63887291546866
10:00,0.15,4,7,max_bar_ret <= +0.015 AND atr_rank > +0.527 AND atr_pct_14 > +0.110,max_bar_ret,1646,772,5.164034021871203,6.217616580310881,2.0163226116178588,3.083641746854182,-1.053582558439678,28.57142857142857,9.265482477196352,-0.6392780690859322,-1.0889878328337153,40.67357512953368,-6.399802776901231,-0.9892780690859323,6.217616580310881
10:00,0.15,4,10,max_bar_ret > +0.015 AND range_pct <= +0.030 AND atr_rank <= +0.866,max_bar_ret,602,240,3.820598006644518,2.5,2.0163226116178588,1.2398809523809526,1.3205980066445182,3.571428571428571,2.8804608737397985,-0.28003771714301157,-0.573586393525982,44.166666666666664,-5.538475184217711,-0.6300377171430116,2.5
10:00,0.15,4,11,max_bar_ret > +0.015 AND range_pct <= +0.030 AND atr_rank > +0.866,max_bar_ret,267,150,8.614232209737828,8.0,2.0163226116178588,3.967619047619048,0.6142322097378278,7.142857142857142,1.800288046087374,-0.3573505620967861,-0.3590156682713784,47.333333333333336,-6.848013435913359,-0.707350562096786,8.0
10:00,0.15,4,13,max_bar_ret > +0.015 AND range_pct > +0.030 AND ret_5d <= -0.118,max_bar_ret,200,78,35.5,7.6923076923076925,2.0163226116178588,3.8150183150183157,27.807692307692307,3.571428571428571,0.9361497839654345,-0.3941468117131356,-1.135540321657613,38.46153846153847,-7.4512345391713115,-0.7441468117131357,7.6923076923076925
10:00,0.15,4,14,max_bar_ret > +0.015 AND range_pct > +0.030 AND ret_5d > -0.118,max_bar_ret,308,134,10.714285714285714,10.44776119402985,2.0163226116178588,5.181592039800996,0.2665245202558633,8.333333333333332,1.6082573211713875,-1.131332821541333,-1.449098604226373,32.83582089552239,-8.951752049129217,-1.4813328215413326,10.44776119402985
10:00,0.15,5,3,atr_pct_14 <= +0.097 AND max_bar_ret <= +0.012 AND atr_pct_14 <= +0.043,atr_pct_14,1464,364,0.06830601092896176,0.5494505494505495,3.8242955245086434,0.14367366379750282,-0.4811445385215878,0.6191950464396285,4.309732417712526,-0.5246164228066651,-0.3879358302618428,37.637362637362635,-3.917733632345742,-0.8746164228066652,0.5494505494505495
10:00,0.15,5,4,atr_pct_14 <= +0.097 AND max_bar_ret <= +0.012 AND atr_pct_14 > +0.043,atr_pct_14,8814,4576,0.9643748581801679,1.6826923076923077,3.8242955245086434,0.4400005953798523,-0.7183174495121397,23.8390092879257,54.179493251243194,-0.5169311652995838,-0.71179775280899,40.66870629370629,-5.3016972669484685,-0.866931165299584,1.6826923076923077
10:00,0.15,5,6,atr_pct_14 <= +0.097 AND max_bar_ret > +0.012 AND max_bar_ret <= +0.025,atr_pct_14,804,472,2.1144278606965177,6.1440677966101696,3.8242955245086434,1.6065881303458047,-4.029639935913652,8.978328173374612,5.588444233956903,0.21327601804446714,-0.15,48.728813559322035,-5.201328502415459,-0.13672398195553292,6.1440677966101696
10:00,0.15,5,7,atr_pct_14 <= +0.097 AND max_bar_ret > +0.012 AND max_bar_ret > +0.025,atr_pct_14,200,223,7.000000000000001,18.385650224215247,3.8242955245086434,4.807591386802538,-11.385650224215246,12.693498452012383,2.640303102060147,1.714143467877393,-0.8256756756756798,43.946188340807176,-6.749568603607517,1.364143467877393,18.385650224215247
10:00,0.15,5,9,atr_pct_14 > +0.097 AND ret_5d <= -0.189,atr_pct_14,324,427,15.123456790123457,10.772833723653395,3.8242955245086434,2.816945932816612,4.350623066470062,14.241486068111456,5.05564764385508,0.4472979342145516,-0.3488862370723932,47.07259953161593,-8.012684014415736,0.09729793421455145,10.772833723653395
10:00,0.15,5,11,atr_pct_14 > +0.097 AND ret_5d > -0.189 AND atr_rank <= +0.885,atr_pct_14,272,1273,0.3676470588235294,4.241948153967007,3.8242955245086434,1.109210343913478,-3.874301095143477,16.718266253869967,15.072223537769357,-0.5983369152234955,-0.8694244604316501,39.04163393558523,-5.771866207292561,-0.9483369152234956,4.241948153967007
10:00,0.15,5,12,atr_pct_14 > +0.097 AND ret_5d > -0.189 AND atr_rank > +0.885,atr_pct_14,1147,1111,4.272013949433305,6.660666066606661,3.8242955245086434,1.741671380760367,-2.388652117173356,22.910216718266255,13.154155813402793,-0.35609458504524916,-0.7869426751592354,41.494149414941496,-7.09789081885856,-0.7060945850452492,6.660666066606661
