scope,fold,policy,n,dates,safe_fp_rate,path_dn5_rate,path_up10_rate,sl_first_rate,bracket_net_mean
discovery_oof,0,R1_repaired,99,33,0.010101010101010102,0.070707070707070704,0.010101010101010102,0.21212121212121213,-0.006432728740432719
discovery_oof,0,core_fp_head,99,33,0.14141414141414141,0.42424242424242425,0.15151515151515152,0.60606060606060608,-0.0058364192065030844
discovery_oof,0,liquidity_matched,99,33,0.050505050505050504,0.21212121212121213,0.050505050505050504,0.39393939393939392,0.0010367052429279499
discovery_oof,0,lowest_ATR,99,33,0,0.030303030303030304,0,0.12121212121212122,-0.0022397772670076505
discovery_oof,0,semivol_joint_head,99,33,0.13131313131313133,0.38383838383838381,0.14141414141414141,0.58585858585858586,-0.005132152082713508
discovery_oof,1,R1_repaired,102,34,0.10784313725490197,0.30392156862745096,0.11764705882352941,0.47058823529411764,-0.0086524634224019875
discovery_oof,1,core_fp_head,102,34,0.28431372549019607,0.52941176470588236,0.30392156862745096,0.60784313725490191,-0.0046491874322317026
discovery_oof,1,liquidity_matched,102,34,0.098039215686274508,0.21568627450980393,0.098039215686274508,0.47058823529411764,-0.0083877315930119874
discovery_oof,1,lowest_ATR,102,34,0.0098039215686274508,0.039215686274509803,0.0098039215686274508,0.11764705882352941,-0.00046816602174356892
discovery_oof,1,semivol_joint_head,102,34,0.26470588235294118,0.52941176470588236,0.28431372549019607,0.6470588235294118,-0.0070375384225566133
discovery_oof,2,R1_repaired,90,30,0.10000000000000001,0.34444444444444444,0.12222222222222222,0.5,-0.0011958678870274682
discovery_oof,2,core_fp_head,90,30,0.21111111111111111,0.52222222222222225,0.27777777777777779,0.57777777777777772,0.00039079083943378433
discovery_oof,2,liquidity_matched,90,30,0.055555555555555552,0.32222222222222224,0.055555555555555552,0.52222222222222225,-0.0066578910422869109
discovery_oof,2,lowest_ATR,90,30,0,0.044444444444444446,0,0.13333333333333333,-0.004344963890072202
discovery_oof,2,semivol_joint_head,90,30,0.21111111111111111,0.56666666666666665,0.24444444444444444,0.61111111111111116,-0.0020389092034980008
discovery_oof,3,R1_repaired,90,30,0.15555555555555556,0.28888888888888886,0.15555555555555556,0.5,-0.0005400739348531444
discovery_oof,3,core_fp_head,90,30,0.18888888888888888,0.58888888888888891,0.22222222222222221,0.64444444444444449,-0.0039614351170277956
discovery_oof,3,liquidity_matched,90,30,0.077777777777777779,0.28888888888888886,0.077777777777777779,0.51111111111111107,-0.0083495521433738264
discovery_oof,3,lowest_ATR,90,30,0.011111111111111112,0.055555555555555552,0.011111111111111112,0.20000000000000001,-0.0060625727299020628
discovery_oof,3,semivol_joint_head,90,30,0.18888888888888888,0.56666666666666665,0.23333333333333334,0.67777777777777781,-0.0073831749671141008
discovery_oof,4,R1_repaired,93,31,0.19354838709677419,0.29032258064516131,0.20430107526881722,0.4731182795698925,0.0009180021220142197
discovery_oof,4,core_fp_head,93,31,0.33333333333333331,0.45161290322580644,0.36559139784946237,0.4838709677419355,0.0054808225708184583
discovery_oof,4,liquidity_matched,93,31,0.096774193548387094,0.25806451612903225,0.10752688172043011,0.40860215053763443,-0.0040835777300464518
discovery_oof,4,lowest_ATR,93,31,0.010752688172043012,0,0.010752688172043012,0.064516129032258063,-0.0012722374653349573
discovery_oof,4,semivol_joint_head,93,31,0.25806451612903225,0.4731182795698925,0.27956989247311825,0.5053763440860215,0.0019944201346953701
locked_holdout,-1,R1_repaired,510,170,0.17058823529411765,0.31568627450980391,0.18431372549019609,0.47058823529411764,-0.00093668385362470207
locked_holdout,-1,core_fp_head,510,170,0.24313725490196078,0.57843137254901966,0.29803921568627451,0.57450980392156858,0.00062802543421679906
locked_holdout,-1,liquidity_matched,510,170,0.11372549019607843,0.34313725490196079,0.12941176470588237,0.48039215686274511,-0.003686658502788133
locked_holdout,-1,lowest_ATR,510,170,0.0058823529411764705,0.049019607843137254,0.0098039215686274508,0.16078431372549021,-0.0033607512212281481
locked_holdout,-1,semivol_joint_head,510,170,0.22352941176470589,0.57647058823529407,0.27843137254901962,0.57450980392156858,-0.00021569465464927939
