variant,ranking,K,n_feats,n,n_days,pct_sl,deep_loss_freq_noSL,net_mean,hit,precision_pump20,deep_loss_freq,net_median,cvar95,worst,mdd,cum,sharpe,sortino,pct_tp,pct_eod
BASE,R1_ratio,3,24,1531,765,0.4559111691704768,0.13455258001306336,-0.002843470284278759,0.3912475506205095,0.036577400391900716,0.0,-0.01408992805755399,-0.031499999999999986,-0.0315,-0.8716060817391548,-0.8640067909209826,-2.5025486594843245,-4.488529747246515,0.2194644023514043,0.3246244284781189
BREADTH,R1_ratio,3,32,1531,765,0.37883736120182887,0.10320052253429131,-0.002890621579249896,0.39777922926192033,0.028739386022207707,0.0,-0.007921730141219606,-0.031499999999999986,-0.0315,-0.8750628045816946,-0.8655111722186811,-2.6405424067250336,-4.896543640169565,0.16917047681254083,0.4519921619856303
LIQ,R1_ratio,3,29,1531,765,0.4402351404310908,0.13324624428478118,-0.0025437390923684906,0.39712606139777923,0.031352057478772045,0.0,-0.011984927916120545,-0.031499999999999986,-0.0315,-0.8495993358606936,-0.8406975249219633,-2.269938526824086,-4.010593326815644,0.21097322011757022,0.348791639451339
BREADTH_LIQ,R1_ratio,3,37,1531,765,0.36969301110385366,0.09470934030045722,-0.0024247837521867025,0.4114957544088831,0.02612671456564337,0.0,-0.006747095743302621,-0.031499999999999986,-0.0315,-0.8413590036309725,-0.8297218921634761,-2.1999858689124845,-4.0813595896874775,0.1698236446766819,0.4604833442194644
