n_rows,n_dates,base_up10,raw_auc,calibrated_auc,macro_within_date_auc,macro_within_date_auc_n,macro_within_vol_auc,within_vol_auc_json,calibrated_brier,mean_predicted_p,top_decile_up10,top_decile_n,score_atr_spearman,ndcg_at_3,top3_n,top3_dates,label_top3_up10_day_open,label_top3_safe_up10_day_open,label_top3_lift_vs_universe,label_top3_matched_vol_base_up10,top3_within_vol_lift,label_top3_mfe_mean_day_open,label_top3_mfe_atr_multiple,label_top3_dn5_day_open,label_top3_eod_net_mean_day_open,top3_up10,top3_safe_up10,top3_dn5,path_complete_n,path_complete_rate,path_full_days,path_full_day_picks,top3_mfe_mean_execution,top3_mae_mean_execution,path_net_mean,path_hit,path_pct_sl,path_pct_tp,path_tp5_before_sl3,path_cum,path_mdd,path_flat_filled_mean,variant,evaluation_scope,category
58100.0,581.0,0.07545611015490533,0.7335220160313257,0.7319039962742686,0.7114639108262559,561.0,0.7222782067345264,"{""0"": 0.7780092227897437, ""1"": 0.720026397693381, ""2"": 0.7388234241541631, ""3"": 0.7032473832175127, ""4"": 0.671284605817832}",0.06581623698081829,0.06789289883943933,0.1944922547332186,5810.0,0.5014509420710591,0.27104154156007615,1743,581,0.24096385542168675,0.13769363166953527,3.1934306569343063,0.10977279958194666,2.195114421235148,0.0794365845874655,0.8211063231427725,0.6069994262765347,-0.011536924033093369,0.25584795321637427,0.18421052631578946,0.5570175438596491,787.0,0.4515203671830178,228.0,684.0,0.07738877798818662,-0.06906509553725154,-0.004391587252219846,0.34210526315789475,0.6286549707602339,0.3201754385964912,0.3201754385964912,-0.6530849602424662,-0.6927965943581064,0.09941520467836257,cls_bvol,discovery_oof,model_trial
58100.0,581.0,0.07545611015490533,0.7259989072021386,0.7251707203653655,0.6941773798902812,561.0,0.724594773320886,"{""0"": 0.7774568014967491, ""1"": 0.7245567090454714, ""2"": 0.7427127350336369, ""3"": 0.705630579178538, ""4"": 0.6726170418500339}",0.0660966096825632,0.0681587232224927,0.18588640275387264,5810.0,0.3141032750067683,0.26937275981422765,1743,581,0.2438324727481354,0.14228341939185313,3.2314476885644767,0.09672718096972732,2.5208268276157826,0.0794195438111648,0.9262718266819784,0.5628227194492255,-0.010362773973810298,0.23976608187134502,0.1695906432748538,0.5307017543859649,792.0,0.45438898450946646,228.0,684.0,0.07621252349488514,-0.06693269027438235,-0.004246991309989568,0.34210526315789475,0.6169590643274854,0.31432748538011696,0.31432748538011696,-0.6403051791744551,-0.6760555364147256,0.22953216374269006,cls_bvol_volbalanced,discovery_oof,model_trial
58100.0,581.0,0.07545611015490533,0.7326394682930992,0.7308537584358233,0.7091542701013664,561.0,0.7211462519741085,"{""0"": 0.7758977547562151, ""1"": 0.7154530221165232, ""2"": 0.739794939067182, ""3"": 0.7058075926728433, ""4"": 0.6687779512577791}",0.06581648818863746,0.06816456420287574,0.19294320137693632,5810.0,0.5026390910062011,0.2781648215005086,1743,581,0.24612736660929432,0.1399885255306942,3.2618613138686126,0.11031069870308761,2.231219360433669,0.08221740379975306,0.8560010782486738,0.6052782558806655,-0.010026439502070965,0.26169590643274854,0.18421052631578946,0.564327485380117,786.0,0.4509466437177281,228.0,684.0,0.0788374041581796,-0.06898296623552048,-0.00405677122362516,0.347953216374269,0.6213450292397661,0.3201754385964912,0.3201754385964912,-0.6267492044545796,-0.6461553015758061,0.06871345029239766,cls_core,discovery_oof,model_trial
58100.0,581.0,0.07545611015490533,0.7263193696314709,0.7263193696314709,0.701579194819896,561.0,0.7148638362490907,"{""0"": 0.7719444147120453, ""1"": 0.7127740214951357, ""2"": 0.7341163091681241, ""3"": 0.7015390848779498, ""4"": 0.6539453509921982}",0.06694760162589175,0.06972007519498762,0.17158491303498144,10234.0,0.5021687468653072,0.21533047444031256,1743,581,0.2002294893861159,0.13941480206540446,2.653588807785888,0.10398324256036671,1.9255938212339756,0.06939900727946492,0.7285241373911683,0.5157773952954676,-0.006502354202800986,0.21198830409356725,0.17251461988304093,0.4766081871345029,791.0,0.4538152610441767,228.0,684.0,0.06561840812093785,-0.05873731175744992,-0.005299367539364424,0.3347953216374269,0.6067251461988304,0.2821637426900585,0.2821637426900585,-0.7177428431245589,-0.7261996346678867,0.2222222222222222,legacy_core_in_sample_bucket,discovery_oof,legacy_reference
58100.0,581.0,0.07545611015490533,0.7170762073975975,0.7104527361357896,0.720699168080727,561.0,0.7005981570381381,"{""0"": 0.7474937592028458, ""1"": 0.7099189310332077, ""2"": 0.7140768272259227, ""3"": 0.6816699729079417, ""4"": 0.649831294820773}",0.06647469467745183,0.07271344587423925,0.1927710843373494,5810.0,0.5903993315831754,0.2721829476797611,1743,581,0.24842226047045324,0.1474469305794607,3.292274939172749,0.10741314395445875,2.312773384380033,0.08274001249314578,0.8670362406319513,0.591508892713712,-0.00967162147057675,0.2573099415204678,0.17982456140350878,0.5687134502923976,787.0,0.4515203671830178,228.0,684.0,0.07920391678245993,-0.06978975869520535,-0.00483653494032096,0.33187134502923976,0.6345029239766082,0.3128654970760234,0.3128654970760234,-0.6866592018365612,-0.6918649803664539,0.09502923976608187,rank_bvol,discovery_oof,model_trial
58100.0,581.0,0.07545611015490533,0.7162191935499651,0.7083118109204233,0.7192812891914786,561.0,0.700198065619294,"{""0"": 0.7591447171406547, ""1"": 0.7079019019506516, ""2"": 0.7089711960519021, ""3"": 0.6767375505344307, ""4"": 0.6482349624188309}",0.06660131213820682,0.07263555446564651,0.1882960413080895,5810.0,0.5778768439149563,0.2669903112142553,1743,581,0.23866896156052783,0.1457257601835915,3.16301703163017,0.10732598348521882,2.223776142646742,0.08053033605482293,0.8388705054985024,0.5926563396442914,-0.011036186484469397,0.25146198830409355,0.17982456140350878,0.5511695906432749,788.0,0.4520940906483075,228.0,684.0,0.07944720036304587,-0.0686887544927444,-0.004649193882374958,0.3362573099415205,0.6271929824561403,0.31432748538011696,0.31432748538011696,-0.6739961827475587,-0.6842969781103536,0.1154970760233918,rank_core,discovery_oof,model_trial
58100.0,581.0,0.07545611015490533,0.7162467020387842,0.711185556247972,0.7113962691152925,561.0,0.7066462223147628,"{""0"": 0.7611467432199106, ""1"": 0.7116463475675252, ""2"": 0.7184193832879204, ""3"": 0.6874756093557953, ""4"": 0.6545430281426629}",0.06649984173129633,0.07319994428217366,0.19397590361445782,5810.0,0.394145426457147,0.26432470289997856,1743,581,0.23580034423407917,0.13367756741250716,3.1249999999999996,0.10266308203645179,2.296836794266077,0.0806180790047153,0.8765415551746499,0.5938037865748709,-0.010419098806567202,0.2573099415204678,0.17982456140350878,0.5628654970760234,789.0,0.45266781411359724,228.0,684.0,0.0806312149825576,-0.06898243652754849,-0.005252357240860071,0.32894736842105265,0.6374269005847953,0.3055555555555556,0.3055555555555556,-0.714793148235919,-0.7273434037045678,0.07894736842105263,rank_novol_bvol,discovery_oof,model_trial
,,,,,,,,,,,,,,,1743,581,0.0699942627653471,0.06196213425129088,0.9276155717761556,0.07515037054306786,0.9313894563598213,0.039964322278140514,0.503482745194066,0.26161790017211706,-0.0022721295538007365,0.07017543859649122,0.06140350877192982,0.22953216374269006,801.0,0.459552495697074,228.0,684.0,0.038567530697809126,-0.036161682734167436,-0.003424015308668551,0.40058479532163743,0.4415204678362573,0.18567251461988304,0.18567251461988304,-0.5670916379498305,-0.5795456661852583,0.8742690058479532,random_seed42,discovery_oof,baseline
,,,,,,,,,,,,,,,1743,581,0.1457257601835915,0.11359724612736662,1.931265206812652,0.1179807760658378,1.235165295931525,0.05524727469089235,0.35512793942485393,0.4434882386689616,-0.005416223844733689,0.15058479532163743,0.1286549707602339,0.3845029239766082,770.0,0.44176706827309237,228.0,684.0,0.052702525862260936,-0.04997438293213883,-0.003957955430237275,0.36403508771929827,0.5584795321637427,0.27923976608187134,0.27923976608187134,-0.6197026989486794,-0.6180921746730299,0.2909356725146199,atr_top3,discovery_oof,baseline
,,,,,,,,,,,,,,,1743,581,0.08835341365461848,0.047619047619047616,1.1709245742092456,0.06156325184983004,1.435164826415231,0.04032556753994252,0.6172122636422916,0.27309236947791166,-0.007746922054827366,0.04532163742690058,0.02046783625730994,0.19005847953216373,1032.0,0.5920826161790017,228.0,684.0,0.029055014357637545,-0.03346109486432151,-0.002638423540372793,0.402046783625731,0.29239766081871343,0.12134502923976608,0.12134502923976608,-0.4782388357761397,-0.5233885582959593,0.0,liquidity_top3,discovery_oof,baseline
