n,n_days,top3_coverage,avg_picks_per_day,replacement_rate_vs_r1,candidate_veto_rate,fallback_pick_rate,net_mean,daily_net_mean,hit_rate,sl_first_rate,tp_first_rate,mfe10_rate,mfe20_rate,dn5_rate,safe_up10_rate,eod_deep_loss_rate,mfe_mean,mae_mean,cvar95,cum_net,max_drawdown,sharpe_sqrt365,cohort,policy,fold
399,133,1.0,3.0,0.0,0.0,0.0,-0.006315878062373356,-0.006315878062373356,0.3533834586466165,0.49122807017543857,0.17293233082706766,0.07017543859649122,0.012531328320802004,0.2506265664160401,0.06766917293233082,0.11528822055137844,0.03907985563090749,-0.03678263260343682,-0.03149999999999999,-0.5863385972904671,-0.6033867289094441,-4.904883352679275,d1_conservative_all_oos,R1_baseline,0
399,133,1.0,3.0,0.2807017543859649,0.33,0.0,-0.005784756391897979,-0.005784756391897979,0.3583959899749373,0.43609022556390975,0.15037593984962405,0.06015037593984962,0.010025062656641603,0.20300751879699247,0.05764411027568922,0.10025062656641603,0.03492689465472813,-0.03377247774875584,-0.03149999999999999,-0.5553064737645357,-0.5736335251058294,-4.562154600807422,d1_conservative_all_oos,veto_within_day_top_third,0
399,133,1.0,3.0,0.03759398496240607,0.05984962406015038,0.0,-0.006217193851847039,-0.006217193851847039,0.3558897243107769,0.48872180451127817,0.17293233082706766,0.06516290726817042,0.012531328320802004,0.24812030075187969,0.06516290726817042,0.11779448621553884,0.038370022321752593,-0.03667230840176574,-0.03149999999999999,-0.5807061876182502,-0.5979864464330328,-4.8475212900820095,d1_conservative_all_oos,veto_train_cal50,0
399,133,1.0,3.0,0.6616541353383458,0.0,0.0,-0.004131170804066868,-0.004131170804066869,0.41102756892230574,0.24561403508771928,0.06015037593984962,0.010025062656641603,0.002506265664160401,0.08020050125313283,0.010025062656641603,0.040100250626566414,0.01936671838643994,-0.022392951679855916,-0.03149999999999999,-0.43605147048308335,-0.44269408119032494,-4.310881954135251,d1_conservative_all_oos,lexicographic_risk_first,0
402,134,1.0,3.0,0.0,0.0,0.0,-0.0024060398113543986,-0.0024060398113543964,0.41044776119402987,0.5174129353233831,0.23134328358208955,0.13930348258706468,0.03233830845771144,0.2960199004975124,0.12437810945273632,0.12935323383084577,0.05691872360462437,-0.04277271193074911,-0.03149999999999999,-0.3079023547707114,-0.5226977864215981,-1.7627804563735647,d1_conservative_all_oos,R1_baseline,1
402,134,1.0,3.0,0.22885572139303478,0.33,0.0,-0.00011672531950232228,-0.0001167253195023213,0.44776119402985076,0.4651741293532338,0.23383084577114427,0.11442786069651742,0.02736318407960199,0.27860696517412936,0.09701492537313433,0.12189054726368159,0.05246288182943914,-0.03905244350369201,-0.03149999999999999,-0.062452139389251204,-0.41885792062425864,-0.08219347824542467,d1_conservative_all_oos,veto_within_day_top_third,1
402,134,1.0,3.0,0.08208955223880599,0.23261194029850746,0.0,-0.001737389982073204,-0.0017373899820732027,0.417910447761194,0.5024875621890548,0.23383084577114427,0.1318407960199005,0.029850746268656716,0.2835820895522388,0.11940298507462686,0.11691542288557213,0.054805538101439955,-0.04096909920505447,-0.03149999999999999,-0.2415887857019018,-0.4727370051444277,-1.2973981254587728,d1_conservative_all_oos,veto_train_cal50,1
402,134,1.0,3.0,0.8009950248756219,0.0,0.0,0.0018844915041216093,0.0018844915041216095,0.5124378109452736,0.236318407960199,0.11442786069651742,0.029850746268656716,0.007462686567164179,0.08208955223880597,0.02736318407960199,0.03482587064676617,0.028859803243412783,-0.022938728334697706,-0.03149999999999999,0.2522412461260448,-0.20941471258911387,1.7705144220884077,d1_conservative_all_oos,lexicographic_risk_first,1
399,133,1.0,3.0,0.0,0.0,0.0,-0.006869542705135368,-0.006869542705135368,0.3283208020050125,0.5939849624060151,0.23308270676691728,0.17293233082706766,0.05764411027568922,0.3483709273182957,0.15789473684210525,0.17794486215538846,0.0605545983683857,-0.04705924025734297,-0.03149999999999999,-0.6125819031539472,-0.6066271413953439,-6.029444194997341,d1_conservative_all_oos,R1_baseline,2
399,133,1.0,3.0,0.3308270676691729,0.33,0.0,-0.006182524436369792,-0.006182524436369792,0.3358395989974937,0.5588972431077694,0.22556390977443608,0.13533834586466165,0.042606516290726815,0.3308270676691729,0.11779448621553884,0.17543859649122806,0.05363704125711879,-0.04358678664558659,-0.03149999999999999,-0.5768440043198986,-0.57033993762422,-5.121539187290761,d1_conservative_all_oos,veto_within_day_top_third,2
