set_name,filter_q,n_hold,exit,fill,vfamily,n,n_blocks,n_entry_days,avg_hold_days,net_mean,net_median,hit,deep_loss_freq,worst,cvar95,mdd,cum,sharpe_block,sortino_block,sharpe_nom,sortino_nom,pct_tp,pct_sl,pct_gap_exit,excess_mkt_mean,excess_mkt_pos_frac,btc_window_mean
C3_filt_q0.6,0.6,1,bracket_tp0.08_sl0.05,gap,bracket,2400,800,800,1.0,-0.0012106316896731938,-0.003765567611741959,0.45375,0.2,-0.051500000000000004,-0.0515,-0.8047507193493975,-0.7394870518930361,-0.7534595013794516,-1.4012568910474354,-0.7534595013794512,-1.4012568910474352,0.09791666666666667,0.2,0.0,-0.0023699896668917123,0.39,7.519954938819304e-05
C3_filt_q0.6,0.6,1,bracket_tp0.08_sl0.05,opt,bracket,2400,800,800,1.0,-0.0012106316896731938,-0.003765567611741959,0.45375,0.2,-0.051500000000000004,-0.0515,-0.8047507193493975,-0.7394870518930361,-0.7534595013794516,-1.4012568910474354,-0.7534595013794512,-1.4012568910474352,0.09791666666666667,0.2,0.0,-0.0023699896668917123,0.39,7.519954938819304e-05
C3_filt_q0.6,0.6,1,bracket_tp0.12_sl0.05,gap,bracket,2400,800,800,1.0,-0.0005926076958541542,-0.003968329296082261,0.4504166666666667,0.2,-0.051500000000000004,-0.0515,-0.75624789077276,-0.593824717247516,-0.3449628463880449,-0.6918906753138903,-0.34496284638804475,-0.6918906753138898,0.049166666666666664,0.2,0.0,-0.001751965673072673,0.38958333333333334,7.519954938819304e-05
C3_filt_q0.6,0.6,1,bracket_tp0.12_sl0.05,opt,bracket,2400,800,800,1.0,-0.0005926076958541542,-0.003968329296082261,0.4504166666666667,0.2,-0.051500000000000004,-0.0515,-0.75624789077276,-0.593824717247516,-0.3449628463880449,-0.6918906753138903,-0.34496284638804475,-0.6918906753138898,0.049166666666666664,0.2,0.0,-0.001751965673072673,0.38958333333333334,7.519954938819304e-05
C3_filt_q0.6,0.6,1,holdN,opt,holdN,2400,800,800,1.0,-7.751104925010799e-05,-0.001927829134323765,0.46708333333333335,0.08875,-0.1896586510825829,-0.09150489449715095,-0.7503855496864263,-0.4419299505197104,-0.04093032164957006,-0.06442067972318245,-0.040930321649569994,-0.06442067972318233,0.0,0.0,0.0,-0.001236869026468627,0.3883333333333333,7.519954938819304e-05
C3_filt_q0.6,0.6,1,trail_dd0.08,gap,trail,2400,800,800,1.0,-0.0006908510310579513,-0.0023383388350234333,0.46375,0.10458333333333333,-0.08150000000000007,-0.08149999999999995,-0.7374435550338662,-0.652464218863172,-0.36997553319257775,-0.631107266092529,-0.36997553319257764,-0.6311072660925289,0.0,0.0,0.0,-0.0018502090082764702,0.3879166666666667,7.519954938819304e-05
C3_filt_q0.6,0.6,1,trail_dd0.08,opt,trail,2400,800,800,1.0,-0.0006908510310579513,-0.0023383388350234333,0.46375,0.10458333333333333,-0.08150000000000007,-0.08149999999999995,-0.7374435550338662,-0.652464218863172,-0.36997553319257775,-0.631107266092529,-0.36997553319257764,-0.6311072660925289,0.0,0.0,0.0,-0.0018502090082764702,0.3879166666666667,7.519954938819304e-05
C3_filt_q0.6,0.6,2,bracket_tp0.08_sl0.05,gap,bracket,2400,400,800,1.7020833333333334,-0.002052148055494715,-0.010662144110831327,0.42791666666666667,0.33666666666666667,-0.051500000000000004,-0.0515,-0.8959880416999128,-0.889483749555964,-0.9053674517192587,-1.754637779659627,-1.0462592987159705,-2.2204327525483345,0.175,0.33666666666666667,0.0,-0.0044506703402056895,0.4066666666666667,0.00017472949541669095
C3_filt_q0.6,0.6,2,bracket_tp0.08_sl0.05,opt,bracket,2400,400,800,1.7020833333333334,-0.002052148055494715,-0.010662144110831327,0.42791666666666667,0.33666666666666667,-0.051500000000000004,-0.0515,-0.8959880416999128,-0.889483749555964,-0.9053674517192587,-1.754637779659627,-1.0462592987159705,-2.2204327525483345,0.175,0.33666666666666667,0.0,-0.0044506703402056895,0.4066666666666667,0.00017472949541669095
C3_filt_q0.6,0.6,2,bracket_tp0.12_sl0.05,gap,bracket,2400,400,800,1.7508333333333332,-0.001546559466416003,-0.012239917976759994,0.41125,0.3425,-0.051500000000000004,-0.0515,-0.8781599509485117,-0.8528124518994544,-0.6131894014115301,-1.302344742253026,-0.7126598976381527,-1.7506079336639682,0.09291666666666666,0.3425,0.0,-0.003945081751126977,0.395,0.00017472949541669095
C3_filt_q0.6,0.6,2,bracket_tp0.12_sl0.05,opt,bracket,2400,400,800,1.7508333333333332,-0.001546559466416003,-0.012239917976759994,0.41125,0.3425,-0.051500000000000004,-0.0515,-0.8781599509485117,-0.8528124518994544,-0.6131894014115301,-1.302344742253026,-0.7126598976381527,-1.7506079336639682,0.09291666666666666,0.3425,0.0,-0.003945081751126977,0.395,0.00017472949541669095
C3_filt_q0.6,0.6,2,holdN,opt,holdN,2400,400,800,2.0,-0.00039199728762428387,-0.005973467428247224,0.44708333333333333,0.1675,-0.2770517826825128,-0.12878198084246326,-0.9452775002602959,-0.797246064079657,-0.11239086802559836,-0.1963987204091968,-0.12931859641734464,-0.22759247941829244,0.0,0.0,0.0,-0.0027905195723352577,0.3720833333333333,0.00017472949541669095
