scope,head,trained_target,evaluation_label,n,dates,base_rate,raw_auc,probability_auc,daily_macro_auc,within_vol_auc,brier,mean_probability,score_atr_spearman
discovery_oof,fp_fixed_head,label_fp_safe10,label_fp_safe10,16702,168,0.06771644114477308,0.7021591749290677,0.6689037312953567,0.7101394461014776,0.673365864044486,0.06158724786138086,0.06730421367058732,0.4891402557719236
discovery_oof,fp_atr_head,label_fp_atr,label_fp_atr,16702,168,0.02903843851035804,0.7230238854606563,0.6525284336342988,0.6990828874370799,0.7230827074076185,0.02821203408261403,0.03773540914129657,-0.4704075222054212
discovery_oof,fp_atr_head,label_fp_atr,label_fp_safe10,16702,168,0.06771644114477308,0.543366993926057,0.501946362348879,0.5754704527078075,0.5952186027517078,0.06474190440019588,0.03773540914129657,-0.4704075222054212
locked_holdout,fp_fixed_head,label_fp_safe10,label_fp_safe10,17839,180,0.08638376590616066,0.6972553652530509,0.6957209967279598,0.7104203628115203,0.6701746236843275,0.07598616901233846,0.08151777003784469,0.6178997525891401
