head,regime,liq,topK_pct,n_sub,base_rate_pct,n_top,precision_pct,lift,active_days,total_days,active_pct_of_period,avg_fail_eod_pct,worst5_fail_eod_pct
h1_stable_3_4h,all,all,0.1,105656,6.296850155220716,105,1.9047619047619049,0.3024943992327128,4,780,0.5128205128205128,-4.105599701353165,-9.407283308667386
h1_stable_3_4h,all,all,0.5,105656,6.296850155220716,528,10.984848484848484,1.7444989501204742,35,780,4.487179487179487,-0.08074012597273328,-7.895905072630582
h1_stable_3_4h,all,all,1.0,105656,6.296850155220716,1056,12.405303030303031,1.9700807109119147,132,780,16.923076923076923,0.2607239705527932,-7.51552244508118
h1_stable_3_4h,all,all,2.0,105656,6.296850155220716,2113,12.16280170373876,1.9315691820385126,283,780,36.28205128205128,-0.14723209360615852,-7.52661413937491
h1_stable_3_4h,all,top100,0.1,78000,7.012820512820513,78,3.8461538461538463,0.5484460694698355,5,780,0.641025641025641,-4.7306332590628015,-9.665225575218958
h1_stable_3_4h,all,top100,0.5,78000,7.012820512820513,390,13.58974358974359,1.9378427787934185,42,780,5.384615384615385,-0.3467874920816911,-8.283615819209041
h1_stable_3_4h,all,top100,1.0,78000,7.012820512820513,780,13.846153846153847,1.974405850091408,128,780,16.41025641025641,0.0182897060543965,-7.923503924646785
h1_stable_3_4h,all,top100,2.0,78000,7.012820512820513,1560,12.94871794871795,1.8464351005484463,254,780,32.56410256410256,-0.3559893956569525,-7.921167974882265
h1_stable_3_4h,all,top50,0.1,39000,7.7384615384615385,39,0.0,0.0,4,780,0.5128205128205128,-4.480033734251002,-9.67284483550396
h1_stable_3_4h,all,top50,0.5,39000,7.7384615384615385,195,15.897435897435896,2.054340622929092,41,780,5.256410256410256,-0.5881006229132717,-8.724148860026942
h1_stable_3_4h,all,top50,1.0,39000,7.7384615384615385,390,14.615384615384617,1.8886679920477139,109,780,13.974358974358974,-0.33057206483759793,-8.814943310874924
h1_stable_3_4h,all,top50,2.0,39000,7.7384615384615385,780,13.461538461538462,1.739562624254473,206,780,26.410256410256412,-0.5827624459564769,-8.35381941355414
h1_stable_3_4h,bull_all,all,0.1,89170,6.062577099921499,89,2.247191011235955,0.3706659683165189,4,648,0.6172839506172839,-4.509013778266104,-9.616862573513798
h1_stable_3_4h,bull_all,all,0.5,89170,6.062577099921499,445,12.359550561797752,2.038662825740854,25,648,3.8580246913580245,-0.7298048865381134,-7.971446316464059
