evaluation_scope,candidate,baseline,metric,n_common_days,n_picks_each,candidate_mean,baseline_mean,delta_candidate_minus_baseline,ci95_low,ci95_high,bootstrap_draws,seed
locked_holdout,cls_core,random_seed42,safe_up10,170,510,0.16274509803921566,0.06470588235294118,0.0980392156862745,0.06078431372549019,0.13529411764705881,2000,42
locked_holdout,cls_core,random_seed42,up10,170,510,0.307843137254902,0.07450980392156863,0.2333333333333333,0.1881862745098039,0.27647058823529413,2000,42
locked_holdout,cls_core,random_seed42,dn5,170,510,0.680392156862745,0.24509803921568626,0.43529411764705883,0.37843137254901965,0.4901960784313726,2000,42
locked_holdout,cls_core,random_seed42,tp5_before_sl3,170,510,0.34705882352941175,0.1784313725490196,0.16862745098039214,0.11372549019607843,0.22161764705882328,2000,42
locked_holdout,cls_core,random_seed42,net,170,510,-0.0031767110490270056,-0.004568540248598487,0.0013918291995714826,-0.0029083241709037784,0.005804883190893035,2000,42
locked_holdout,cls_core,atr_top3,safe_up10,170,510,0.16274509803921566,0.1764705882352941,-0.01372549019607843,-0.06078431372549019,0.03137254901960785,2000,42
locked_holdout,cls_core,atr_top3,up10,170,510,0.307843137254902,0.2235294117647059,0.08431372549019607,0.03333333333333333,0.13529411764705881,2000,42
locked_holdout,cls_core,atr_top3,dn5,170,510,0.680392156862745,0.4117647058823529,0.2686274509803922,0.21764705882352942,0.31960784313725493,2000,42
locked_holdout,cls_core,atr_top3,tp5_before_sl3,170,510,0.34705882352941175,0.3254901960784313,0.02156862745098038,-0.037254901960784306,0.07455882352941151,2000,42
locked_holdout,cls_core,atr_top3,net,170,510,-0.0031767110490270056,-0.0011672390299999505,-0.0020094720190270542,-0.006681825279314712,0.002299171268119228,2000,42
