feature,market,date,first,touched_tp,touched_sl,both_touched,tp_bar,sl_bar,ambiguous_bar,intraday_max,intraday_min,eod_ret,n_bars,net_hard_sl_path,net_tp_eod_noSL,net_timestop_4h,net_eod_tpcap,net_trailing_3pct
f_qv_surge_7d,KRW-BTC,2024-07-05,sl,False,True,False,,19.0,,0.010577864838393625,-0.05319539666993145,-0.006880509304603377,96,-0.051500000000000004,-0.008380509304603377,-0.03674730656219388,-0.008380509304603377,-0.051500000000000004
f_qv_surge_7d,KRW-BTC,2024-07-06,none,False,False,False,,,,0.02569096871224641,-0.014546709731502294,0.021055745950343985,96,0.019555745950343983,0.019555745950343983,-0.008095330259621778,0.019555745950343983,0.019555745950343983
f_qv_surge_7d,KRW-BTC,2024-07-05,sl,False,True,False,,19.0,,0.010577864838393625,-0.05319539666993145,-0.006880509304603377,96,-0.051500000000000004,-0.008380509304603377,-0.03674730656219388,-0.008380509304603377,-0.051500000000000004
f_qv_surge_7d,KRW-BTC,2024-07-06,none,False,False,False,,,,0.02569096871224641,-0.014546709731502294,0.021055745950343985,96,0.019555745950343983,0.019555745950343983,-0.008095330259621778,0.019555745950343983,0.019555745950343983
f_qv_surge_7d,KRW-AERGO,2026-01-02,tp,True,False,False,2.0,,,0.10624315443592547,-0.010952902519167584,0.03066812705366928,96,0.0985,0.0985,0.0985,0.0985,0.055619386637458856
f_qv_surge_7d,KRW-AERO,2026-01-02,tp,True,False,False,74.0,,,0.26647144948755486,-0.008784773060029227,0.2005856515373352,90,0.0985,0.0985,0.004356515373352745,0.0985,0.02104758418740854
f_qv_surge_7d,KRW-ALT,2026-01-02,none,False,False,False,,,,0.03314917127071815,-0.011049723756906271,0.016574585635358963,85,0.015074585635358963,0.015074585635358963,0.020599447513812097,0.015074585635358963,0.0006546961325966673
f_qv_surge_7d,KRW-AQT,2026-01-02,none,False,False,False,,,,0.07476635514018692,-0.014018691588784993,0.014018691588784993,93,0.012518691588784993,0.012518691588784993,-0.0015,0.012518691588784993,-0.000904205607476559
f_qv_surge_7d,KRW-ARDR,2026-01-02,none,False,False,False,,,,0.052693208430913296,-0.004683840749414636,0.017564402810304358,95,0.016064402810304357,0.016064402810304357,0.013722482435597096,0.016064402810304357,0.010525761124121681
f_qv_surge_7d,KRW-BEAM,2026-01-02,tp,True,False,False,47.0,,,0.10123456790123453,-0.00987654320987652,0.06172839506172845,93,0.0985,0.0985,0.01825308641975304,0.0985,0.0985
f_qv_surge_7d,KRW-EGLD,2026-01-02,none,False,False,False,,,,0.019186046511627808,-0.025581395348837188,0.018023255813953476,96,0.016523255813953475,0.016523255813953475,-0.006732558139534937,0.016523255813953475,0.016523255813953475
f_qv_surge_7d,KRW-FIL,2026-01-02,none,False,False,False,,,,0.016256386437529136,-0.04319554110543433,0.007895959126799745,96,0.006395959126799746,0.006395959126799746,0.002215745471435161,0.006395959126799746,0.006395959126799746
f_qv_surge_7d,KRW-IOST,2026-01-02,none,False,False,False,,,,0.025830258302582898,-0.040590405904059046,-0.0073800738007380184,96,-0.008880073800738018,-0.008880073800738018,-0.03471033210332103,-0.008880073800738018,-0.008880073800738018
f_qv_surge_7d,KRW-IP,2026-01-02,tp,True,False,False,8.0,,,0.15977575332866145,-0.03714085494043451,0.06937631394533983,96,0.0985,0.0985,0.0985,0.0985,0.014382971268395219
f_qv_surge_7d,KRW-LA,2026-01-02,none,False,False,False,,,,0.03470715835141003,-0.049891540130151846,0.010845986984815648,96,0.009345986984815648,0.009345986984815648,-0.03186876355748375,0.009345986984815648,0.0021659436008676937
f_qv_surge_7d,KRW-PEPE,2026-01-02,tp,True,False,False,50.0,,,0.24649859943977592,-0.023809523809523836,0.21288515406162456,96,0.0985,0.0985,0.034914565826330624,0.0985,0.005180672268907673
