score,label,regime,K,n_days,n_picks,precision_at_k,base_rate,lift,recall,pumps_caught,total_pumps
cal_composite,lab_pump20,ALL,1,800,800,0.07875,0.021450192453817313,3.6712957317073167,0.036585365853658534,63,1722
cal_composite,lab_pump20,ALL,2,800,1600,0.0825,0.021450192453817313,3.846119337979094,0.07665505226480836,132,1722
cal_composite,lab_pump20,ALL,3,800,2400,0.08083333333333333,0.021450192453817313,3.7684199574138595,0.11265969802555169,194,1722
cal_composite,lab_pump20,ALL,5,800,4000,0.076,0.021450192453817313,3.5430917537746804,0.1765389082462253,304,1722
cal_composite,lab_pump20,bull_quiet,1,323,323,0.03715170278637771,0.01606673876100726,2.3123362705406048,0.023076923076923078,12,520
cal_composite,lab_pump20,bull_quiet,2,323,646,0.05108359133126935,0.01606673876100726,3.1794623719933317,0.06346153846153846,33,520
cal_composite,lab_pump20,bull_quiet,3,323,969,0.054695562435500514,0.01606673876100726,3.4042728427403346,0.10192307692307692,53,520
cal_composite,lab_pump20,bull_quiet,5,323,1615,0.060061919504643964,0.01606673876100726,3.7382769707073114,0.18653846153846154,97,520
cal_composite,lab_pump20,bull_volatile,1,119,119,0.1092436974789916,0.022914218566392478,4.76750700280112,0.047619047619047616,13,273
cal_composite,lab_pump20,bull_volatile,2,119,238,0.08403361344537816,0.022914218566392478,3.6673130790777853,0.07326007326007326,20,273
cal_composite,lab_pump20,bull_volatile,3,119,357,0.07563025210084033,0.022914218566392478,3.3005817711700063,0.0989010989010989,27,273
cal_composite,lab_pump20,bull_volatile,5,119,595,0.07058823529411765,0.022914218566392478,3.0805429864253395,0.15384615384615385,42,273
cal_composite,lab_pump20,bear_quiet,1,130,130,0.05384615384615385,0.018055236783719685,2.9823011734028686,0.029661016949152543,7,236
cal_composite,lab_pump20,bear_quiet,2,130,260,0.08461538461538462,0.018055236783719685,4.686473272490222,0.09322033898305085,22,236
cal_composite,lab_pump20,bear_quiet,3,130,390,0.08717948717948718,0.018055236783719685,4.828487614080834,0.1440677966101695,34,236
cal_composite,lab_pump20,bear_quiet,5,130,650,0.07384615384615385,0.018055236783719685,4.090013037809649,0.2033898305084746,48,236
cal_composite,lab_pump20,bear_volatile,1,228,228,0.13596491228070176,0.030223734135810545,4.498613959140275,0.044733044733044736,31,693
cal_composite,lab_pump20,bear_volatile,2,228,456,0.125,0.030223734135810545,4.135822510822511,0.08225108225108226,57,693
cal_composite,lab_pump20,bear_volatile,3,228,684,0.11695906432748537,0.030223734135810545,3.869775448722817,0.11544011544011544,80,693
cal_composite,lab_pump20,bear_volatile,5,228,1140,0.10263157894736842,0.030223734135810545,3.395727956254272,0.16883116883116883,117,693
