K,hard_sl,tp,trail,n,p_loss_lt_5,cvar95,worst,mdd,pct_stopped_sl,pct_trail,pct_tp,pct_eod,net_mean,cum,hit,sortino,median,avg_loss,pct_loss,h_lt_-10,h_-10_to_-5,h_-5_to_0,h_0_to_+5,h_gt_+5
3,0.03,none,none,3531,0.0,-0.031499999999999986,-0.0315,-0.9921592238745277,0.8416879071084679,0.0,0.0,0.15831209289153214,-0.011431945871844781,-0.9920500013764835,0.1447182101387709,-7.546916798309668,-0.0315,-0.031173896868172263,0.8552817898612292,0.0,0.0,0.8552817898612292,0.06287170773152082,0.08184650240725007
3,0.03,none,0.05,3531,0.0,-0.031499999999999986,-0.0315,-0.9814340012704486,0.5525346927216086,0.421976777116964,0.0,0.025488530161427356,-0.009501012169209597,-0.9800559281671476,0.25715094873973376,-7.452916892346171,-0.0315,-0.026755587011364945,0.7428490512602662,0.0,0.0,0.7428490512602662,0.1883319173038799,0.06881903143585387
3,0.03,none,0.08,3531,0.0,-0.031499999999999986,-0.0315,-0.9915477295508035,0.719626168224299,0.2141036533559898,0.0,0.06627017841971113,-0.011534443564689715,-0.9915474306904377,0.1903143585386576,-8.120578927918354,-0.0315,-0.029467987773297215,0.8096856414613424,0.0,0.0,0.8096856414613424,0.10478617955253469,0.08552817898612292
3,0.03,0.05,none,3531,0.0,-0.031499999999999986,-0.0315,-0.8855716319964176,0.6553384310393656,0.0,0.3242707448314925,0.020390824129141887,-0.0049415676141761474,-0.8738678907293653,0.33446615689606346,-3.6967301387575744,-0.0315,-0.03119980949602329,0.6655338431039366,0.0,0.0,0.6655338431039366,0.33446615689606346,0.0
3,0.03,0.05,0.05,3531,0.0,-0.031499999999999986,-0.0315,-0.9732932020546954,0.551685075049561,0.3177570093457944,0.1178136505239309,0.012744265080713678,-0.008655903997176853,-0.9714947705040623,0.2696120079297649,-6.795200750396278,-0.0315,-0.027142012366798515,0.7303879920702351,0.0,0.0,0.7303879920702351,0.2398753894080997,0.029736618521665252
3,0.03,0.05,0.08,3531,0.0,-0.031499999999999986,-0.0315,-0.9350550873558857,0.6553384310393656,0.0736335315774568,0.2506372132540357,0.020390824129141887,-0.006388428485898215,-0.9295916071098154,0.3072783913905409,-4.76581627703406,-0.0315,-0.03031714877037827,0.6927216086094591,0.0,0.0,0.6927216086094591,0.2945341263098272,0.012744265080713678
3,0.03,0.08,none,3531,0.0,-0.031499999999999986,-0.0315,-0.9567227739885076,0.756159728122345,0.0,0.20305862361937127,0.04078164825828377,-0.007381024671930093,-0.9543062843238658,0.23109600679694137,-5.140038706450776,-0.0315,-0.031170411985959573,0.7689039932030586,0.0,0.0,0.7689039932030586,0.0237892948173322,0.20730671197960918
3,0.03,0.08,0.05,3531,0.0,-0.031499999999999986,-0.0315,-0.9798952807595795,0.5525346927216086,0.37779665817048996,0.05097706032285471,0.018691588785046728,-0.009302358478543923,-0.9783348409326323,0.25715094873973376,-7.297086184994043,-0.0315,-0.026755587011364945,0.7428490512602662,0.0,0.0,0.7428490512602662,0.17048994619088076,0.08666100254885302
3,0.03,0.08,0.08,3531,0.0,-0.031499999999999986,-0.0315,-0.9861414195661249,0.7145284621920136,0.12121212121212122,0.12857547436986688,0.0356839422259983,-0.010336875607380577,-0.9857898436604444,0.20475785896346643,-7.303595963550724,-0.0315,-0.029752718911151332,0.7952421410365336,0.0,0.0,0.7952421410365336,0.05749079580855282,0.1472670631549136
3,0.03,0.1,none,3531,0.0,-0.031499999999999986,-0.0315,-0.9738917502007618,0.7892948173322005,0.0,0.1503823279524214,0.06032285471537808,-0.008680348040662025,-0.9728514501285569,0.1979609175870858,-5.917012615757715,-0.0315,-0.031184028439929463,0.8020390824129142,0.0,0.0,0.8020390824129142,0.0356839422259983,0.1622769753610875
3,0.03,0.1,0.05,3531,0.0,-0.031499999999999986,-0.0315,-0.98087462759217,0.5525346927216086,0.3939393939393939,0.03058623619371283,0.022939677145284623,-0.009391157973339857,-0.9791314654145299,0.25715094873973376,-7.366743527076101,-0.0315,-0.026755587011364945,0.7428490512602662,0.0,0.0,0.7428490512602662,0.1849334466156896,0.07221750212404418
3,0.03,0.1,0.08,3531,0.0,-0.031499999999999986,-0.0315,-0.9907948681431292,0.7187765505522515,0.1500991220617389,0.08269612007929765,0.048428207306711976,-0.011332160991095257,-0.9904416291240504,0.1911639762107052,-7.982736854291484,-0.0315,-0.029465853306672528,0.8088360237892949,0.0,0.0,0.8088360237892949,0.07873123760974228,0.1124327386009629
3,none,none,0.05,3531,0.06796941376380629,-0.05150000000000007,-0.05150000000000016,-0.9298924275961223,0.0,0.9609175870858114,0.0,0.03908241291418862,-0.006033733341182481,-0.9238618062943736,0.3333333333333333,-4.3084839797739,-0.015095263724434758,-0.028744469305146656,0.6666666666666666,0.0,0.06796941376380629,0.5986972529028604,0.2509204191447182,0.08241291418861513
3,none,0.05,0.05,3531,0.06796941376380629,-0.05150000000000007,-0.05150000000000016,-0.8909924725382894,0.0,0.838006230529595,0.1373548569810252,0.02463891248937978,-0.004990967425288787,-0.8823798109294712,0.3466440101954121,-3.56408030208902,-0.015095263724434758,-0.02928607902768241,0.653355989804588,0.0,0.06796941376380629,0.5853865760407817,0.308411214953271,0.038232795242141036
3,none,0.08,0.05,3531,0.06796941376380629,-0.05150000000000007,-0.05150000000000016,-0.9240396923569634,0.0,0.9107901444350043,0.05777400169923534,0.03143585386576041,-0.005831006286294551,-0.9172452918609826,0.3333333333333333,-4.163723477633411,-0.015095263724434758,-0.028744469305146656,0.6666666666666666,0.0,0.06796941376380629,0.5986972529028604,0.2313792126876239,0.10195412064570943
3,none,0.1,0.05,3531,0.06796941376380629,-0.05150000000000007,-0.05150000000000016,-0.9274996450387331,0.0,0.929481733220051,0.034834324553950725,0.0356839422259983,-0.005912015221213631,-0.9200231466880382,0.3333333333333333,-4.221569205739287,-0.015095263724434758,-0.028744469305146656,0.6666666666666666,0.0,0.06796941376380629,0.5986972529028604,0.2475219484565279,0.08581138487680544
3,0.08,none,0.05,3531,0.08694420843953554,-0.06641525423728818,-0.0815,-0.9586220195881814,0.024922118380062305,0.9359954687057491,0.0,0.03908241291418862,-0.007327532189994998,-0.9550627046448921,0.32993486264514305,-4.812354695366264,-0.016177103718199637,-0.030431080640356666,0.670065137354857,0.0,0.08694420843953554,0.5831209289153214,0.2475219484565279,0.08241291418861513
3,0.08,0.05,0.05,3531,0.08694420843953554,-0.06641525423728818,-0.0815,-0.9357123845121733,0.024922118380062305,0.8130841121495327,0.1373548569810252,0.02463891248937978,-0.006284766274101303,-0.9306330336569862,0.34324553950722175,-4.127714443984035,-0.016177103718199637,-0.03100407087866837,0.6567544604927783,0.0,0.08694420843953554,0.5698102520532428,0.30501274426508074,0.038232795242141036
3,0.08,0.08,0.05,3531,0.08694420843953554,-0.06641525423728818,-0.0815,-0.9552098251523047,0.024922118380062305,0.885868026054942,0.05777400169923534,0.03143585386576041,-0.007124805135107066,-0.9512034908489951,0.32993486264514305,-4.679213759349663,-0.016177103718199637,-0.030431080640356666,0.670065137354857,0.0,0.08694420843953554,0.5831209289153214,0.22798074199943358,0.10195412064570943
3,0.08,0.1,0.05,3531,0.08694420843953554,-0.06641525423728818,-0.0815,-0.9572465308125411,0.024922118380062305,0.9045596148399887,0.034834324553950725,0.0356839422259983,-0.007205814070026148,-0.9528376387176363,0.32993486264514305,-4.732416354468488,-0.016177103718199637,-0.030431080640356666,0.670065137354857,0.0,0.08694420843953554,0.5831209289153214,0.2441234777683376,0.08581138487680544
3,0.05,none,0.05,3531,0.2075899178702917,-0.051500000000000004,-0.051500000000000004,-0.9843116903239857,0.2075899178702917,0.7533276692155196,0.0,0.03908241291418862,-0.009809827032511723,-0.9829621891035532,0.30982724440668363,-6.221123131854219,-0.01859006928406476,-0.03192037937105749,0.6901727555933164,0.0,0.2075899178702917,0.4825828377230246,0.23251203625035402,0.07731520815632965
3,0.05,0.05,0.05,3531,0.2075899178702917,-0.051500000000000004,-0.051500000000000004,-0.9756075156455158,0.2075899178702917,0.6304163126593033,0.1373548569810252,0.02463891248937978,-0.008767061116618027,-0.9736802706337678,0.3231379212687624,-5.560075735491427,-0.01859006928406476,-0.0325056351882072,0.6768620787312376,0.0,0.2075899178702917,0.4692721608609459,0.2900028320589068,0.03313508920985556
3,0.05,0.08,0.05,3531,0.2075899178702917,-0.051500000000000004,-0.051500000000000004,-0.9830040521698961,0.2075899178702917,0.7032002265647126,0.05777400169923534,0.03143585386576041,-0.009607099977623794,-0.9814838203547592,0.30982724440668363,-6.092559196278581,-0.01859006928406476,-0.03192037937105749,0.6901727555933164,0.0,0.2075899178702917,0.4825828377230246,0.2129708297932597,0.09685641461342395
3,0.05,0.1,0.05,3531,0.2075899178702917,-0.051500000000000004,-0.051500000000000004,-0.9837749243944353,0.2075899178702917,0.7218918153497593,0.034834324553950725,0.0356839422259983,-0.009688108912542872,-0.9821017360208099,0.30982724440668363,-6.143932839997446,-0.01859006928406476,-0.03192037937105749,0.6901727555933164,0.0,0.2075899178702917,0.4825828377230246,0.2291135655621637,0.08071367884451996
3,none,0.05,none,3531,0.2585669781931464,-0.1913952199272818,-0.4055697674418605,-0.8459841783795692,0.0,0.0,0.5573491928632116,0.44265080713678845,-0.0029752370949483312,-0.7746955258669234,0.6037949589351459,-0.9350464886050983,0.0485,-0.0774335521593339,0.39620504106485416,0.1016709147550269,0.15689606343811952,0.13763806287170774,0.6037949589351459,0.0
3,none,none,0.08,3531,0.29283489096573206,-0.08058537481385357,-0.08150000000000007,-0.9950536223586395,0.0,0.8122344944774851,0.0,0.18776550552251486,-0.01251342770596842,-0.9949125793931674,0.30303030303030304,-5.830507210920841,-0.025779946164199263,-0.04310802544478181,0.696969696969697,0.0,0.29283489096573206,0.4041348060039649,0.1804021523647692,0.12262815066553384
3,none,0.05,0.08,3531,0.29283489096573206,-0.08058537481385357,-0.08150000000000007,-0.930889230261483,0.0,0.5312942509204192,0.35400736335315774,0.11469838572642312,-0.005759873260484198,-0.9149474312309549,0.4539790427640895,-2.749556844393555,-0.011277015437392733,-0.049266915519676414,0.5460209572359105,0.0,0.29283489096573206,0.2531860662701784,0.43188898329085246,0.022090059473237042
3,none,0.08,0.08,3531,0.29283489096573206,-0.08058537481385357,-0.08150000000000007,-0.9877825738182566,0.0,0.6720475785896347,0.18436703483432457,0.14358538657604078,-0.010204072069833104,-0.9868269680924131,0.3200226564712546,-4.7550318048772855,-0.025779946164199263,-0.04407866599780101,0.6799773435287454,0.0,0.29283489096573206,0.38714245256301333,0.10421976777116965,0.21580288870008496
3,none,0.1,0.08,3531,0.29283489096573206,-0.08058537481385357,-0.08150000000000007,-0.9932179638200287,0.0,0.7247238742565846,0.11639762107051826,0.1588785046728972,-0.011707720377347021,-0.9927571584441844,0.30303030303030304,-5.4550958927911,-0.025779946164199263,-0.04310802544478181,0.696969696969697,0.0,0.29283489096573206,0.4041348060039649,0.13990370999716795,0.1631265930331351
3,0.08,0.05,0.08,3531,0.30359671481166806,-0.0815,-0.0815,-0.9542261621877606,0.09629000283205891,0.43500424808836025,0.35400736335315774,0.11469838572642312,-0.006775477619780715,-0.9438621256633153,0.4531294250920419,-3.1100841827792087,-0.011706896551724131,-0.0510366176897501,0.5468705749079581,0.0,0.30359671481166806,0.24327386009629,0.43103936561880485,0.022090059473237042
3,0.08,0.08,0.08,3531,0.3052959501557632,-0.0815,-0.0815,-0.9922976009661085,0.09798923817615407,0.5740583404134806,0.18436703483432457,0.14358538657604078,-0.01133317199255843,-0.9916951453825816,0.319173038799207,-5.0720265056436,-0.026457264957265025,-0.04567334672718747,0.680826961200793,0.0,0.3052959501557632,0.37553101104502973,0.10337015009912207,0.21580288870008496
3,0.08,none,0.08,3531,0.3069951854998584,-0.0815,-0.0815,-0.9970600374431702,0.09968847352024922,0.712546020957236,0.0,0.18776550552251486,-0.013784454979116735,-0.9969762061897849,0.3013310676862079,-6.1494127080411864,-0.02659870276367743,-0.04480633726207713,0.6986689323137921,0.0,0.3069951854998584,0.39167374681393374,0.17870291702067403,0.12262815066553384
3,0.08,0.1,0.08,3531,0.3069951854998584,-0.0815,-0.0815,-0.9959638121040076,0.09968847352024922,0.6250354007363353,0.11639762107051826,0.1588785046728972,-0.012978747650495333,-0.9956895733605041,0.3013310676862079,-5.789976887539573,-0.02659870276367743,-0.04480633726207713,0.6986689323137921,0.0,0.3069951854998584,0.39167374681393374,0.13820447465307278,0.1631265930331351
3,0.08,0.05,none,3531,0.31407533276692157,-0.0815,-0.0815,-0.6969902959211797,0.2715944491645426,0.0,0.529028603794959,0.19937694704049844,-0.0013689322326853142,-0.509999827889519,0.5712262815066553,-0.5753634831769503,0.0485,-0.06444730181117142,0.42877371849334467,0.0,0.31407533276692157,0.11469838572642312,0.5712262815066553,0.0
3,none,0.08,none,3531,0.3409798923817615,-0.20852234512261758,-0.4055697674418605,-0.9912201253797259,0.0,0.0,0.36816765788728406,0.631832342112716,-0.009636053494070146,-0.9890596839734268,0.47380345511186633,-2.6326255963551777,-0.007972491909385147,-0.07742367400125798,0.5261965448881337,0.13905409232512037,0.20192580005664118,0.18521665250637212,0.09798923817615407,0.37581421693571226
3,none,0.1,none,3531,0.3664684225431889,-0.2126349867741737,-0.4055697674418605,-0.9971680572172658,0.0,0.0,0.2849051260266214,0.7150948739733787,-0.012413725088012747,-0.9966722300386432,0.43047295383743983,-3.2601013124806606,-0.021128647214854135,-0.07754605953298274,0.5695270461625602,0.15179835740583403,0.21467006513735487,0.20305862361937127,0.12602662135372417,0.30444633248371566
3,0.08,0.08,none,3531,0.40498442367601245,-0.0815,-0.0815,-0.9638990422805355,0.3548569810252053,0.0,0.3472104219767771,0.29793259699801755,-0.006799280086051352,-0.9531038883646665,0.43953554233928066,-2.5065664869626967,-0.0188913043478261,-0.06414008760157427,0.5604644576607194,0.0,0.40498442367601245,0.1554800339847069,0.08637779665817048,0.3531577456811102
3,none,none,none,3531,0.41461342395921835,-0.2265458021854529,-0.46698672566371685,-0.9999362607454787,0.0,0.0,0.0,1.0,-0.021276314166086836,-0.999929134834439,0.3491928632115548,-5.131701657628953,-0.035184926845865994,-0.07795014496109258,0.6508071367884452,0.17473803455111867,0.2398753894080997,0.23619371282922685,0.18974794675729256,0.15944491645426226
