head,fold,leaf,rule,depth,support_train,support_val,support_val_top100,pos_train_pct,pos_val_pct,pos_val_top100_pct,base_val_pct,lift_val,lift_val_top100,fail_eod_val_pct
h2_hit_3_4h,1,3,atr_pct_14 <= +0.050 AND atr_pct_14 <= +0.036 AND atr_14 <= +14.929,3,1282,1230,1120,3.58814352574103,6.4227642276422765,6.607142857142858,15.543438304129396,0.4132138656822122,0.4250760177937947,0.47127979600220793
h2_hit_3_4h,1,4,atr_pct_14 <= +0.050 AND atr_pct_14 <= +0.036 AND atr_14 > +14.929,3,981,938,893,0.8154943934760449,5.223880597014925,5.039193729003359,15.543438304129396,0.33608269256790546,0.32420070967596704,0.4688615487272154
h2_hit_3_4h,1,6,atr_pct_14 <= +0.050 AND atr_pct_14 > +0.036 AND log_return_1d <= +0.010,3,3841,2460,2271,5.701640197865139,5.731707317073171,5.812417437252312,15.543438304129396,0.3687541459569109,0.3739466985054483,0.2457479106890401
h2_hit_3_4h,1,7,atr_pct_14 <= +0.050 AND atr_pct_14 > +0.036 AND log_return_1d > +0.010,3,1226,1588,1537,11.745513866231647,13.727959697732997,13.98828887443071,15.543438304129396,0.8831996775183208,0.8999481711015296,0.25995204123844406
h2_hit_3_4h,1,10,atr_pct_14 > +0.050 AND log_return_1d <= +0.029 AND atr_pct_14 <= +0.081,3,5130,5153,4958,10.097465886939572,12.516980399767125,12.787414279951593,15.543438304129396,0.8052903196097715,0.8226889076758767,0.05970956455828873
h2_hit_3_4h,1,11,atr_pct_14 > +0.050 AND log_return_1d <= +0.029 AND atr_pct_14 > +0.081,3,1274,2848,2757,22.52747252747253,22.85814606741573,22.778382299601017,15.543438304129396,1.4705977931113896,1.4654661249274252,-0.4236032664810835
h2_hit_3_4h,1,13,atr_pct_14 > +0.050 AND log_return_1d > +0.029 AND log_return_1d <= +0.048,3,504,937,921,28.174603174603174,25.613660618996796,26.058631921824105,15.543438304129396,1.6478761080932824,1.6765037060623298,-0.3922220324097592
h2_hit_3_4h,1,14,atr_pct_14 > +0.050 AND log_return_1d > +0.029 AND log_return_1d > +0.048,3,501,1168,1143,43.31337325349301,44.00684931506849,44.70691163604549,15.543438304129396,2.83121716405419,2.8762562543300536,-1.2598814107842358
h2_hit_3_4h,2,3,atr_pct_14 <= +0.051 AND log_return_1d <= +0.032 AND atr_pct_14 <= +0.034,3,3211,758,602,2.6471504204297727,3.95778364116095,2.990033222591362,15.572782084409992,0.2541475004086207,0.1920037926675095,-0.39509496702218405
h2_hit_3_4h,2,4,atr_pct_14 <= +0.051 AND log_return_1d <= +0.032 AND atr_pct_14 > +0.034,3,9771,2727,2297,6.631869818851705,5.720572057205721,5.137135393992163,15.572782084409992,0.3673442565495488,0.3298791035633242,-0.5016756112645891
h2_hit_3_4h,2,5,atr_pct_14 <= +0.051 AND log_return_1d > +0.032,2,953,407,364,19.727177334732424,21.375921375921376,21.978021978021978,15.572782084409992,1.3726462786197298,1.411309929009044,0.13399408903517906
h2_hit_3_4h,2,8,atr_pct_14 > +0.051 AND log_return_1d <= +0.033 AND atr_pct_14 <= +0.085,3,10663,6771,5960,11.638375691644002,11.652636242800178,11.275167785234899,15.572782084409992,0.7482693959010511,0.7240304092177942,-0.47889039273927
h2_hit_3_4h,2,9,atr_pct_14 > +0.051 AND log_return_1d <= +0.033 AND atr_pct_14 > +0.085,3,3749,4214,3978,24.1397706054948,21.476032273374464,21.568627450980394,15.572782084409992,1.3790748600325085,1.3850208224882874,-0.3758754753399746
h2_hit_3_4h,2,11,atr_pct_14 > +0.051 AND log_return_1d > +0.033 AND return_7d <= +0.920,3,1843,2025,1892,30.27672273467173,26.320987654320987,26.955602536997887,15.572782084409992,1.6901917404129794,1.7309432823813353,-1.084636016337335
h2_hit_3_4h,2,12,atr_pct_14 > +0.051 AND log_return_1d > +0.033 AND return_7d > +0.920,3,835,513,507,54.25149700598803,41.32553606237816,41.81459566074951,15.572782084409992,2.6537028411737307,2.6851076085248993,-1.8014807144358262
h2_hit_3_4h,3,3,atr_pct_14 <= +0.056 AND log_return_1d <= +0.032 AND btc_return_5d <= +0.097,3,19826,5267,3636,5.770200746494502,7.2716916650844885,6.820682068206821,20.081595648232096,0.3621072644057874,0.3396484117937753,-0.2896715239009992
