policy,ranking_key,param,K,n,n_days,pct_sl,deep_loss_freq_noSL,net_mean,hit,precision_pump20,deep_loss_freq,net_median,cvar95,worst,mdd,cum,sharpe,sortino,pct_tp,pct_eod
R1_ratio,R1,-,3,1651,791,0.44276196244700183,0.13506965475469412,-0.0029277362129835334,0.39188370684433677,0.036947304663840094,0.0,-0.012057317625736306,-0.03149999999999999,-0.0315,-0.8851392448059004,-0.8817620219036619,-2.716102323156875,-4.751640307106276,0.2150211992731678,0.3422168382798304
R2_penalized,R2_lam0.5,lam=0.5,3,1651,791,0.46032707450030286,0.16111447607510598,-0.00243652886700214,0.39188370684433677,0.04482132041187159,0.0,-0.014052301255230102,-0.03149999999999999,-0.0315,-0.8474532165149035,-0.8440265302836585,-2.3022766206757295,-3.941316793391292,0.23924894003634162,0.3004239854633555
R2_penalized,R2_lam1.0,lam=1.0,3,1651,791,0.2634766807995155,0.056329497274379164,-0.0019159254287626777,0.4258025439127801,0.015142337976983646,0.0,-0.004095155709342544,-0.03149999999999999,-0.0315,-0.8033529364091708,-0.788383398515136,-1.9196805198532778,-3.439806012450565,0.12295578437310721,0.6135675348273774
R2_penalized,R2_lam2.0,lam=2.0,3,1651,791,0.19261053906723197,0.02604482132041187,-0.0017015376428893424,0.4348879466989703,0.004845548152634767,0.0,-0.002917172799809463,-0.03149999999999999,-0.0315,-0.7716891713310605,-0.7602369843963499,-1.746031243867154,-3.0980437591249137,0.07510599636583888,0.7322834645669292
R2_penalized,R2_lam3.0,lam=3.0,3,1651,791,0.18837068443367655,0.024227740763173834,-0.0015867140215081485,0.436099333737129,0.004239854633555421,0.0,-0.0027809782015357208,-0.03149999999999999,-0.0315,-0.7566972582460056,-0.7444930693490581,-1.6298431071032111,-2.8895816566188373,0.07450030284675954,0.7371290127195639
