scope,policy,n,dates,safe_fp_rate,path_up10_rate,path_dn5_rate,sl_first_rate,tp_first_rate,bracket_net_mean,bracket_hit_rate,cvar95,mfe20_rate,cum_net,max_drawdown,matched_vol_safe_fp,safe_fp_lift_within_vol,mean_qv_rank,flat_filled_pick_rate
discovery_oof,R1_repaired,474,158,0.11181434599156118,0.12025316455696203,0.25738396624472576,0.42827004219409281,0.20886075949367089,-0.003354961985252689,0.37552742616033757,-0.0315,0.035864978902953586,-0.43382596665394024,-0.49166431874489092,0.07349884515874669,1.5213075219081149,49.552742616033754,0.39240506329113922
discovery_oof,core_fp_head,474,158,0.2320675105485232,0.26371308016877637,0.50210970464135019,0.58438818565400841,0.34599156118143459,-0.0018220761717906828,0.36919831223628691,-0.0315,0.07805907172995781,-0.28441711179505291,-0.45828576909130136,0.10073334133099425,2.303780530678369,20.28902953586498,0.099156118143459912
discovery_oof,liquidity_matched,474,158,0.075949367088607597,0.07805907172995781,0.25738396624472576,0.45991561181434598,0.1729957805907173,-0.0052391506730825781,0.35654008438818563,-0.0315,0.018987341772151899,-0.58027789317440526,-0.63985744166927905,0.069637482088783412,1.0906391904258821,19.514767932489452,0.099156118143459912
discovery_oof,lowest_ATR,474,158,0.0063291139240506328,0.0063291139240506328,0.033755274261603373,0.12658227848101267,0.025316455696202531,-0.0027942769276907945,0.40084388185654007,-0.0315,0,-0.36590944294825345,-0.41847153905930062,0.01990616051824607,0.31794749762262492,37.046413502109708,0.16666666666666666
discovery_oof,semivol_joint_head,474,158,0.2109704641350211,0.23628691983122363,0.50210970464135019,0.60548523206751059,0.31645569620253167,-0.0039840052280966914,0.34599156118143459,-0.0315,0.07805907172995781,-0.49032760806703413,-0.54429603293088835,0.10011399407846895,2.1073024413516386,19.89240506329114,0.10548523206751055
locked_holdout,R1_repaired,510,170,0.17058823529411765,0.18431372549019609,0.31568627450980391,0.47058823529411764,0.28235294117647058,-0.00093668385362470207,0.40000000000000002,-0.0315,0.056862745098039215,-0.18563115669028718,-0.34051438439230347,0.092854217322681662,1.8371619535739467,48.343137254901961,0.57450980392156858
locked_holdout,core_fp_head,510,170,0.24313725490196078,0.29803921568627451,0.57843137254901966,0.57450980392156858,0.3843137254901961,0.00062802543421679906,0.40000000000000002,-0.0315,0.11764705882352941,0.057371345760736769,-0.20206461436780437,0.11588787348624983,2.0980387989499967,21.08235294117647,0.1980392156862745
locked_holdout,liquidity_matched,510,170,0.11372549019607843,0.12941176470588237,0.34313725490196079,0.48039215686274511,0.23921568627450981,-0.003686658502788133,0.36470588235294116,-0.0315,0.043137254901960784,-0.48745035071668918,-0.47077991813803738,0.090761070823177109,1.2530205865204163,22.694117647058825,0.20392156862745098
locked_holdout,lowest_ATR,510,170,0.0058823529411764705,0.0098039215686274508,0.049019607843137254,0.16078431372549021,0.025490196078431372,-0.0033607512212281481,0.43529411764705883,-0.0315,0.0039215686274509803,-0.44436448460963063,-0.43951130054291648,0.024597849766534886,0.23914094105816311,36.801960784313728,0.14901960784313725
locked_holdout,semivol_joint_head,510,170,0.22352941176470589,0.27843137254901962,0.57647058823529407,0.57450980392156858,0.36666666666666664,-0.00021569465464927939,0.39215686274509803,-0.0315,0.10784313725490197,-0.078945114693631635,-0.21219659950333195,0.11587695694773346,1.9290238340098047,22.294117647058822,0.21372549019607842
