feature,label,regime,oos_prec,oos_base,oos_lift,oos_n,n_folds_used,signal_dir,net_mean,net_sharpe,n_trades,win_rate,tp_rate,sl_rate
f_log_qv,lab_pump15,bear_quiet,0.08211551844119694,0.02505144376959267,3.2778756863853244,1437,3,high,-0.006844997343233775,-5.4835706312114665,1437,0.3924843423799583,0.09046624913013222,0.34585942936673625
f_bounce_off_7d_low,lab_pump15,bear_quiet,0.08324285197249366,0.025464954037083248,3.26891821015155,2763,3,high,-0.005069646395973366,-3.1314831384130457,2763,0.3937748823742309,0.1179876945349258,0.3688020267824828
f_rv_7d,lab_pump15,bear_quiet,0.08420386198163976,0.026203708787643314,3.213432978668544,3159,3,high,-0.0038692741798010233,-1.3261785116239644,3159,0.39791073124406456,0.12567268122823677,0.3668882557771447
f_qv_surge_30d,lab_pump15,bear_quiet,0.07899049491969846,0.025075579606119183,3.1500964747559594,3051,3,high,-0.0038665768889078853,-3.6485586456756245,3051,0.39593575876761716,0.10783349721402818,0.31530645689937725
f_ret_3d,lab_pump15,bear_quiet,0.07574772431729519,0.025751494336258268,2.941488494927532,3076,3,high,-0.002243113773291816,-4.855699357001482,3076,0.4203511053315995,0.11118335500650195,0.30624187256176855
f_qv_surge_7d,lab_pump15,bear_quiet,0.07358093903293624,0.026050782158230767,2.824519378574139,2854,3,high,-0.002736637603815428,-3.299795257248598,2854,0.40749824807288015,0.10056061667834618,0.27680448493342674
f_ret_14d,lab_pump15,bear_quiet,0.06961054891137688,0.025247582452773733,2.7571174009070076,3261,3,high,-0.005435073765690759,-2.384116311890278,3261,0.3802514566084023,0.10671573137074516,0.34191965654707146
f_atr_xs_decile,lab_pump15,bear_quiet,0.07222409719878502,0.026252152613079952,2.7511685713269802,2963,3,high,-0.002772572940694478,-1.0376294551602123,2963,0.4087073911576105,0.11441106986162673,0.3263584205197435
f_qv_rank_pct,lab_pump15,bear_quiet,0.07205387205387205,0.026447570954590903,2.7244041495373916,2970,3,high,-0.007512635231604844,-5.116652178836795,2970,0.36902356902356903,0.09191919191919191,0.3414141414141414
f_ret_7d,lab_pump15,bear_quiet,0.06777493606138107,0.025705227313106028,2.6366207633894545,3128,3,high,-0.0054308869574850845,-2.879168329169308,3128,0.3887468030690537,0.1010230179028133,0.32768542199488493
f_roc_7d,lab_pump15,bear_quiet,0.06777493606138107,0.025705227313106028,2.6366207633894545,3128,3,high,-0.0054308869574850845,-2.879168329169308,3128,0.3887468030690537,0.1010230179028133,0.32768542199488493
f_rv_21d,lab_pump15,bear_quiet,0.06829971181556196,0.02685834993030722,2.542960084770208,3470,3,high,-0.004752395581226876,-1.0640171906201135,3470,0.3962536023054755,0.10518731988472622,0.3389048991354467
f_atr_pct_14,lab_pump15,bear_quiet,0.06262677484787019,0.027139089763671746,2.3076225250451134,3944,3,high,-0.0051403389738059494,-0.7004491916061727,3944,0.393762677484787,0.10065922920892495,0.3435598377281947
f_bounce_off_7d_low,lab_pump15,bear_volatile,0.12132231404958678,0.04466807007159542,2.716085871969115,3025,3,high,-0.012581949077162528,-10.031689079847858,3025,0.28793388429752065,0.13487603305785123,0.4991735537190083
f_qv_surge_30d,lab_pump15,bear_volatile,0.10888187556357079,0.04398976543774241,2.4751638132207936,4436,3,high,-0.009019766157727463,-9.077688418249064,4436,0.33160504959422904,0.12601442741208296,0.41839495040577096
f_rv_7d,lab_pump15,bear_volatile,0.108252334667429,0.0451583756365678,2.3971706940621167,5247,3,high,-0.009276928063593813,-7.911026856226599,5247,0.3285687059271965,0.13112254621688585,0.4417762530970078
f_ret_3d,lab_pump15,bear_volatile,0.1063169768753525,0.04506466798026793,2.3592091463295497,3546,3,high,-0.010509765263676437,-8.77054345579462,3546,0.32261703327693175,0.12295544275239707,0.4560067681895093
f_qv_surge_7d,lab_pump15,bear_volatile,0.1026814911706998,0.04476276244705175,2.2939042533882494,4587,3,high,-0.005812658574149751,-5.493258486654979,4587,0.3627643339873556,0.12622629169391758,0.3660344451711358
f_atr_pct_14,lab_pump15,bear_volatile,0.10390567428150331,0.045627696871004535,2.2772500346721034,5428,3,high,-0.006883903490757689,-5.865496161685331,5428,0.3656963890935888,0.13706705969049374,0.43938835666912307
f_atr_xs_decile,lab_pump15,bear_volatile,0.10170648464163823,0.04483044965509393,2.2686920480192345,4395,3,high,-0.006535177980829859,-5.340245754575189,4395,0.36063708759954494,0.1392491467576792,0.42025028441410694
f_rv_21d,lab_pump15,bear_volatile,0.10149013290374546,0.04499847659094192,2.2554126404398134,4966,3,high,-0.007529787447964597,-5.995802634571082,4966,0.35521546516310915,0.13129279097865484,0.43797825211437774
f_log_qv,lab_pump15,bear_volatile,0.10064384954252796,0.04534187954859046,2.219666466068601,2951,3,high,-0.013462495180218392,-13.295724791990997,2951,0.3053202304303626,0.09827177228058286,0.4622161978990173
f_qv_rank_pct,lab_pump15,bear_volatile,0.09018627896410722,0.045368255826882815,1.9878718571029488,4402,3,high,-0.0125821158450097,-12.027601903477235,4402,0.31235801908223537,0.09700136301681055,0.43911858246251706
f_ret_14d,lab_pump15,bear_volatile,0.08038890206307801,0.045143308595837886,1.7807490094000265,4217,3,low,-0.0028233909654560014,-3.6941500515419112,4217,0.40668721840170735,0.12093905620109083,0.37087977235001185
f_ret_7d,lab_pump15,bear_volatile,0.07672270897466256,0.044706450819629276,1.7161440366672072,4223,3,low,-0.006946868740314864,-5.286266829842116,3219,0.3715439577508543,0.11369990680335508,0.43864554209381795
f_roc_7d,lab_pump15,bear_volatile,0.07672270897466256,0.044706450819629276,1.7161440366672072,4223,3,low,-0.006946868740314864,-5.286266829842116,3219,0.3715439577508543,0.11369990680335508,0.43864554209381795
f_qv_surge_30d,lab_pump15,bull_quiet,0.07674858223062382,0.026956255438924166,2.84715295136285,5290,4,high,-0.0039197158828188335,-5.976782517943462,5290,0.41871455576559546,0.1056710775047259,0.3504725897920605
f_atr_xs_decile,lab_pump15,bull_quiet,0.07045045045045045,0.02604868715387169,2.7045681816628213,5550,4,high,-0.00764072795198405,-5.045358128475113,5550,0.37567567567567567,0.11009009009009009,0.4181981981981982
f_qv_surge_7d,lab_pump15,bull_quiet,0.07219251336898395,0.02670547264610911,2.703285364975637,4862,4,high,-0.0069037111457676695,-5.453338153147967,4862,0.38523241464417934,0.09749074454956808,0.3809132044426162
f_qv_rank_pct,lab_pump15,bull_quiet,0.06335003579098067,0.026844599506194573,2.359880085987583,5588,4,high,-0.010098013653402455,-7.581413879584006,5588,0.35540443808160344,0.08410880458124552,0.4037222619899785
f_rv_7d,lab_pump15,bull_quiet,0.06664364640883978,0.029169331361541206,2.284716285842164,8688,4,high,-0.010350840001501264,-6.417688255518041,8688,0.35151933701657456,0.10025322283609577,0.45200276243093923
f_log_qv,lab_pump15,bull_quiet,0.0658378567676414,0.030389811899524614,2.1664450239216944,5711,4,high,-0.00954275410896914,-7.980110321737318,5711,0.3580808965154964,0.08790054281211697,0.4015058658728769
