head,fold,topK_pct,n_val,base_pct,A_baseline_lift,A_baseline_prec_pct,B_plus_precursor_lift,B_plus_precursor_prec_pct,delta_lift,delta_prec_pp
h2_hit_3_4h,5,0.5,27612,11.737650296972332,4.568477254738876,53.62318840579711,4.691949612975061,55.072463768115945,0.12347235823618519,1.4492753623188364
h2_hit_3_4h,5,1.0,27612,11.737650296972332,3.8893792844398534,45.65217391304348,4.661081523416015,54.710144927536234,0.7717022389761614,9.057971014492757
h2_hit_3_4h,5,2.0,27612,11.737650296972332,3.7659069262036677,44.20289855072464,4.120889956132702,48.369565217391305,0.3549830299290342,4.166666666666664
h5_tail_20,5,0.5,27612,1.2892945096334927,5.620420127015144,7.246376811594203,5.058378114313629,6.521739130434782,-0.5620420127015153,-0.7246376811594208
h5_tail_20,5,1.0,27612,1.2892945096334927,4.215315095261357,5.434782608695652,3.653273082559844,4.710144927536232,-0.5620420127015135,-0.72463768115942
h5_tail_20,5,2.0,27612,1.2892945096334927,3.653273082559844,4.710144927536232,4.074804592085979,5.253623188405797,0.42153150952613494,0.5434782608695645
h6_hit_5_24h,2,0.5,152,3.9473684210526314,0.0,0.0,0.0,0.0,,0.0
h6_hit_5_24h,2,1.0,152,3.9473684210526314,0.0,0.0,0.0,0.0,,0.0
h6_hit_5_24h,2,2.0,152,3.9473684210526314,0.0,0.0,8.444444444444445,33.33333333333333,,33.33333333333333
h6_hit_5_24h,3,0.5,152,5.263157894736842,0.0,0.0,0.0,0.0,,0.0
h6_hit_5_24h,3,1.0,152,5.263157894736842,0.0,0.0,0.0,0.0,,0.0
h6_hit_5_24h,3,2.0,152,5.263157894736842,6.333333333333333,33.33333333333333,6.333333333333333,33.33333333333333,0.0,0.0
h6_hit_5_24h,4,0.5,4939,20.67220085037457,1.2093535749265427,25.0,1.61247143323539,33.33333333333333,0.4031178583088473,8.333333333333329
h6_hit_5_24h,4,1.0,4939,20.67220085037457,1.57956385296528,32.6530612244898,1.57956385296528,32.6530612244898,0.0,0.0
h6_hit_5_24h,4,2.0,4939,20.67220085037457,1.3821183713446201,28.57142857142857,1.57956385296528,32.6530612244898,0.1974454816206599,4.081632653061227
h6_hit_5_24h,5,0.5,27612,18.676662320730117,2.2115486759238183,41.30434782608695,2.1339504767685966,39.85507246376812,-0.0775981991552217,-1.4492753623188364
h6_hit_5_24h,5,1.0,27612,18.676662320730117,2.230948225712624,41.66666666666667,2.095151377190986,39.130434782608695,-0.13579684852163787,-2.536231884057976
h6_hit_5_24h,5,2.0,27612,18.676662320730117,2.0078534031413615,37.5,2.017553178035764,37.68115942028986,0.009699774894402324,0.18115942028985899
