feature,policy,n,mean,sharpe,hit,cum,mdd
f_qv_surge_7d,hard_sl_path,3628,0.0007229466674853457,0.2802512270513801,0.42006615214994486,-0.8122649072981731,-0.9978255620134121
f_qv_surge_7d,tp_eod_noSL,3628,0.00286982283796942,1.023987339849205,0.45286659316427785,188.34277110949046,-0.9867772866206503
f_qv_surge_7d,timestop_4h,3628,-0.0021892411090768168,-1.2083120677598913,0.38395810363836824,-0.9999578379416245,-0.999997873836823
f_qv_surge_7d,eod_tpcap,3628,0.00286982283796942,1.023987339849205,0.45286659316427785,188.34277110949046,-0.9867772866206503
f_qv_surge_7d,trailing_3pct,3628,-0.0007234720901231334,-0.3722547142464066,0.5305953693495039,-0.9939129844630915,-0.9992467375806949
f_qv_surge_30d,hard_sl_path,3687,-0.0007627976500952531,-0.28230916289347135,0.3916463249254136,-0.9995020661040205,-0.99997160789208
f_qv_surge_30d,tp_eod_noSL,3687,0.0013390578885382515,0.45415075555119605,0.42744778953078383,-0.579600010510456,-0.9915314418955209
f_qv_surge_30d,timestop_4h,3687,-0.0027358787025427884,-1.4106483132889795,0.3634391103878492,-0.9999965326919722,-0.999999677142058
f_qv_surge_30d,eod_tpcap,3687,0.0013390578885382515,0.45415075555119605,0.42744778953078383,-0.579600010510456,-0.9915314418955209
f_qv_surge_30d,trailing_3pct,3687,-0.002098202304782021,-1.0508204505548497,0.5237320314618932,-0.9999697287055447,-0.9999920735154008
f_bounce_off_7d_low,hard_sl_path,3383,-0.002984539445255293,-1.0698487685187092,0.38811705586757317,-0.9999996323399558,-0.9999999968528539
f_bounce_off_7d_low,tp_eod_noSL,3383,-0.0003486943044476167,-0.11107023686357854,0.43511676027194796,-0.9993024933831357,-0.9999987974603226
f_bounce_off_7d_low,timestop_4h,3383,-0.003137272260400546,-1.6671641908764387,0.3863434821164647,-0.9999971647518157,-0.9999997992036969
f_bounce_off_7d_low,eod_tpcap,3383,-0.0003486943044476167,-0.11107023686357854,0.43511676027194796,-0.9993024933831357,-0.9999987974603226
f_bounce_off_7d_low,trailing_3pct,3383,-0.0028993853809591227,-1.3773089314625473,0.542713567839196,-0.9999964278028619,-0.9999997345785129
f_atr_xs_decile,hard_sl_path,3597,-0.0016742671768032358,-0.6629358728665862,0.41201000834028356,-0.9999600673568378,-0.9999911810411884
f_atr_xs_decile,tp_eod_noSL,3597,-0.0004939884610556554,-0.17723390295274596,0.43869891576313597,-0.9989604047524218,-0.9998648440025625
f_atr_xs_decile,timestop_4h,3597,-0.0020864050897239786,-1.2709726951287552,0.3878231859883236,-0.999903839799122,-0.9999387173838006
f_atr_xs_decile,eod_tpcap,3597,-0.0004939884610556554,-0.17723390295274596,0.43869891576313597,-0.9989604047524218,-0.9998648440025625
f_atr_xs_decile,trailing_3pct,3597,-0.001604371099014924,-0.8825086756520851,0.5587989991659716,-0.9996451625582701,-0.9998428721277858
